run_name,run_dir,created_at_utc,started_at_utc,completed_at_utc,run_mode,run_status,failure_reason,failure_message,dataset,subject_id,version,target_id,target_id_meta,batch_id,run_group_id,run_index_for_target,runs_per_target,function_name,file_path,start_line,end_line,language,experiment_name,mutant_source,model_name,model_provider,prompt_name,prompt_version,temperature,n_requested_mutants,n_accepted_mutants,n_rejected_mutants,acceptance_rate,rej_duplicate_mutant,rej_unchanged_mutant,rej_non_executable_change,rej_non_executable_structural_change,rej_precode_not_found,rej_ambiguous_precode_match,generation_mode,dataset_split,missing_target_tests_policy,target_test_coverage_status,eligible_test_count,target_tests_csv_path,parsed_mutants_integrity,loaded_mutant_count,recovered_mutant_count,missing_mutant_count,notes,requested_mutant_count,indexed_input_row_count,indexed_used_row_count,deduplicated,total_mutants,build_successes,executable_mutants,killed_mutants,survived_mutants,baseline_failures,build_success_rate,executable_yield,mutation_score,parse_failed,parse_error_message,rej_invalid_json_response,indexed_rejected_artifact_count,target_run_count,new_mutants_for_target_in_run,repeated_mutants_from_prior_runs,cumulative_unique_mutants_for_target
batch04__gmp-14166-14167__mpz_gcdext__gmp_14166_14167_mpz_gcdext_line27_119,harness/executions/c/llm/batch04/batch04__gmp-14166-14167__mpz_gcdext__gmp_14166_14167_mpz_gcdext_line27_119,2026-06-28T00:31:02.241684+00:00,2026-06-28T21:50:03.479526+00:00,2026-06-28T21:51:06.384300+00:00,overwrite,ok,,,manybugs,gmp-14166-14167,f,gmp_14166_14167_mpz_gcdext__line27_119,gmp_14166_14167_mpz_gcdext__line27_119,batch04,batch04__gmp_14166_14167_mpz_gcdext_line27_119,1,1,mpz_gcdext,mpz/gcdext.c,27,119,c,batch04__gmp-14166-14167__mpz_gcdext__gmp_14166_14167_mpz_gcdext_line27_119,llm,llama3.1:8b,ollama,line_edit_prompt_c_v1,c_v1,0.8,8,8,0,1.0,0,0,0,0,0,0,batch_once,,report_and_skip,mapped,1,harness/datasets/coverage/catalogs/manybugs_all_pilots/target_tests.csv,ok,8,0,0,Prompt file: prompts/line_edit_prompt_c_v1.txt; Config file: tmp/batch_configs/batch04/batch04__gmp-14166-14167__mpz_gcdext__gmp_14166_14167_mpz_gcdext_line27_119.json,8,8,8,True,8,8,8,7,1,0,1.0,1.0,0.875,False,,0,0,1,8,0,8
batch04__gzip-2009-08-16-3fe0caeada-39a362ae9d__huft_build__gzip_2009_08_16_huft_build_line292_495,harness/executions/c/llm/batch04/batch04__gzip-2009-08-16-3fe0caeada-39a362ae9d__huft_build__gzip_2009_08_16_huft_build_line292_495,2026-06-28T00:31:32.417670+00:00,2026-06-28T21:51:26.039507+00:00,2026-06-28T21:52:27.180398+00:00,overwrite,ok,,,manybugs,gzip-2009-08-16-3fe0caeada-39a362ae9d,f,gzip_2009_08_16_huft_build__line292_495,gzip_2009_08_16_huft_build__line292_495,batch04,batch04__gzip_2009_08_16_huft_build_line292_495,1,1,huft_build,inflate.c,292,495,c,batch04__gzip-2009-08-16-3fe0caeada-39a362ae9d__huft_build__gzip_2009_08_16_huft_build_line292_495,llm,llama3.1:8b,ollama,line_edit_prompt_c_v1,c_v1,0.8,8,7,1,0.875,0,0,0,1,0,0,batch_once,,report_and_skip,mapped,3,harness/datasets/coverage/catalogs/manybugs_all_pilots/target_tests.csv,ok,7,0,0,Prompt file: prompts/line_edit_prompt_c_v1.txt; Config file: tmp/batch_configs/batch04/batch04__gzip-2009-08-16-3fe0caeada-39a362ae9d__huft_build__gzip_2009_08_16_huft_build_line292_495.json,7,7,7,True,7,7,7,7,0,0,1.0,1.0,1.0,False,,0,1,1,7,0,7
batch04__gzip-2009-09-26-a1d3d4019d-f17cbd13a1__treat_stdin__gzip_2009_09_26_treat_stdin_line606_692,harness/executions/c/llm/batch04/batch04__gzip-2009-09-26-a1d3d4019d-f17cbd13a1__treat_stdin__gzip_2009_09_26_treat_stdin_line606_692,2026-06-28T00:32:00.085454+00:00,2026-06-28T21:52:46.954558+00:00,2026-06-28T21:53:32.381371+00:00,overwrite,ok,,,manybugs,gzip-2009-09-26-a1d3d4019d-f17cbd13a1,f,gzip_2009_09_26_treat_stdin__line606_692,gzip_2009_09_26_treat_stdin__line606_692,batch04,batch04__gzip_2009_09_26_treat_stdin_line606_692,1,1,treat_stdin,gzip.c,606,692,c,batch04__gzip-2009-09-26-a1d3d4019d-f17cbd13a1__treat_stdin__gzip_2009_09_26_treat_stdin_line606_692,llm,llama3.1:8b,ollama,line_edit_prompt_c_v1,c_v1,0.8,8,7,1,0.875,0,0,0,1,0,0,batch_once,,report_and_skip,mapped,4,harness/datasets/coverage/catalogs/manybugs_all_pilots/target_tests.csv,ok,7,0,0,Prompt file: prompts/line_edit_prompt_c_v1.txt; Config file: tmp/batch_configs/batch04/batch04__gzip-2009-09-26-a1d3d4019d-f17cbd13a1__treat_stdin__gzip_2009_09_26_treat_stdin_line606_692.json,7,7,7,True,7,7,7,7,0,0,1.0,1.0,1.0,False,,0,1,1,7,0,7
batch04__gzip-2009-10-09-1a085b1446-118a107f2d__get_method__gzip_2009_10_09_get_method_line1251_1436,harness/executions/c/llm/batch04/batch04__gzip-2009-10-09-1a085b1446-118a107f2d__get_method__gzip_2009_10_09_get_method_line1251_1436,2026-06-28T00:32:28.992005+00:00,2026-06-28T21:53:52.279803+00:00,2026-06-28T21:54:37.102733+00:00,overwrite,ok,,,manybugs,gzip-2009-10-09-1a085b1446-118a107f2d,f,gzip_2009_10_09_get_method__line1251_1436,gzip_2009_10_09_get_method__line1251_1436,batch04,batch04__gzip_2009_10_09_get_method_line1251_1436,1,1,get_method,gzip.c,1251,1436,c,batch04__gzip-2009-10-09-1a085b1446-118a107f2d__get_method__gzip_2009_10_09_get_method_line1251_1436,llm,llama3.1:8b,ollama,line_edit_prompt_c_v1,c_v1,0.8,8,7,1,0.875,0,0,0,1,0,0,batch_once,,report_and_skip,mapped,4,harness/datasets/coverage/catalogs/manybugs_all_pilots/target_tests.csv,ok,7,0,0,Prompt file: prompts/line_edit_prompt_c_v1.txt; Config file: tmp/batch_configs/batch04/batch04__gzip-2009-10-09-1a085b1446-118a107f2d__get_method__gzip_2009_10_09_get_method_line1251_1436.json,7,7,7,True,7,6,6,6,0,0,0.8571428571428571,0.8571428571428571,1.0,False,,0,1,1,7,0,7
batch04__gzip-2010-01-30-fc00329e3d-1204630c96__get_method__gzip_2010_01_30_get_method_line1237_1427,harness/executions/c/llm/batch04/batch04__gzip-2010-01-30-fc00329e3d-1204630c96__get_method__gzip_2010_01_30_get_method_line1237_1427,2026-06-28T00:32:54.999911+00:00,2026-06-28T21:54:56.988863+00:00,2026-06-28T21:55:23.396595+00:00,overwrite,ok,,,manybugs,gzip-2010-01-30-fc00329e3d-1204630c96,f,gzip_2010_01_30_get_method__line1237_1427,gzip_2010_01_30_get_method__line1237_1427,batch04,batch04__gzip_2010_01_30_get_method_line1237_1427,1,1,get_method,gzip.c,1237,1427,c,batch04__gzip-2010-01-30-fc00329e3d-1204630c96__get_method__gzip_2010_01_30_get_method_line1237_1427,llm,llama3.1:8b,ollama,line_edit_prompt_c_v1,c_v1,0.8,8,3,5,0.375,0,0,0,0,0,0,batch_once,,report_and_skip,mapped,4,harness/datasets/coverage/catalogs/manybugs_all_pilots/target_tests.csv,ok,3,0,0,Prompt file: prompts/line_edit_prompt_c_v1.txt; Config file: tmp/batch_configs/batch04/batch04__gzip-2010-01-30-fc00329e3d-1204630c96__get_method__gzip_2010_01_30_get_method_line1237_1427.json,3,3,3,True,3,3,3,3,0,0,1.0,1.0,1.0,False,,0,5,1,3,0,3
batch04__gzip-2010-02-19-3eb6091d69-884ef6d16c__main__gzip_2010_02_19_main_line407_584,harness/executions/c/llm/batch04/batch04__gzip-2010-02-19-3eb6091d69-884ef6d16c__main__gzip_2010_02_19_main_line407_584,2026-06-28T00:33:23.737944+00:00,2026-06-28T21:55:43.271681+00:00,2026-06-28T21:56:19.753420+00:00,overwrite,ok,,,manybugs,gzip-2010-02-19-3eb6091d69-884ef6d16c,f,gzip_2010_02_19_main__line407_584,gzip_2010_02_19_main__line407_584,batch04,batch04__gzip_2010_02_19_main_line407_584,1,1,main,gzip.c,407,584,c,batch04__gzip-2010-02-19-3eb6091d69-884ef6d16c__main__gzip_2010_02_19_main_line407_584,llm,llama3.1:8b,ollama,line_edit_prompt_c_v1,c_v1,0.8,8,6,2,0.75,0,0,0,2,0,0,batch_once,,report_and_skip,mapped,4,harness/datasets/coverage/catalogs/manybugs_all_pilots/target_tests.csv,ok,6,0,0,Prompt file: prompts/line_edit_prompt_c_v1.txt; Config file: tmp/batch_configs/batch04/batch04__gzip-2010-02-19-3eb6091d69-884ef6d16c__main__gzip_2010_02_19_main_line407_584.json,6,6,6,True,6,4,4,4,0,0,0.6666666666666666,0.6666666666666666,1.0,False,,0,2,1,6,0,6
batch04__libtiff-2005-12-21-3b848a7-3edb9cd__TIFFReadDirectory__libtiff_2005_12_21_TIFFReadDirectory_line69_682,harness/executions/c/llm/batch04/batch04__libtiff-2005-12-21-3b848a7-3edb9cd__TIFFReadDirectory__libtiff_2005_12_21_TIFFReadDirectory_line69_682,2026-06-28T00:33:51.062135+00:00,2026-06-28T21:56:38.885663+00:00,2026-06-28T21:57:14.778142+00:00,overwrite,ok,,,manybugs,libtiff-2005-12-21-3b848a7-3edb9cd,f,libtiff_2005_12_21_TIFFReadDirectory__line69_682,libtiff_2005_12_21_TIFFReadDirectory__line69_682,batch04,batch04__libtiff_2005_12_21_TIFFReadDirectory_line69_682,1,1,TIFFReadDirectory,libtiff/tif_dirread.c,69,682,c,batch04__libtiff-2005-12-21-3b848a7-3edb9cd__TIFFReadDirectory__libtiff_2005_12_21_TIFFReadDirectory_line69_682,llm,llama3.1:8b,ollama,line_edit_prompt_c_v1,c_v1,0.8,8,5,3,0.625,0,0,0,3,0,0,batch_once,,report_and_skip,mapped,4,harness/datasets/coverage/catalogs/manybugs_all_pilots/target_tests.csv,ok,5,0,0,Prompt file: prompts/line_edit_prompt_c_v1.txt; Config file: tmp/batch_configs/batch04/batch04__libtiff-2005-12-21-3b848a7-3edb9cd__TIFFReadDirectory__libtiff_2005_12_21_TIFFReadDirectory_line69_682.json,5,5,5,True,5,3,3,3,0,0,0.6,0.6,1.0,False,,0,3,1,5,0,5
batch04__libtiff-2006-02-23-b2ce5d8-207c78a__TIFFWriteDirectory__libtiff_2006_02_23_TIFFWriteDirectory_line80_401,harness/executions/c/llm/batch04/batch04__libtiff-2006-02-23-b2ce5d8-207c78a__TIFFWriteDirectory__libtiff_2006_02_23_TIFFWriteDirectory_line80_401,2026-06-28T00:34:14.540646+00:00,2026-06-28T21:57:34.658201+00:00,2026-06-28T21:58:15.849269+00:00,overwrite,ok,,,manybugs,libtiff-2006-02-23-b2ce5d8-207c78a,f,libtiff_2006_02_23__TIFFWriteDirectory__line80_401,libtiff_2006_02_23__TIFFWriteDirectory__line80_401,batch04,batch04__libtiff_2006_02_23_TIFFWriteDirectory_line80_401,1,1,_TIFFWriteDirectory,libtiff/tif_dirwrite.c,80,401,c,batch04__libtiff-2006-02-23-b2ce5d8-207c78a__TIFFWriteDirectory__libtiff_2006_02_23_TIFFWriteDirectory_line80_401,llm,llama3.1:8b,ollama,line_edit_prompt_c_v1,c_v1,0.8,8,5,3,0.625,0,0,0,3,0,0,batch_once,,report_and_skip,mapped,3,harness/datasets/coverage/catalogs/manybugs_all_pilots/target_tests.csv,ok,5,0,0,Prompt file: prompts/line_edit_prompt_c_v1.txt; Config file: tmp/batch_configs/batch04/batch04__libtiff-2006-02-23-b2ce5d8-207c78a__TIFFWriteDirectory__libtiff_2006_02_23_TIFFWriteDirectory_line80_401.json,5,5,5,True,5,4,4,4,0,0,0.8,0.8,1.0,False,,0,3,1,5,0,5
batch04__libtiff-2006-03-03-a72cf60-0a36d7f__TIFFFetchData__libtiff_2006_03_03_TIFFFetchData_line969_1018,harness/executions/c/llm/batch04/batch04__libtiff-2006-03-03-a72cf60-0a36d7f__TIFFFetchData__libtiff_2006_03_03_TIFFFetchData_line969_1018,2026-06-28T00:34:31.680416+00:00,2026-06-28T21:58:35.944082+00:00,2026-06-28T21:59:14.740809+00:00,overwrite,ok,,,manybugs,libtiff-2006-03-03-a72cf60-0a36d7f,f,libtiff_2006_03_03_TIFFFetchData__line969_1018,libtiff_2006_03_03_TIFFFetchData__line969_1018,batch04,batch04__libtiff_2006_03_03_TIFFFetchData_line969_1018,1,1,TIFFFetchData,libtiff/tif_dirread.c,969,1018,c,batch04__libtiff-2006-03-03-a72cf60-0a36d7f__TIFFFetchData__libtiff_2006_03_03_TIFFFetchData_line969_1018,llm,llama3.1:8b,ollama,line_edit_prompt_c_v1,c_v1,0.8,8,6,2,0.75,0,0,0,2,0,0,batch_once,,report_and_skip,mapped,3,harness/datasets/coverage/catalogs/manybugs_all_pilots/target_tests.csv,ok,6,0,0,Prompt file: prompts/line_edit_prompt_c_v1.txt; Config file: tmp/batch_configs/batch04/batch04__libtiff-2006-03-03-a72cf60-0a36d7f__TIFFFetchData__libtiff_2006_03_03_TIFFFetchData_line969_1018.json,6,6,6,True,6,4,4,4,0,0,0.6666666666666666,0.6666666666666666,1.0,False,,0,2,1,6,0,6
batch04__libtiff-2006-03-03-eec4c06-ee65c74__TIFFFetchData__libtiff_2006_03_03_eec4c06_TIFFFetchData_line969_1018,harness/executions/c/llm/batch04/batch04__libtiff-2006-03-03-eec4c06-ee65c74__TIFFFetchData__libtiff_2006_03_03_eec4c06_TIFFFetchData_line969_1018,2026-06-28T00:34:48.142321+00:00,2026-06-28T21:59:34.672269+00:00,2026-06-28T21:59:54.677612+00:00,overwrite,failure,ValueError,No generated mutants found for execute_only mode in harness/executions/c/llm/batch04/batch04__libtiff-2006-03-03-eec4c06-ee65c74__TIFFFetchData__libtiff_2006_03_03_eec4c06_TIFFFetchData_line969_1018/generation,manybugs,libtiff-2006-03-03-eec4c06-ee65c74,f,libtiff_2006_03_03_eec4c06_TIFFFetchData__line969_1018,libtiff_2006_03_03_eec4c06_TIFFFetchData__line969_1018,batch04,batch04__libtiff_2006_03_03_eec4c06_TIFFFetchData_line969_1018,1,1,TIFFFetchData,libtiff/tif_dirread.c,969,1018,c,batch04__libtiff-2006-03-03-eec4c06-ee65c74__TIFFFetchData__libtiff_2006_03_03_eec4c06_TIFFFetchData_line969_1018,llm,llama3.1:8b,ollama,line_edit_prompt_c_v1,c_v1,0.8,8,0,8,0.0,0,0,0,7,1,0,batch_once,,report_and_skip,,,,ok,0,0,0,No generated mutants found for execute_only mode in harness/executions/c/llm/batch04/batch04__libtiff-2006-03-03-eec4c06-ee65c74__TIFFFetchData__libtiff_2006_03_03_eec4c06_TIFFFetchData_line969_1018/generation,0,,,,,,,,,,,,,False,,0,8,1,0,0,0
