batch_id,run_name,dataset,project,subject,version,target_id,function,run_status,failure_reason,requested_mutants,accepted_mutants,rejected_mutants,acceptance_rate,executed_total_mutants,build_successes,build_success_rate,executable_mutants,executable_yield,killed_mutants,survived_mutants,mutation_score,top_rejection_reason,top_rejection_count
batch01,batch01__Lang_1__arrayMemberEquals__lang_1f_arrayMemberEquals_line287,defects4j,Lang,Lang_1,f,lang_1f_arrayMemberEquals__line287_316,arrayMemberEquals,ok,,8,8,0,1.0,8,8,1.0,8,1.0,2,6,0.25,,0
batch01,batch01__Lang_1__equals__lang_1f_equals_line122,defects4j,Lang,Lang_1,f,lang_1f_equals__line122_153,equals,ok,,8,7,1,0.875,7,6,0.8571428571428571,6,0.8571428571428571,3,3,0.5,missing_or_invalid_aftercode,1
batch01,batch01__Lang_1__lastIndexOf__lang_1f_lastIndexOf_line1687,defects4j,Lang,Lang_1,f,lang_1f_lastIndexOf__line1687_1710,lastIndexOf,ok,,8,7,1,0.875,7,7,1.0,7,1.0,4,3,0.5714285714285714,non_executable_structural_change: unclosed delimiter(s): {,1
batch01,batch01__Lang_1__toMap__lang_1f_toMap_line234,defects4j,Lang,Lang_1,f,lang_1f_toMap__line234_259,toMap,ok,,8,6,2,0.75,6,5,0.8333333333333334,5,0.8333333333333334,4,1,0.8,non_executable_structural_change: unmatched closing delimiter: ),2
batch01,batch01__Lang_1__add__lang_1f_add_line173,defects4j,Lang,Lang_1,f,lang_1f_add__line173_200,add,ok,,8,6,2,0.75,6,6,1.0,6,1.0,5,1,0.8333333333333334,non_executable_structural_change: unclosed delimiter(s): {,2
batch01,batch01__Lang_1__containsAny__lang_1f_containsAny_line1515,defects4j,Lang,Lang_1,f,lang_1f_containsAny__line1515_1543,containsAny,ok,,8,7,1,0.875,7,7,1.0,7,1.0,7,0,1.0,duplicate_mutant,1
batch01,batch01__Lang_1__containsNone__lang_1f_containsNone_line1771,defects4j,Lang,Lang_1,f,lang_1f_containsNone__line1771_1799,containsNone,ok,,8,8,0,1.0,8,7,0.875,7,0.875,5,2,0.7142857142857143,,0
batch01,batch01__Lang_1__append__lang_1f_append_line821,defects4j,Lang,Lang_1,f,lang_1f_append__line821_854,append,ok,,8,7,1,0.875,7,7,1.0,7,1.0,7,0,1.0,duplicate_mutant,1
batch01,batch01__Lang_1__pow__lang_1f_pow_line546,defects4j,Lang,Lang_1,f,lang_1f_pow__line546_564,pow,ok,,8,8,0,1.0,8,8,1.0,8,1.0,7,1,0.875,,0
batch01,batch01__Lang_1__createBigInteger__lang_1f_createBigInteger_line723,defects4j,Lang,Lang_1,f,lang_1f_createBigInteger__line723_747,createBigInteger,ok,,8,6,2,0.75,6,6,1.0,6,1.0,6,0,1.0,non_executable_structural_change: unclosed delimiter(s): {,2
batch01,batch01__Cli_1__appendOption__cli_1f_appendOption_line530,defects4j,Cli,Cli_1,f,cli_1f_appendOption__line530_559,appendOption,ok,,8,8,0,1.0,8,8,1.0,8,1.0,3,5,0.375,,0
batch01,batch01__Cli_1__findWrapPos__cli_1f_findWrapPos_line789,defects4j,Cli,Cli_1,f,cli_1f_findWrapPos__line789_833,findWrapPos,ok,,8,5,3,0.625,5,5,1.0,5,1.0,4,1,0.8,non_executable_structural_change: unmatched closing delimiter: },2
batch01,batch01__Cli_1__equals__cli_1f_equals_line600,defects4j,Cli,Cli_1,f,cli_1f_equals__line600_624,equals,ok,,8,7,1,0.875,7,7,1.0,7,1.0,0,7,0.0,missing_or_invalid_precode,1
batch01,batch01__Cli_1__processArgs__cli_1f_processArgs_line314,defects4j,Cli,Cli_1,f,cli_1f_processArgs__line314_346,processArgs,ok,,8,8,0,1.0,8,7,0.875,7,0.875,7,0,1.0,,0
batch01,batch01__Cli_1__processProperties__cli_1f_processProperties_line228,defects4j,Cli,Cli_1,f,cli_1f_processProperties__line228_273,processProperties,ok,,8,6,2,0.75,6,6,1.0,6,1.0,6,0,1.0,non_executable_structural_change: unmatched closing delimiter: ),1
batch01,batch01__Cli_1__isValueCode__cli_1f_isValueCode_line136,defects4j,Cli,Cli_1,f,cli_1f_isValueCode__line136_146,isValueCode,failure,ValueError,8,0,8,0.0,0,0,0.0,0,0.0,0,0,0.0,,0
batch01,batch01__Cli_1__burstToken__cli_1f_burstToken_line278,defects4j,Cli,Cli_1,f,cli_1f_burstToken__line278_308,burstToken,ok,,8,8,0,1.0,8,8,1.0,8,1.0,6,2,0.75,,0
batch01,batch01__Cli_1__createValue__cli_1f_createValue_line61,defects4j,Cli,Cli_1,f,cli_1f_createValue__line61_103,createValue,ok,,8,8,0,1.0,8,8,1.0,8,1.0,6,2,0.75,,0
batch01,batch01__Cli_1__option__cli_1f_option_line48,defects4j,Cli,Cli_1,f,cli_1f_option__line48,option,no_coverage,no_mapped_target_tests,8,8,0,1.0,0,0,0.0,0,0.0,0,0,0.0,,0
batch01,batch01__Cli_1__validateOption__cli_1f_validateOption_line40,defects4j,Cli,Cli_1,f,cli_1f_validateOption__line40_76,validateOption,ok,,8,7,1,0.875,7,5,0.7142857142857143,5,0.7142857142857143,5,0,1.0,missing_or_invalid_aftercode,1
batch01,batch01__Math_1__cdf__math_1f_cdf_line149,defects4j,Math,Math_1,f,math_1f_cdf__line149_180,cdf,ok,,8,8,0,1.0,8,8,1.0,8,1.0,2,6,0.25,,0
batch01,batch01__Math_1__recurseIntersection__math_1f_recurseIntersection_line600,defects4j,Math,Math_1,f,math_1f_recurseIntersection__line600_628,recurseIntersection,failure,ValueError,8,0,8,0.0,0,0,0.0,0,0.0,0,0,0.0,,0
batch01,batch01__Math_1__equals__math_1f_equals_line982,defects4j,Math,Math_1,f,math_1f_equals__line982_1004,equals,ok,,8,8,0,1.0,8,8,1.0,8,1.0,4,4,0.5,,0
batch01,batch01__Math_1__refineSolution__math_1f_refineSolution_line503,defects4j,Math,Math_1,f,math_1f_refineSolution__line503,refineSolution,no_coverage,no_mapped_target_tests,8,7,1,0.875,0,0,0.0,0,0.0,0,0,0.0,missing_or_invalid_precode,1
batch01,batch01__Math_1__equals__math_1f_equals_line599,defects4j,Math,Math_1,f,math_1f_equals__line599_619,equals,ok,,8,8,0,1.0,8,2,0.25,2,0.25,1,1,0.5,,0
batch01,batch01__Math_1__equals__math_1f_equals_line579,defects4j,Math,Math_1,f,math_1f_equals__line579_599,equals,ok,,8,8,0,1.0,8,6,0.75,6,0.75,2,4,0.3333333333333333,,0
batch01,batch01__Math_1__nextPrime__math_1f_nextPrime_line74,defects4j,Math,Math_1,f,math_1f_nextPrime__line74_109,nextPrime,failure,ValueError,8,0,8,0.0,0,0,0.0,0,0.0,0,0,0.0,,0
batch01,batch01__Math_1__logGamma__math_1f_logGamma_line244,defects4j,Math,Math_1,f,math_1f_logGamma__line244_268,logGamma,ok,,8,7,1,0.875,7,6,0.8571428571428571,6,0.8571428571428571,6,0,1.0,missing_or_invalid_aftercode,1
batch01,batch01__Math_1__equals__math_1f_equals_line368,defects4j,Math,Math_1,f,math_1f_equals__line368_386,equals,ok,,8,8,0,1.0,8,7,0.875,7,0.875,1,6,0.14285714285714285,,0
batch01,batch01__Math_1__addObservations__math_1f_addObservations_line294,defects4j,Math,Math_1,f,math_1f_addObservations__line294,addObservations,no_coverage,no_mapped_target_tests,8,7,1,0.875,0,0,0.0,0,0.0,0,0,0.0,non_executable_structural_change: block_structure_change,1
batch01,batch01__Csv_1__simpleTokenLexer__csv_1f_simpleTokenLexer_line137,defects4j,Csv,Csv_1,f,csv_1f_simpleTokenLexer__line137_166,simpleTokenLexer,ok,,8,8,0,1.0,8,8,1.0,8,1.0,6,2,0.75,,0
batch01,batch01__Csv_1__read__csv_1f_read_line79,defects4j,Csv,Csv_1,f,csv_1f_read__line79_107,read,ok,,8,8,0,1.0,8,8,1.0,8,1.0,3,5,0.375,,0
batch01,batch01__Csv_1__encapsulatedTokenLexer__csv_1f_encapsulatedTokenLexer_line181,defects4j,Csv,Csv_1,f,csv_1f_encapsulatedTokenLexer__line181_225,encapsulatedTokenLexer,failure,ValueError,8,0,8,0.0,0,0,0.0,0,0.0,0,0,0.0,,0
batch01,batch01__Csv_1__printAndEscape__csv_1f_printAndEscape_line150,defects4j,Csv,Csv_1,f,csv_1f_printAndEscape__line150_186,printAndEscape,ok,,8,8,0,1.0,8,8,1.0,8,1.0,5,3,0.625,,0
batch01,batch01__Csv_1__printComment__csv_1f_printComment_line100,defects4j,Csv,Csv_1,f,csv_1f_printComment__line100_128,printComment,ok,,8,8,0,1.0,8,7,0.875,7,0.875,6,1,0.8571428571428571,,0
batch01,batch01__Csv_1__initializeHeader__csv_1f_initializeHeader_line169,defects4j,Csv,Csv_1,f,csv_1f_initializeHeader__line169_193,initializeHeader,ok,,8,4,4,0.5,4,3,0.75,3,0.75,2,1,0.6666666666666666,non_executable_structural_change: block_structure_change,2
batch01,batch01__Csv_1__readEscape__csv_1f_readEscape_line63,defects4j,Csv,Csv_1,f,csv_1f_readEscape__line63_80,readEscape,ok,,8,3,5,0.375,3,3,1.0,3,1.0,2,1,0.6666666666666666,non_executable_change,4
batch01,batch01__Csv_1__validate__csv_1f_validate_line175,defects4j,Csv,Csv_1,f,csv_1f_validate__line175_195,validate,ok,,8,5,3,0.625,5,5,1.0,5,1.0,5,0,1.0,non_executable_structural_change: unmatched closing delimiter: },3
batch01,batch01__Csv_1__trimTrailingSpaces__csv_1f_trimTrailingSpaces_line82,defects4j,Csv,Csv_1,f,csv_1f_trimTrailingSpaces__line82_90,trimTrailingSpaces,ok,,8,7,1,0.875,7,7,1.0,7,1.0,3,4,0.42857142857142855,non_executable_structural_change: block_structure_change,1
batch01,batch01__Csv_1__iterator__csv_1f_iterator_line199,defects4j,Csv,Csv_1,f,csv_1f_iterator__line199_238,iterator,ok,,8,7,1,0.875,7,4,0.5714285714285714,4,0.5714285714285714,4,0,1.0,non_executable_structural_change: unmatched closing delimiter: },1
