dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Cli_30,cli_30f_createValue__line60_102,batch11__Cli_30__createValue__cli_30f_createValue_line60,createValue,m04,fc94a3763c202b3c59b086d16b423d1fe32bfdaaec1371edf565e9f3b1127ab3,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Cli_30__createValue__cli_30f_createValue_line60/execution/m04.log
defects4j,Cli_30,cli_30f_createValue__line60_102,batch11__Cli_30__createValue__cli_30f_createValue_line60,createValue,m08,4c77cd6f969c481976c5a8e99b4f784ffdcceacc31613124af5d93159480bcbd,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Cli_30__createValue__cli_30f_createValue_line60/execution/m08.log
defects4j,Cli_30,cli_30f_createValue__line60_102,batch11__Cli_30__createValue__cli_30f_createValue_line60,createValue,m01,2e84c0fdbf150755e9f0d98b52bc3f6318c32559d71c65b76bef3a526faef3e2,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch11__Cli_30__createValue__cli_30f_createValue_line60/execution/m01.log
defects4j,Cli_30,cli_30f_createValue__line60_102,batch11__Cli_30__createValue__cli_30f_createValue_line60,createValue,m05,6a5158429182f24bc89b987489d9030b48730a5e4cc782cc2a4e71a5f6e5927e,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Cli_30__createValue__cli_30f_createValue_line60/execution/m05.log
defects4j,Cli_30,cli_30f_createValue__line60_102,batch11__Cli_30__createValue__cli_30f_createValue_line60,createValue,m09,d19b09548ec00c341d0f76540d65877abc70d7c5e3fb0695a24a56fbd47ec571,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Cli_30__createValue__cli_30f_createValue_line60/execution/m09.log
defects4j,Cli_30,cli_30f_createValue__line60_102,batch11__Cli_30__createValue__cli_30f_createValue_line60,createValue,m02,136f8742284884960ba153081b6ae7113580acbe868418ef71c31ff6f3e48a6e,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Cli_30__createValue__cli_30f_createValue_line60/execution/m02.log
defects4j,Cli_30,cli_30f_createValue__line60_102,batch11__Cli_30__createValue__cli_30f_createValue_line60,createValue,m06,d32fbcd9b849c1bafd0abb26fe3f927294cf9ae96d5e8f3a6a2f99b09772240a,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Cli_30__createValue__cli_30f_createValue_line60/execution/m06.log
defects4j,Cli_30,cli_30f_createValue__line60_102,batch11__Cli_30__createValue__cli_30f_createValue_line60,createValue,m10,3e68d0a974abeec901f2ff50056bfdf3436b5d4af5b2a5a402ab6fa41fa45cbf,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Cli_30__createValue__cli_30f_createValue_line60/execution/m10.log
defects4j,Cli_30,cli_30f_createValue__line60_102,batch11__Cli_30__createValue__cli_30f_createValue_line60,createValue,m03,30af646a1b0423f85f964e18dc160a61c95e8b069b04d9b58cf99276d49d172c,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Cli_30__createValue__cli_30f_createValue_line60/execution/m03.log
defects4j,Cli_30,cli_30f_createValue__line60_102,batch11__Cli_30__createValue__cli_30f_createValue_line60,createValue,m07,234df5162de64fdb7c7f9f91eb24a48843d9f873c6ba9b02dce0ff7a9943c53b,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Cli_30__createValue__cli_30f_createValue_line60/execution/m07.log
defects4j,Cli_30,cli_30f_createValue__line60_102,batch11__Cli_30__createValue__cli_30f_createValue_line60,createValue,m12,2d5d97174732d0c0ba1e7bb00630ba80a166c7f4ddab56d922b16c3ab2dc526b,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Cli_30__createValue__cli_30f_createValue_line60/execution/m12.log
