dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Closure_106,closure_106f_precedence__line605_680,batch11__Closure_106__precedence__closure_106f_precedence_line605,precedence,m04,b9ef8b699891ebcc70879d5ebc103419ab315a6a1a2e26bf6de46f34debdc711,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Closure_106__precedence__closure_106f_precedence_line605/execution/m04.log
defects4j,Closure_106,closure_106f_precedence__line605_680,batch11__Closure_106__precedence__closure_106f_precedence_line605,precedence,m08,040763ec448a91dbfd1295bb61a81592088c1020fc2ba83773d21ca5a6187ed9,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Closure_106__precedence__closure_106f_precedence_line605/execution/m08.log
defects4j,Closure_106,closure_106f_precedence__line605_680,batch11__Closure_106__precedence__closure_106f_precedence_line605,precedence,m12,32bd0378a706da4b16c01d0c9edaff74028a38b87dc3aa585535929880cc3d84,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Closure_106__precedence__closure_106f_precedence_line605/execution/m12.log
defects4j,Closure_106,closure_106f_precedence__line605_680,batch11__Closure_106__precedence__closure_106f_precedence_line605,precedence,m03,e14da77ff1a38a5f41275f28ed40c876727dbff606642897d572b90a2ef5f39f,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Closure_106__precedence__closure_106f_precedence_line605/execution/m03.log
defects4j,Closure_106,closure_106f_precedence__line605_680,batch11__Closure_106__precedence__closure_106f_precedence_line605,precedence,m07,69b29c0f00a42ba568815cae83ce5da3fbd617b0f3434a44944969db6f22d671,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Closure_106__precedence__closure_106f_precedence_line605/execution/m07.log
defects4j,Closure_106,closure_106f_precedence__line605_680,batch11__Closure_106__precedence__closure_106f_precedence_line605,precedence,m11,d0c29bdd5cc2e10e1e9dae748e7ab725bd23c2b00fdf5a2ee817db3590fed8ea,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Closure_106__precedence__closure_106f_precedence_line605/execution/m11.log
defects4j,Closure_106,closure_106f_precedence__line605_680,batch11__Closure_106__precedence__closure_106f_precedence_line605,precedence,m15,94d1f4dc06e8c2241b1846b9f9969f7c6a4cda585a38de1b08c49165363ab053,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch11__Closure_106__precedence__closure_106f_precedence_line605/execution/m15.log
defects4j,Closure_106,closure_106f_precedence__line605_680,batch11__Closure_106__precedence__closure_106f_precedence_line605,precedence,m02,7bf32cc04b24ed6f721638892a9b2bd44d7e3bd39eb20545140b6be7664d89cd,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Closure_106__precedence__closure_106f_precedence_line605/execution/m02.log
defects4j,Closure_106,closure_106f_precedence__line605_680,batch11__Closure_106__precedence__closure_106f_precedence_line605,precedence,m06,0958a078345ec011c1d1fabd9b05f8a4a7c8a268bf9f194721c2606dba2b0a8a,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Closure_106__precedence__closure_106f_precedence_line605/execution/m06.log
defects4j,Closure_106,closure_106f_precedence__line605_680,batch11__Closure_106__precedence__closure_106f_precedence_line605,precedence,m10,db7db7ad3a4bf5f7f2176efa5a33a67d4d169fb5b062173ee4905daac22982b3,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Closure_106__precedence__closure_106f_precedence_line605/execution/m10.log
defects4j,Closure_106,closure_106f_precedence__line605_680,batch11__Closure_106__precedence__closure_106f_precedence_line605,precedence,m14,bc1220e8d07184b425443bfea4dd45aede62e6f2f49974774a255b1bf5d375f1,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Closure_106__precedence__closure_106f_precedence_line605/execution/m14.log
defects4j,Closure_106,closure_106f_precedence__line605_680,batch11__Closure_106__precedence__closure_106f_precedence_line605,precedence,m01,25e25623984f33cbb24db1124ab1538db371b5e9d77dec202bebdee0ea96e379,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Closure_106__precedence__closure_106f_precedence_line605/execution/m01.log
defects4j,Closure_106,closure_106f_precedence__line605_680,batch11__Closure_106__precedence__closure_106f_precedence_line605,precedence,m05,f534ee1b9f00adac398a5a4f5fc3bc8f418e8ec23b7262d2010f28a9db5762ce,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Closure_106__precedence__closure_106f_precedence_line605/execution/m05.log
defects4j,Closure_106,closure_106f_precedence__line605_680,batch11__Closure_106__precedence__closure_106f_precedence_line605,precedence,m09,11be01b6c5bdcd908003d433cf8b66bfbb2577d203d72ffdbb2f7c461a9e0ca3,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Closure_106__precedence__closure_106f_precedence_line605/execution/m09.log
defects4j,Closure_106,closure_106f_precedence__line605_680,batch11__Closure_106__precedence__closure_106f_precedence_line605,precedence,m13,901d74468ff2920bc45ebcaa3cbd141fa267953b2d7c27a7b010ef430251123c,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Closure_106__precedence__closure_106f_precedence_line605/execution/m13.log
