dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Codec_11,codec_11f_pattern__line405_496,batch11__Codec_11__pattern__codec_11f_pattern_line405,pattern,m02,3a6ac178dc6c760c321cc272ce05b456d0880da2a1bc9d11985f30c2c8e70bfc,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch11__Codec_11__pattern__codec_11f_pattern_line405/execution/m02.log
defects4j,Codec_11,codec_11f_pattern__line405_496,batch11__Codec_11__pattern__codec_11f_pattern_line405,pattern,m06,0fdf21c5a28d34eade6e0c3f865cdd875d7663e0629013428e5cfdc68a4ab28d,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Codec_11__pattern__codec_11f_pattern_line405/execution/m06.log
defects4j,Codec_11,codec_11f_pattern__line405_496,batch11__Codec_11__pattern__codec_11f_pattern_line405,pattern,m10,206df0daa043bda04b7e286250b9cf2e22c7df61cdee53d64a8accbdf04a8d45,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Codec_11__pattern__codec_11f_pattern_line405/execution/m10.log
defects4j,Codec_11,codec_11f_pattern__line405_496,batch11__Codec_11__pattern__codec_11f_pattern_line405,pattern,m15,d989bc0e5596c936b18085c6c02a6aae9a954f48fea23a4f49aec59ca753eb40,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Codec_11__pattern__codec_11f_pattern_line405/execution/m15.log
defects4j,Codec_11,codec_11f_pattern__line405_496,batch11__Codec_11__pattern__codec_11f_pattern_line405,pattern,m03,0084ad8ef7e28ec71909717ce7c2a3936fc0c47cf8ca904c49eb3ce661effb22,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch11__Codec_11__pattern__codec_11f_pattern_line405/execution/m03.log
defects4j,Codec_11,codec_11f_pattern__line405_496,batch11__Codec_11__pattern__codec_11f_pattern_line405,pattern,m07,d0ab8947b88a5bf1650aca078d035cc827366b4ba1f120bf5f20b83098414834,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Codec_11__pattern__codec_11f_pattern_line405/execution/m07.log
defects4j,Codec_11,codec_11f_pattern__line405_496,batch11__Codec_11__pattern__codec_11f_pattern_line405,pattern,m11,1dfd99659f72384c6ef6a07b0a9ba99187b77e6e45d4d55e3c06c7c38ef5054e,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Codec_11__pattern__codec_11f_pattern_line405/execution/m11.log
defects4j,Codec_11,codec_11f_pattern__line405_496,batch11__Codec_11__pattern__codec_11f_pattern_line405,pattern,m16,d56c5eacb329f9558a8751127a98e309d463d86510523ab0c68a23326af99b86,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Codec_11__pattern__codec_11f_pattern_line405/execution/m16.log
defects4j,Codec_11,codec_11f_pattern__line405_496,batch11__Codec_11__pattern__codec_11f_pattern_line405,pattern,m01,a381651fa52d40c41f61878aecf4458da2a25b840b44e6c7e4beeff3fe1a442b,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Codec_11__pattern__codec_11f_pattern_line405/execution/m01.log
defects4j,Codec_11,codec_11f_pattern__line405_496,batch11__Codec_11__pattern__codec_11f_pattern_line405,pattern,m05,d88cdcf149c081db5988dd2f9f6c21c83b7957cae9934625fe2671dd476f1f38,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Codec_11__pattern__codec_11f_pattern_line405/execution/m05.log
defects4j,Codec_11,codec_11f_pattern__line405_496,batch11__Codec_11__pattern__codec_11f_pattern_line405,pattern,m09,dd60af6a63e287d2e8449afe1766c32e06b6a9604b5989063f59149fd1735f38,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Codec_11__pattern__codec_11f_pattern_line405/execution/m09.log
defects4j,Codec_11,codec_11f_pattern__line405_496,batch11__Codec_11__pattern__codec_11f_pattern_line405,pattern,m14,d33f52ebca47ab6fba14420a8c20e68f745a8df773bf6fc7137c9c0be7998291,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Codec_11__pattern__codec_11f_pattern_line405/execution/m14.log
defects4j,Codec_11,codec_11f_pattern__line405_496,batch11__Codec_11__pattern__codec_11f_pattern_line405,pattern,m04,6bbb9ddb8cdbee7adca657d08afb5a113e5a04443e6b08d68f6a844e7c21ebea,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Codec_11__pattern__codec_11f_pattern_line405/execution/m04.log
defects4j,Codec_11,codec_11f_pattern__line405_496,batch11__Codec_11__pattern__codec_11f_pattern_line405,pattern,m08,43c75b9d8fb44d0f886f60406668981938c31d567e6f1e3f5cf7bd7dae7edb35,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Codec_11__pattern__codec_11f_pattern_line405/execution/m08.log
defects4j,Codec_11,codec_11f_pattern__line405_496,batch11__Codec_11__pattern__codec_11f_pattern_line405,pattern,m12,03070c7df6a7c7b97f23d00ee57fc1b04c7fd9cfcd1cd101588ecdac7c0c7e77,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Codec_11__pattern__codec_11f_pattern_line405/execution/m12.log
