dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Codec_1,codec_1f_handleJ__line526_556,batch11__Codec_1__handleJ__codec_1f_handleJ_line526,handleJ,m02,1fab012e88e95a0499f594c8a415449943036e2a24bd60f5f7877ec906c2c2fd,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Codec_1__handleJ__codec_1f_handleJ_line526/execution/m02.log
defects4j,Codec_1,codec_1f_handleJ__line526_556,batch11__Codec_1__handleJ__codec_1f_handleJ_line526,handleJ,m06,d0622a28977b4fb7159572b4437c35ada0c9a3e9cb0401274252686268886a2c,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Codec_1__handleJ__codec_1f_handleJ_line526/execution/m06.log
defects4j,Codec_1,codec_1f_handleJ__line526_556,batch11__Codec_1__handleJ__codec_1f_handleJ_line526,handleJ,m12,1111ed7b2279496ba433002f99ba4037bc6d44c1808f6de286fccba7a21821cd,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Codec_1__handleJ__codec_1f_handleJ_line526/execution/m12.log
defects4j,Codec_1,codec_1f_handleJ__line526_556,batch11__Codec_1__handleJ__codec_1f_handleJ_line526,handleJ,m04,665dc593442cd619d816b45cbdd9dc93ba49a2dc7a8fb980a3c93d2440e89a63,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Codec_1__handleJ__codec_1f_handleJ_line526/execution/m04.log
defects4j,Codec_1,codec_1f_handleJ__line526_556,batch11__Codec_1__handleJ__codec_1f_handleJ_line526,handleJ,m08,f843a18eeb718b8d24f9c46df06e7b5611ad48b077e32ee25ba78245ec393c71,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Codec_1__handleJ__codec_1f_handleJ_line526/execution/m08.log
defects4j,Codec_1,codec_1f_handleJ__line526_556,batch11__Codec_1__handleJ__codec_1f_handleJ_line526,handleJ,m15,1b902a41233cf2d822b69c8fa7430f108fc0144f4cd6d6ab9e35b5e740833d8a,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Codec_1__handleJ__codec_1f_handleJ_line526/execution/m15.log
defects4j,Codec_1,codec_1f_handleJ__line526_556,batch11__Codec_1__handleJ__codec_1f_handleJ_line526,handleJ,m01,f34568accfd2147bb1704da6eb3797860e0ac8a233f8283f05afec69dbb131ca,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Codec_1__handleJ__codec_1f_handleJ_line526/execution/m01.log
defects4j,Codec_1,codec_1f_handleJ__line526_556,batch11__Codec_1__handleJ__codec_1f_handleJ_line526,handleJ,m05,c02292bb617f89fe57be070744874d2a0704cbe9d4aaef400eed764c24beea46,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Codec_1__handleJ__codec_1f_handleJ_line526/execution/m05.log
defects4j,Codec_1,codec_1f_handleJ__line526_556,batch11__Codec_1__handleJ__codec_1f_handleJ_line526,handleJ,m09,762e7a6518c6d6763969aefd0d362c02496c0c1ce1b1310bff583e6174bed569,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Codec_1__handleJ__codec_1f_handleJ_line526/execution/m09.log
defects4j,Codec_1,codec_1f_handleJ__line526_556,batch11__Codec_1__handleJ__codec_1f_handleJ_line526,handleJ,m03,f3431d9ad6d6405dbd10ca90777644346950be133fbb3c7109378a1e3fc0e17b,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Codec_1__handleJ__codec_1f_handleJ_line526/execution/m03.log
defects4j,Codec_1,codec_1f_handleJ__line526_556,batch11__Codec_1__handleJ__codec_1f_handleJ_line526,handleJ,m07,19a3e8b155824d6f56fba6d873daffbc45bc54b7bb139508cd8f9fc5783ecc99,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Codec_1__handleJ__codec_1f_handleJ_line526/execution/m07.log
defects4j,Codec_1,codec_1f_handleJ__line526_556,batch11__Codec_1__handleJ__codec_1f_handleJ_line526,handleJ,m13,3050f926438859b3c4298dbf2361a5316305b17ee7e1fdcc63c9191269dcbe05,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Codec_1__handleJ__codec_1f_handleJ_line526/execution/m13.log
