dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Csv_11,csv_11f_initializeHeader__line359_394,batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359,initializeHeader,m03,a4df1350246ed3a9b428cee70a2c1cdfd6453288e62701004610490bd78a61f8,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359/execution/m03.log
defects4j,Csv_11,csv_11f_initializeHeader__line359_394,batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359,initializeHeader,m09,862aa5e9aeb5a751c0c3ce1c2964a599f51451f0d3436c8c71d1c600ef02bfb5,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359/execution/m09.log
defects4j,Csv_11,csv_11f_initializeHeader__line359_394,batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359,initializeHeader,m14,262899388f2e4c6d1627882870258b984edf9b5cca559611f722c6678c2c70dc,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359/execution/m14.log
defects4j,Csv_11,csv_11f_initializeHeader__line359_394,batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359,initializeHeader,m01,1b2dff4ac5a4ebbcdb9224d9a922f319c07922cc271c5c64c3f1f8943d4daf38,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359/execution/m01.log
defects4j,Csv_11,csv_11f_initializeHeader__line359_394,batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359,initializeHeader,m07,cfd32c6d7479384e5a6b940a84a070be656782adb41f34a6f82607cb31cdee9b,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359/execution/m07.log
defects4j,Csv_11,csv_11f_initializeHeader__line359_394,batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359,initializeHeader,m12,e48331db5e5b53f17976dc85e558500b0fc851b1dd4414b5b1e866c6b4eea3b6,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359/execution/m12.log
defects4j,Csv_11,csv_11f_initializeHeader__line359_394,batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359,initializeHeader,m02,b23611b47ae72199bc5ffed1dd9801bd67e7a07f5dc716f087f16590a713a62f,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359/execution/m02.log
defects4j,Csv_11,csv_11f_initializeHeader__line359_394,batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359,initializeHeader,m08,0af3749be07876d3e68c3cc06fcb1f79e5c526690723f579cb64cc30c274d409,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359/execution/m08.log
defects4j,Csv_11,csv_11f_initializeHeader__line359_394,batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359,initializeHeader,m13,9b31a663385a86b067be75729035260ae420b8af3d5a1f63d0c7ea2ceadc8f54,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359/execution/m13.log
defects4j,Csv_11,csv_11f_initializeHeader__line359_394,batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359,initializeHeader,m06,c134a87d75a0670c589ebfc00e5a6800880fc3216bb07e4e6aa6c4fa3b3a3241,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359/execution/m06.log
defects4j,Csv_11,csv_11f_initializeHeader__line359_394,batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359,initializeHeader,m11,e0421f2f00f7773bb6d1e79d3bc3380144e52dbed68eedb057897076e318914b,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359/execution/m11.log
defects4j,Csv_11,csv_11f_initializeHeader__line359_394,batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359,initializeHeader,m16,c8c9c9ab4d033234bc919bc955ab83bb1822e44e459bd77c4e6412c7ae11b27e,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__Csv_11__initializeHeader__csv_11f_initializeHeader_line359/execution/m16.log
