dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642,_startValueExpectComma,m02,f9fc87a7381041db8df5bd799e7b8ec46b43322e310eba272521c043eacece72,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642/execution/m02.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642,_startValueExpectComma,m06,2782662e64cff83c9214870bdd9bce3588ffa2c3438263ae8cb96ed46e4786ef,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642/execution/m06.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642,_startValueExpectComma,m10,e24b3aad76495590d613634bb6422de8d6269c6c4d7e071279208624691e5303,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642/execution/m10.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642,_startValueExpectComma,m14,d9a85a7f50deba10b099f86d13b5fa492355f64eebe1dfa467b04944ced94bf7,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642/execution/m14.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642,_startValueExpectComma,m04,1f5e7c6509355171e559d1bbb193d0b1b1b5ea327d87d41c4cf4e907f9d13fd9,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642/execution/m04.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642,_startValueExpectComma,m08,31238e23e30e325cd056fdf042070aa3878704778aac4a3af6d2c0e153b0f02e,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642/execution/m08.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642,_startValueExpectComma,m12,e7bc527cfcb5bc6d25c2f5132f5292dbf04cc951c0b6ad335461f1990d6746df,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642/execution/m12.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642,_startValueExpectComma,m01,8850be75baf50cdfb162af2540de08b8a665f1138885e20b2ac4fac188fb04c6,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642/execution/m01.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642,_startValueExpectComma,m05,19afff4de5cfa52559acbbc7b4a2c66e33ad6de4c9b58fd7fc51134a0a9fc218,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642/execution/m05.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642,_startValueExpectComma,m09,86e946bfc22144676563bc933747e8fa63903b4a20d5249fa38576811d016981,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642/execution/m09.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642,_startValueExpectComma,m13,96c8800465a1e97feea229f8b2f401f2ca650ec0258be2d788a0495d48708786,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642/execution/m13.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642,_startValueExpectComma,m03,ad7f69bea689fe910fffbe7d385e6856920eb0d74ca01c0f7d3b6d9494828cad,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642/execution/m03.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642,_startValueExpectComma,m07,92807f2a924676c85e01adf9025f83079e321367581691885b0a6112468b5001,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642/execution/m07.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642,_startValueExpectComma,m11,f5f5970d6796133fe87f2a957d9408b2be70849c699245f1cc9bec00cf255b74,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch11__JacksonCore_25__startValueExpectComma__jacksoncore_25f_startValueExpectComma_line642/execution/m11.log
