dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Codec_17,codec_17f_transcodeRemaining__line118_167,batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118,transcodeRemaining,m04,48a1794d87b04707fb126fc4c47b70e7c8f90283337cbb07a342f342f70c4459,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118/execution/m04.log
defects4j,Codec_17,codec_17f_transcodeRemaining__line118_167,batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118,transcodeRemaining,m09,6fe12087da44043a5792880afbc28fa1b7f6455788d75ef0d24c6c89341641a4,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118/execution/m09.log
defects4j,Codec_17,codec_17f_transcodeRemaining__line118_167,batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118,transcodeRemaining,m14,ff446e130eea3a63d7fbeaf4e6c28d8e554b2f6881da787f5289ad71e6a928d9,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118/execution/m14.log
defects4j,Codec_17,codec_17f_transcodeRemaining__line118_167,batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118,transcodeRemaining,m03,1a8075b21c94dea248667b400764b64b6b56b90833b158684556f7b22b1a3a40,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118/execution/m03.log
defects4j,Codec_17,codec_17f_transcodeRemaining__line118_167,batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118,transcodeRemaining,m08,e78dce644b4fe97049ff013e4bbbb35500874e55d46ea193e09d47b72a0072a7,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118/execution/m08.log
defects4j,Codec_17,codec_17f_transcodeRemaining__line118_167,batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118,transcodeRemaining,m12,2c5b10a019de6c497a87b9ce58a1abb0c7f5aa95b2892a9caedd29687088add5,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118/execution/m12.log
defects4j,Codec_17,codec_17f_transcodeRemaining__line118_167,batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118,transcodeRemaining,m02,e885b1d6b927155803fa2c87d8e4bf563fe3d52e7b1b626886803de5f605b887,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118/execution/m02.log
defects4j,Codec_17,codec_17f_transcodeRemaining__line118_167,batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118,transcodeRemaining,m06,52706fdb0e1c8feb1026142106ac8fd05b4615d58ef82e27b6f51fbbcc967478,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118/execution/m06.log
defects4j,Codec_17,codec_17f_transcodeRemaining__line118_167,batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118,transcodeRemaining,m11,5990b59cbc3a4fbd8502116e2116d5cf00c1b561b0821f8bba45b3fc1dcbed5e,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118/execution/m11.log
defects4j,Codec_17,codec_17f_transcodeRemaining__line118_167,batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118,transcodeRemaining,m16,f331b37e8c1ca76ee9de836276d71788efebb266d13474ab0d22173e6cd3e6aa,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118/execution/m16.log
defects4j,Codec_17,codec_17f_transcodeRemaining__line118_167,batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118,transcodeRemaining,m01,ef03f60283221078c14606b1c3c413164ca63b8b8c422284a2290be6d0a9bce4,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118/execution/m01.log
defects4j,Codec_17,codec_17f_transcodeRemaining__line118_167,batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118,transcodeRemaining,m05,fc8b6088064a50cc3553b8e0926eb948171ccbb9fceebd7b124f130d1bb6683a,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118/execution/m05.log
defects4j,Codec_17,codec_17f_transcodeRemaining__line118_167,batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118,transcodeRemaining,m10,698d6c3af4602c4b1b8c7878115bbf5dd78abdcefa58d3a6cf27e57468c6a45d,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118/execution/m10.log
