dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Collections_22,collections_22f_size__line1301_1332,batch12__Collections_22__size__collections_22f_size_line1301,size,m04,d065b0a923e48038e858c7f31b3144764128092c5b07845b2553a7f6ebc18544,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Collections_22__size__collections_22f_size_line1301/execution/m04.log
defects4j,Collections_22,collections_22f_size__line1301_1332,batch12__Collections_22__size__collections_22f_size_line1301,size,m08,505d7914ee044bca4a877e4a3012f1892598f9274b46861961b6331564431400,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Collections_22__size__collections_22f_size_line1301/execution/m08.log
defects4j,Collections_22,collections_22f_size__line1301_1332,batch12__Collections_22__size__collections_22f_size_line1301,size,m12,159da593941561fa18d7aa63877c6ae3c595671720570862d1b5a6bf5bf60197,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Collections_22__size__collections_22f_size_line1301/execution/m12.log
defects4j,Collections_22,collections_22f_size__line1301_1332,batch12__Collections_22__size__collections_22f_size_line1301,size,m16,2ba022813d57e9ecb18f3d0a41bbc28e73f596e71ead19ce08de450470e98752,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Collections_22__size__collections_22f_size_line1301/execution/m16.log
defects4j,Collections_22,collections_22f_size__line1301_1332,batch12__Collections_22__size__collections_22f_size_line1301,size,m03,68aee0af77fa37e938fca806b40b03ae8cef2e91b6c39d236c4fe130636bb552,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Collections_22__size__collections_22f_size_line1301/execution/m03.log
defects4j,Collections_22,collections_22f_size__line1301_1332,batch12__Collections_22__size__collections_22f_size_line1301,size,m07,d207b58f123773df8864858d86364916b877aee38125b97c60c259801a0e0ac5,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Collections_22__size__collections_22f_size_line1301/execution/m07.log
defects4j,Collections_22,collections_22f_size__line1301_1332,batch12__Collections_22__size__collections_22f_size_line1301,size,m11,f9ce5b573e6b6339f127d6fc451393d128fd5c5c19e4059e7060482482952e20,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Collections_22__size__collections_22f_size_line1301/execution/m11.log
defects4j,Collections_22,collections_22f_size__line1301_1332,batch12__Collections_22__size__collections_22f_size_line1301,size,m15,9264be5a5bbcb2b7cbf596d5defc3792bbc63145698ef46e5d0dfb1b77940136,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Collections_22__size__collections_22f_size_line1301/execution/m15.log
defects4j,Collections_22,collections_22f_size__line1301_1332,batch12__Collections_22__size__collections_22f_size_line1301,size,m02,d66e4b08cf862accf54c376633612dd8a5422e6d0a94c27c18ba9d1307a4ca61,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Collections_22__size__collections_22f_size_line1301/execution/m02.log
defects4j,Collections_22,collections_22f_size__line1301_1332,batch12__Collections_22__size__collections_22f_size_line1301,size,m06,f7ec8e66f01e11013a8a885b2dcd9ce062d2eb8482bf2d4d1500a0d7605c35ca,SUCCESS,FAIL,False,True,harness/executions/java/llm/16/batch12__Collections_22__size__collections_22f_size_line1301/execution/m06.log
defects4j,Collections_22,collections_22f_size__line1301_1332,batch12__Collections_22__size__collections_22f_size_line1301,size,m10,67c1a4b7770cb1ab79e6a71441a693107cf488e445a929ff64c961e59ad7cfda,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Collections_22__size__collections_22f_size_line1301/execution/m10.log
defects4j,Collections_22,collections_22f_size__line1301_1332,batch12__Collections_22__size__collections_22f_size_line1301,size,m14,f5d1485d981889f3901d7d25a76cc8cc31bc499369b86266213d19d820195188,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Collections_22__size__collections_22f_size_line1301/execution/m14.log
defects4j,Collections_22,collections_22f_size__line1301_1332,batch12__Collections_22__size__collections_22f_size_line1301,size,m01,084cca9cf613863a429d2aa854a428d78d53a5d2db1b433705b1a5292d7589a7,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Collections_22__size__collections_22f_size_line1301/execution/m01.log
defects4j,Collections_22,collections_22f_size__line1301_1332,batch12__Collections_22__size__collections_22f_size_line1301,size,m05,a47da1e1b5f8c05e23c3418b15f60c97956ba8919e87ffdd9a8c65946b404582,SUCCESS,FAIL,False,True,harness/executions/java/llm/16/batch12__Collections_22__size__collections_22f_size_line1301/execution/m05.log
defects4j,Collections_22,collections_22f_size__line1301_1332,batch12__Collections_22__size__collections_22f_size_line1301,size,m09,5adaefd97e3226fa61e6cfcbfff8bb6c6229a54b4936abce9100d126ec6410be,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Collections_22__size__collections_22f_size_line1301/execution/m09.log
defects4j,Collections_22,collections_22f_size__line1301_1332,batch12__Collections_22__size__collections_22f_size_line1301,size,m13,69cb8821faac152f1acaad6170b1bacb662fc84bd42ecc6b40226b0ffae544ab,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Collections_22__size__collections_22f_size_line1301/execution/m13.log
