dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Compress_1,compress_1f_generateMTFValues__line1542_1638,batch12__Compress_1__generateMTFValues__compress_1f_generateMTFValues_line1542,generateMTFValues,m02,89799cc8038494567073018f90ba5faad60e8a6f3c119543338c86771d6bc36e,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Compress_1__generateMTFValues__compress_1f_generateMTFValues_line1542/execution/m02.log
defects4j,Compress_1,compress_1f_generateMTFValues__line1542_1638,batch12__Compress_1__generateMTFValues__compress_1f_generateMTFValues_line1542,generateMTFValues,m04,07732d56b816a76bb418f5e684d0b2913f7d33d457dad426662617ec55c84420,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Compress_1__generateMTFValues__compress_1f_generateMTFValues_line1542/execution/m04.log
defects4j,Compress_1,compress_1f_generateMTFValues__line1542_1638,batch12__Compress_1__generateMTFValues__compress_1f_generateMTFValues_line1542,generateMTFValues,m06,2f6ca38ec3665a9ab883c0e0a517af5fb3c55ecae11805644c5893c28390ce50,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Compress_1__generateMTFValues__compress_1f_generateMTFValues_line1542/execution/m06.log
defects4j,Compress_1,compress_1f_generateMTFValues__line1542_1638,batch12__Compress_1__generateMTFValues__compress_1f_generateMTFValues_line1542,generateMTFValues,m08,8671913b78b61018afed255fd352b2a760e551baa05a27827efe10053fd45980,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Compress_1__generateMTFValues__compress_1f_generateMTFValues_line1542/execution/m08.log
defects4j,Compress_1,compress_1f_generateMTFValues__line1542_1638,batch12__Compress_1__generateMTFValues__compress_1f_generateMTFValues_line1542,generateMTFValues,m10,3e9a99b04faaacec435b459d0d9efbe8e3ea3fad22605c5755e5d02d6a52861b,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Compress_1__generateMTFValues__compress_1f_generateMTFValues_line1542/execution/m10.log
defects4j,Compress_1,compress_1f_generateMTFValues__line1542_1638,batch12__Compress_1__generateMTFValues__compress_1f_generateMTFValues_line1542,generateMTFValues,m12,39dab6071b85718d9fc2b313d6af1ef32357a93def6e081fcc0752c913f43862,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Compress_1__generateMTFValues__compress_1f_generateMTFValues_line1542/execution/m12.log
defects4j,Compress_1,compress_1f_generateMTFValues__line1542_1638,batch12__Compress_1__generateMTFValues__compress_1f_generateMTFValues_line1542,generateMTFValues,m14,c676d51a83495559fe35111817a07dab8387002bb55e0b54ac5791d9c08c0a1d,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Compress_1__generateMTFValues__compress_1f_generateMTFValues_line1542/execution/m14.log
defects4j,Compress_1,compress_1f_generateMTFValues__line1542_1638,batch12__Compress_1__generateMTFValues__compress_1f_generateMTFValues_line1542,generateMTFValues,m16,5bf989cb03b00e9b95c07a5632d9307b8ff81bf5bd8fee429d1cee0b5a84889b,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Compress_1__generateMTFValues__compress_1f_generateMTFValues_line1542/execution/m16.log
defects4j,Compress_1,compress_1f_generateMTFValues__line1542_1638,batch12__Compress_1__generateMTFValues__compress_1f_generateMTFValues_line1542,generateMTFValues,m01,f997c482a11f069afbd58d5ee99b6f23ae783bbdcb104d2333ed8d458ffc4578,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Compress_1__generateMTFValues__compress_1f_generateMTFValues_line1542/execution/m01.log
defects4j,Compress_1,compress_1f_generateMTFValues__line1542_1638,batch12__Compress_1__generateMTFValues__compress_1f_generateMTFValues_line1542,generateMTFValues,m03,13065b2ecfc3cc79387d24a3b11db0305a7bbc1c4b8534c3355362328ba9fc58,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Compress_1__generateMTFValues__compress_1f_generateMTFValues_line1542/execution/m03.log
