dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,batch12__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397,readSubStreamsInfo,m01,c40088d14e25254d2fd727814a1cb7754433a73bfee8962cd8cacfc4bd85917b,BASELINE_FAIL,BASELINE_FAIL,False,False,harness/executions/java/llm/16/batch12__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397/execution/m01.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,batch12__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397,readSubStreamsInfo,m05,26ddeaa59110ff936dde0256e23b7b5ba0550bb1f0e845c8b40487185abc9729,BASELINE_FAIL,BASELINE_FAIL,False,False,harness/executions/java/llm/16/batch12__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397/execution/m05.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,batch12__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397,readSubStreamsInfo,m09,32d750f842076fd51ea82f6b3b9ccdabdbc6a6caee21f7c8e67890468cf14e9f,BASELINE_FAIL,BASELINE_FAIL,False,False,harness/executions/java/llm/16/batch12__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397/execution/m09.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,batch12__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397,readSubStreamsInfo,m14,227db17dfbe3ffc49b52aa056d23cc3794c0e92d111445cec507c860cb4ecdc0,BASELINE_FAIL,BASELINE_FAIL,False,False,harness/executions/java/llm/16/batch12__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397/execution/m14.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,batch12__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397,readSubStreamsInfo,m02,1c17781c4175a082ec30d83f2841267dcebe5ee8192e765af163a4d88807d84a,BASELINE_FAIL,BASELINE_FAIL,False,False,harness/executions/java/llm/16/batch12__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397/execution/m02.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,batch12__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397,readSubStreamsInfo,m06,266e27649866837a31f61762bc9631e97b2f2d7800fbcc32aac1b08afbd06396,BASELINE_FAIL,BASELINE_FAIL,False,False,harness/executions/java/llm/16/batch12__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397/execution/m06.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,batch12__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397,readSubStreamsInfo,m10,6b55e6af5418ac7b624ff6e62236829b3ba35c15242cd60daade3e4e0317c653,BASELINE_FAIL,BASELINE_FAIL,False,False,harness/executions/java/llm/16/batch12__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397/execution/m10.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,batch12__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397,readSubStreamsInfo,m15,9cb47b2c4fbbdee463881288ff1cc221cacaf9a7599f4f6fc8e54a9f83995b64,BASELINE_FAIL,BASELINE_FAIL,False,False,harness/executions/java/llm/16/batch12__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397/execution/m15.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,batch12__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397,readSubStreamsInfo,m04,3de38e079b2ef4212311da8a3da8242675bf573df34332b9ca484a9b4a73612f,BASELINE_FAIL,BASELINE_FAIL,False,False,harness/executions/java/llm/16/batch12__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397/execution/m04.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,batch12__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397,readSubStreamsInfo,m08,1079abe8e5980374029af69919ea3e914c02c2e4213d049ca1e3c1001c44ab46,BASELINE_FAIL,BASELINE_FAIL,False,False,harness/executions/java/llm/16/batch12__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397/execution/m08.log
