dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Compress_7,compress_7f_recvDecodingTables__line416_495,batch12__Compress_7__recvDecodingTables__compress_7f_recvDecodingTables_line416,recvDecodingTables,m01,a6993ddf50e0738ffdf5ac6f2500eb2559433b1329750ebd7e276ec765187763,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Compress_7__recvDecodingTables__compress_7f_recvDecodingTables_line416/execution/m01.log
defects4j,Compress_7,compress_7f_recvDecodingTables__line416_495,batch12__Compress_7__recvDecodingTables__compress_7f_recvDecodingTables_line416,recvDecodingTables,m05,cb41e1d248994a8a5cbaa04f5824c1da226570c36ac5b616ca77add703ca3b05,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Compress_7__recvDecodingTables__compress_7f_recvDecodingTables_line416/execution/m05.log
defects4j,Compress_7,compress_7f_recvDecodingTables__line416_495,batch12__Compress_7__recvDecodingTables__compress_7f_recvDecodingTables_line416,recvDecodingTables,m09,edb9f6b9b202bcc6a74d77a3de860c8ac60c6ed917f52725ef4f00a99dbef057,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Compress_7__recvDecodingTables__compress_7f_recvDecodingTables_line416/execution/m09.log
defects4j,Compress_7,compress_7f_recvDecodingTables__line416_495,batch12__Compress_7__recvDecodingTables__compress_7f_recvDecodingTables_line416,recvDecodingTables,m13,6938a282b6b221ce72ead0efde9c7926418ff65f1852e6c4c7b9ebdbfb7c0a77,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Compress_7__recvDecodingTables__compress_7f_recvDecodingTables_line416/execution/m13.log
defects4j,Compress_7,compress_7f_recvDecodingTables__line416_495,batch12__Compress_7__recvDecodingTables__compress_7f_recvDecodingTables_line416,recvDecodingTables,m03,2cf6deaac79100e8ac7b1fc08961af98df84e878d637d5b9669d1967d2edb5a9,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Compress_7__recvDecodingTables__compress_7f_recvDecodingTables_line416/execution/m03.log
defects4j,Compress_7,compress_7f_recvDecodingTables__line416_495,batch12__Compress_7__recvDecodingTables__compress_7f_recvDecodingTables_line416,recvDecodingTables,m07,07a3f8eb9e85e8a4733226796081c263805127bbb99905df88a5671e58046bd1,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Compress_7__recvDecodingTables__compress_7f_recvDecodingTables_line416/execution/m07.log
defects4j,Compress_7,compress_7f_recvDecodingTables__line416_495,batch12__Compress_7__recvDecodingTables__compress_7f_recvDecodingTables_line416,recvDecodingTables,m11,95c2035f0c91bfe0de8e7ab87bddf88e45721099468a8f53b2ec6a6e3b4fa466,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Compress_7__recvDecodingTables__compress_7f_recvDecodingTables_line416/execution/m11.log
defects4j,Compress_7,compress_7f_recvDecodingTables__line416_495,batch12__Compress_7__recvDecodingTables__compress_7f_recvDecodingTables_line416,recvDecodingTables,m15,26dfc78d8568c1bcea6314f9fbc923eb8d19757a1e43ac8a74e4f2857abacd26,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Compress_7__recvDecodingTables__compress_7f_recvDecodingTables_line416/execution/m15.log
defects4j,Compress_7,compress_7f_recvDecodingTables__line416_495,batch12__Compress_7__recvDecodingTables__compress_7f_recvDecodingTables_line416,recvDecodingTables,m04,73c717b73739432dc9d6bee906e31d298c9d342ebc054bf17d2151983df34ab8,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Compress_7__recvDecodingTables__compress_7f_recvDecodingTables_line416/execution/m04.log
defects4j,Compress_7,compress_7f_recvDecodingTables__line416_495,batch12__Compress_7__recvDecodingTables__compress_7f_recvDecodingTables_line416,recvDecodingTables,m08,65b450360505fc326199af101fbfcaf61cb99d83f0e2b9334390a0e468cafba4,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Compress_7__recvDecodingTables__compress_7f_recvDecodingTables_line416/execution/m08.log
