dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Csv_1,csv_1f_nextToken__line40_118,batch12__Csv_1__nextToken__csv_1f_nextToken_line40,nextToken,m03,ac2b58b78d1e52f06048b6a4a3da4e6e0e7ba8feaa800cdd4a7db2aad0a2bd8d,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Csv_1__nextToken__csv_1f_nextToken_line40/execution/m03.log
defects4j,Csv_1,csv_1f_nextToken__line40_118,batch12__Csv_1__nextToken__csv_1f_nextToken_line40,nextToken,m05,6c8bf4fafda1dc0288b04b0c47734bfeaa5b80aa47bc331901ed75ec093766fe,SUCCESS,FAIL,False,True,harness/executions/java/llm/16/batch12__Csv_1__nextToken__csv_1f_nextToken_line40/execution/m05.log
defects4j,Csv_1,csv_1f_nextToken__line40_118,batch12__Csv_1__nextToken__csv_1f_nextToken_line40,nextToken,m07,6a99e33b6eb3c3fd7eda362646675095ebab5ce52397d085cff827cc1c43258d,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Csv_1__nextToken__csv_1f_nextToken_line40/execution/m07.log
defects4j,Csv_1,csv_1f_nextToken__line40_118,batch12__Csv_1__nextToken__csv_1f_nextToken_line40,nextToken,m09,c001897d0235733ab813427f5cd7a36d6dcf99a79085ac87284f85b57dbbb3f2,SUCCESS,FAIL,False,True,harness/executions/java/llm/16/batch12__Csv_1__nextToken__csv_1f_nextToken_line40/execution/m09.log
defects4j,Csv_1,csv_1f_nextToken__line40_118,batch12__Csv_1__nextToken__csv_1f_nextToken_line40,nextToken,m11,e9a1d7ec9cb973858af259b742d08f4ce4fde4fc8ac91d58a1ead167674b0e7d,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Csv_1__nextToken__csv_1f_nextToken_line40/execution/m11.log
defects4j,Csv_1,csv_1f_nextToken__line40_118,batch12__Csv_1__nextToken__csv_1f_nextToken_line40,nextToken,m13,77f4dfb5def9f8aa5813fede192f7a22dfc8fbe074439c7c8f1d065c368db614,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Csv_1__nextToken__csv_1f_nextToken_line40/execution/m13.log
defects4j,Csv_1,csv_1f_nextToken__line40_118,batch12__Csv_1__nextToken__csv_1f_nextToken_line40,nextToken,m15,55115b6824c0ec912f68e20688ef84aece7a8c0e064a9e69005133f1c53dd02a,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Csv_1__nextToken__csv_1f_nextToken_line40/execution/m15.log
defects4j,Csv_1,csv_1f_nextToken__line40_118,batch12__Csv_1__nextToken__csv_1f_nextToken_line40,nextToken,m02,60d4ab9b2c62134d2167b0f5d7ffa6f3e0c642f569ebe0c189940aa7d21e5df6,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Csv_1__nextToken__csv_1f_nextToken_line40/execution/m02.log
defects4j,Csv_1,csv_1f_nextToken__line40_118,batch12__Csv_1__nextToken__csv_1f_nextToken_line40,nextToken,m04,04e5a0621e340100eeab3997802020ef29cc855f88c41ec2b4bec373c20fff00,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Csv_1__nextToken__csv_1f_nextToken_line40/execution/m04.log
defects4j,Csv_1,csv_1f_nextToken__line40_118,batch12__Csv_1__nextToken__csv_1f_nextToken_line40,nextToken,m06,78c4c6a22b0e613b0174d1295a342cc54e7611feac67aaa0df2edaec70132697,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Csv_1__nextToken__csv_1f_nextToken_line40/execution/m06.log
defects4j,Csv_1,csv_1f_nextToken__line40_118,batch12__Csv_1__nextToken__csv_1f_nextToken_line40,nextToken,m08,4603047014e01be11ea76eba09211ee89729d73cfd9ba515bf5273d2a0957e1e,SUCCESS,FAIL,False,True,harness/executions/java/llm/16/batch12__Csv_1__nextToken__csv_1f_nextToken_line40/execution/m08.log
defects4j,Csv_1,csv_1f_nextToken__line40_118,batch12__Csv_1__nextToken__csv_1f_nextToken_line40,nextToken,m10,e7db4124200ade27557bfdba096b4688fb9e8c17e5f0cf6ed4f9c3ba7ced136a,SUCCESS,FAIL,False,True,harness/executions/java/llm/16/batch12__Csv_1__nextToken__csv_1f_nextToken_line40/execution/m10.log
defects4j,Csv_1,csv_1f_nextToken__line40_118,batch12__Csv_1__nextToken__csv_1f_nextToken_line40,nextToken,m12,86a514cd12b3e4845f4578fa6217ec72d59aad70e36494f65ac6d381926b4147,SUCCESS,FAIL,False,True,harness/executions/java/llm/16/batch12__Csv_1__nextToken__csv_1f_nextToken_line40/execution/m12.log
defects4j,Csv_1,csv_1f_nextToken__line40_118,batch12__Csv_1__nextToken__csv_1f_nextToken_line40,nextToken,m14,c4550bef938f3c4c7dd840e6156327dbd1c1a3f147844c202c00d90b81555b9f,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Csv_1__nextToken__csv_1f_nextToken_line40/execution/m14.log
defects4j,Csv_1,csv_1f_nextToken__line40_118,batch12__Csv_1__nextToken__csv_1f_nextToken_line40,nextToken,m16,dfadb90f22fcc4d02a44e6da37d35bc573549c21f879c81dfed42387e5b3e6cd,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Csv_1__nextToken__csv_1f_nextToken_line40/execution/m16.log
