dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Gson_1,gson_1f_nextLiteral__line971_1016,batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971,nextLiteral,m02,9c86e2757916de373f80ff90f192d514f401826bd3406b76bfd4d6bf37e3d4e5,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971/execution/m02.log
defects4j,Gson_1,gson_1f_nextLiteral__line971_1016,batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971,nextLiteral,m06,a4cae798aa3026973a5d6497d3f97e7b309d09ab72043ccfcbdb56e60dcaa416,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971/execution/m06.log
defects4j,Gson_1,gson_1f_nextLiteral__line971_1016,batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971,nextLiteral,m10,514c0ebc451006b6c060552e45bd72d388fd5efb647af70d85a0f47b2a8a90f1,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971/execution/m10.log
defects4j,Gson_1,gson_1f_nextLiteral__line971_1016,batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971,nextLiteral,m14,1c477076d153533784c2da741c7f16f9b37867e4a950aaa4417c1aabe35ff7de,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971/execution/m14.log
defects4j,Gson_1,gson_1f_nextLiteral__line971_1016,batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971,nextLiteral,m04,d346c17ce6692ace3989a7082089f9ed6884586cc8d97fd4339e4b0f6fd31a9a,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971/execution/m04.log
defects4j,Gson_1,gson_1f_nextLiteral__line971_1016,batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971,nextLiteral,m08,ab888e4aff7ed46994c51193ff0af5aee97e3f437011fbf6d415e3f0282a3fa0,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971/execution/m08.log
defects4j,Gson_1,gson_1f_nextLiteral__line971_1016,batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971,nextLiteral,m12,ff88ee9a8482042ff09569cd7687734b1e836859ad1ded819fe7c98af5073ecd,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971/execution/m12.log
defects4j,Gson_1,gson_1f_nextLiteral__line971_1016,batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971,nextLiteral,m16,02ff4a1b96593d088968eb9bc4e87a3eb002f98e5c811ec1bc88ab777d6bc094,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971/execution/m16.log
defects4j,Gson_1,gson_1f_nextLiteral__line971_1016,batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971,nextLiteral,m01,eedb4c38320db2c44c92fd7af45c55d9816b4b9b19c14002de8604826c410c57,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971/execution/m01.log
defects4j,Gson_1,gson_1f_nextLiteral__line971_1016,batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971,nextLiteral,m05,c76b05bbf21d09aaebdb8f315965dbd05aafd2403093f6352cdaab582f08945a,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971/execution/m05.log
defects4j,Gson_1,gson_1f_nextLiteral__line971_1016,batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971,nextLiteral,m09,8b4f22353c39dff579bf815fdfa236e0a5e59dbe986699fe98ae5f9cd105f7b2,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971/execution/m09.log
defects4j,Gson_1,gson_1f_nextLiteral__line971_1016,batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971,nextLiteral,m13,5599312bcf5a6731a2c7ed1be4d09bfcdd2341cb2632ff061d059452237c8147,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971/execution/m13.log
defects4j,Gson_1,gson_1f_nextLiteral__line971_1016,batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971,nextLiteral,m03,bcca17c889fffbcf943ab4f7a55363d479fd039bc7efe7ccd516355f43a79069,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971/execution/m03.log
defects4j,Gson_1,gson_1f_nextLiteral__line971_1016,batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971,nextLiteral,m07,d41c5cda84e688851bf167c27e0f725dc859d843482c2e00efe9ddc663bd1260,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971/execution/m07.log
defects4j,Gson_1,gson_1f_nextLiteral__line971_1016,batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971,nextLiteral,m11,6191b13717598be024814471dabd2d5e00b72e3a37ecc313ed8eaf1f12014bf1,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Gson_1__nextLiteral__gson_1f_nextLiteral_line971/execution/m11.log
