dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902,_isNextTokenNameYes,m01,5bb727a568240215eca9598a54199b15c978ddbcfb4ee39aec321bc607383f6a,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902/execution/m01.log
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902,_isNextTokenNameYes,m03,27f8611ad8a3f7fea601428843b1daaa661de37f3cf53c4b3485678a6ad95900,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902/execution/m03.log
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902,_isNextTokenNameYes,m07,6b517f098db416032f683056fd51f98acd8c463c864468d83808cb3a688a4d10,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902/execution/m07.log
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902,_isNextTokenNameYes,m09,ad7f3baeab6d6b956770ba886b051d885fc48856d69140d7c91986df3654067d,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902/execution/m09.log
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902,_isNextTokenNameYes,m11,0ca4d311acbfc3c50325ed87738fa40de6721796a6536ede8850bea4aabd4526,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902/execution/m11.log
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902,_isNextTokenNameYes,m13,7700ad542dfc96f3a1a7d5fb8ece9e0b8df2be4cd054c9a324775c9e244fda8a,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902/execution/m13.log
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902,_isNextTokenNameYes,m02,ff8d0c9bc9d2647b006006b7616480ae4fcc568e7604ad5d3d759319a0c9bd88,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902/execution/m02.log
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902,_isNextTokenNameYes,m06,8a1b8ce0a2b47a5e7c317326b106a2240c1600bd5f8035caa13e0de2e97a755d,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902/execution/m06.log
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902,_isNextTokenNameYes,m08,10a08346908b0db21fb354e2140708a10fe31c83e5920437ccf399b6a62ae529,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902/execution/m08.log
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902,_isNextTokenNameYes,m10,948624e6cedebeb894bd09a2009cd16d93ecbee952dc9684401f12de20a1ebb6,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902/execution/m10.log
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902,_isNextTokenNameYes,m12,ea1016e46f305835d138624d8955f2bacb089a7a5e2fdd96dda815ef73354377,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902/execution/m12.log
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902,_isNextTokenNameYes,m14,3c25a9a7feaf49e1a956bbd4e23d7d6696977beebe5169c5408d23a02ad6e8d4,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__JacksonCore_1__isNextTokenNameYes__jacksoncore_1f_isNextTokenNameYes_line902/execution/m14.log
