dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,JacksonCore_2,jacksoncore_2f__parseFloat__line1329_1421,batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,_parseFloat,m02,b8a9512658e328cbae7ae8950d90cb6428e35e4e40f859a4f3b4378b76060298,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m02.log
defects4j,JacksonCore_2,jacksoncore_2f__parseFloat__line1329_1421,batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,_parseFloat,m07,7092fef04c295f2b7a44cf5363526ca1e92b919a46e75b11784647c2159fd173,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m07.log
defects4j,JacksonCore_2,jacksoncore_2f__parseFloat__line1329_1421,batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,_parseFloat,m13,5dbe37876c0b33257029361b34b9eb94ee45555ab4ab52ced507c79576059470,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m13.log
defects4j,JacksonCore_2,jacksoncore_2f__parseFloat__line1329_1421,batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,_parseFloat,m04,7b8d602722e12899613de5ac6b3439511451ee0ba5ef66adba4bcae7fd6c9970,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m04.log
defects4j,JacksonCore_2,jacksoncore_2f__parseFloat__line1329_1421,batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,_parseFloat,m09,a3092cb9b451aada400a497608137dd1889ab1dbf9743eed93dc085eaaabe729,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m09.log
defects4j,JacksonCore_2,jacksoncore_2f__parseFloat__line1329_1421,batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,_parseFloat,m15,b7ae76cb17f726b18d351d812c45325dbb27a372539cf236b7ce127486870e1b,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m15.log
defects4j,JacksonCore_2,jacksoncore_2f__parseFloat__line1329_1421,batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,_parseFloat,m03,b6f060886e605a1a5255d5359a7f1a75580dc29cdb06de641cbf4c53774db7c1,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m03.log
defects4j,JacksonCore_2,jacksoncore_2f__parseFloat__line1329_1421,batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,_parseFloat,m08,f1134b04d29d72e54d66a8dc6380ecdc142911a66ab29b897f96c554eba5546d,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m08.log
defects4j,JacksonCore_2,jacksoncore_2f__parseFloat__line1329_1421,batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,_parseFloat,m14,8b1ec32d0b4187deb55e0de20a6d4e5c4b2a8fe2fe6cf12a8bddb66643fa69f1,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m14.log
defects4j,JacksonCore_2,jacksoncore_2f__parseFloat__line1329_1421,batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,_parseFloat,m01,0c9f140762b20d9a38a56a6f5d28e2b1dfebe267cccd8889d4062fef6e2bf66c,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m01.log
defects4j,JacksonCore_2,jacksoncore_2f__parseFloat__line1329_1421,batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,_parseFloat,m06,b2f998cf660ca59b9f4509d32b9021aea564274981503df833e1ecf11b20f1d6,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m06.log
defects4j,JacksonCore_2,jacksoncore_2f__parseFloat__line1329_1421,batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,_parseFloat,m12,8332375078420f1dbb75681540237f0da6a221e236142de119ca39376363a02f,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m12.log
defects4j,JacksonCore_2,jacksoncore_2f__parseFloat__line1329_1421,batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329,_parseFloat,m16,b908c50a6219516f1313dc512a91fae6fdc8c9a2b325df38cf3231029764fe6c,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JacksonCore_2__parseFloat__jacksoncore_2f_parseFloat_line1329/execution/m16.log
