dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,JacksonXml_1,jacksonxml_1f_hasXMLFormat__line682_770,batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,hasXMLFormat,m02,f8e44f71cf32bec7ffc9f01cafd635f960c89b2097fcd60c3aa0d5831055eb3c,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m02.log
defects4j,JacksonXml_1,jacksonxml_1f_hasXMLFormat__line682_770,batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,hasXMLFormat,m06,24f68022504c4cfcbc0280682f8e99bb684b0c9d94f6a758722148a5eec30849,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m06.log
defects4j,JacksonXml_1,jacksonxml_1f_hasXMLFormat__line682_770,batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,hasXMLFormat,m10,c5ffc9cae4e4ca3b83890c22bb1547a694f7b5aac9890638470fd3be96624a11,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m10.log
defects4j,JacksonXml_1,jacksonxml_1f_hasXMLFormat__line682_770,batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,hasXMLFormat,m14,19280074c1e7cb4f753f626ed1528d32af873dfc4b60cabdc7dc96cae58be4ba,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m14.log
defects4j,JacksonXml_1,jacksonxml_1f_hasXMLFormat__line682_770,batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,hasXMLFormat,m01,8d058be84311aab7cf1f5f1f1f6d975f0e032741b120dc205356614b8c370619,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m01.log
defects4j,JacksonXml_1,jacksonxml_1f_hasXMLFormat__line682_770,batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,hasXMLFormat,m05,c82837c55ea56470a8ab4b2529c3fb2a4100becac8e641da5d528602a90fa515,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m05.log
defects4j,JacksonXml_1,jacksonxml_1f_hasXMLFormat__line682_770,batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,hasXMLFormat,m09,2d5ed6999a9e5919bae5a0b6005858a37ef93a783c045efa8a6a4027a9feedd1,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m09.log
defects4j,JacksonXml_1,jacksonxml_1f_hasXMLFormat__line682_770,batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,hasXMLFormat,m13,99c2131f567b691ac8183c16935b4bb91d524839eac9c760163bda38788a4097,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m13.log
defects4j,JacksonXml_1,jacksonxml_1f_hasXMLFormat__line682_770,batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,hasXMLFormat,m03,5d0d0b2d3ce3587383c2fe9128e3c10a748734b92efe0ff1f3240edd84183097,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m03.log
defects4j,JacksonXml_1,jacksonxml_1f_hasXMLFormat__line682_770,batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,hasXMLFormat,m07,ca50cd1762cb2c5b7386baf07778f47b49cbd552f34405e938bcc347dd70eda5,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m07.log
defects4j,JacksonXml_1,jacksonxml_1f_hasXMLFormat__line682_770,batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682,hasXMLFormat,m11,8c199a30faeeb85331566f21ccc3873252835e230743b26dc3b19f759fa2e61a,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__JacksonXml_1__hasXMLFormat__jacksonxml_1f_hasXMLFormat_line682/execution/m11.log
