dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Jsoup_33,jsoup_33f_cssNthChild__line277_308,batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277,cssNthChild,m01,5536ec98b4baecc1031897bcabbc099227e87058623a75eabbbd8cac42f802c9,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277/execution/m01.log
defects4j,Jsoup_33,jsoup_33f_cssNthChild__line277_308,batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277,cssNthChild,m03,1d25dce4707d6426d43d4fa3f2b46943f4de7370c1ea166aa72ce9f545969765,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277/execution/m03.log
defects4j,Jsoup_33,jsoup_33f_cssNthChild__line277_308,batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277,cssNthChild,m05,b4c7d9a2290569aa75af3deac5d3f3021252c0d31eb5dfbfc42c1d9782cf7116,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277/execution/m05.log
defects4j,Jsoup_33,jsoup_33f_cssNthChild__line277_308,batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277,cssNthChild,m07,8415e681e1e1a5a7cab1a127866362b7d6759bba3d343fb7a013820744698324,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277/execution/m07.log
defects4j,Jsoup_33,jsoup_33f_cssNthChild__line277_308,batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277,cssNthChild,m09,db12152a1c2b2d17b847a09175fd100aabb5691788f11723aaf5ebeea63e38fc,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277/execution/m09.log
defects4j,Jsoup_33,jsoup_33f_cssNthChild__line277_308,batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277,cssNthChild,m11,4cf5178abf66feeaade80bcaad414be0ef66fde8b8df301bb76cf212750bdb31,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277/execution/m11.log
defects4j,Jsoup_33,jsoup_33f_cssNthChild__line277_308,batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277,cssNthChild,m13,94d7f1d10c16bf62d72f85dedb6b18e948f61140509d671af2239b7b932e66b3,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277/execution/m13.log
defects4j,Jsoup_33,jsoup_33f_cssNthChild__line277_308,batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277,cssNthChild,m15,70c0509068c24b68db6fd7d72cf2e82d168378d9ddc9269d3da6c166f09e43e7,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277/execution/m15.log
defects4j,Jsoup_33,jsoup_33f_cssNthChild__line277_308,batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277,cssNthChild,m02,165e85c6b7dd9dbd599fc17586bc6284e69cea7421a00711ba44f42fae80c398,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277/execution/m02.log
defects4j,Jsoup_33,jsoup_33f_cssNthChild__line277_308,batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277,cssNthChild,m04,8ebfb6f4279e42b2a531ff22b3ad68199d160606d45e73148b7f2f2a3961b5f0,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277/execution/m04.log
defects4j,Jsoup_33,jsoup_33f_cssNthChild__line277_308,batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277,cssNthChild,m06,f9c37b933be9748f87895afe80d33b8f523e74e742d2d5aac44cea0d4a1213cc,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277/execution/m06.log
defects4j,Jsoup_33,jsoup_33f_cssNthChild__line277_308,batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277,cssNthChild,m08,1c7f674870cae0bdb802a39f2c3ef6ccdbde9b34b7c6cdcacbfe56783869e926,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277/execution/m08.log
defects4j,Jsoup_33,jsoup_33f_cssNthChild__line277_308,batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277,cssNthChild,m10,d297d407ddcf9b21877d3ee9d1b6fec2096c631d13c278f103ef015dc6bb5d7c,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277/execution/m10.log
defects4j,Jsoup_33,jsoup_33f_cssNthChild__line277_308,batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277,cssNthChild,m12,997d9f0fc1461d197a47f2d23816a95e6a28ad3bc3077940abdcf1ae28b2433d,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277/execution/m12.log
defects4j,Jsoup_33,jsoup_33f_cssNthChild__line277_308,batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277,cssNthChild,m14,042de4f24e8537ffaf7511a0f6c0b1c9f0919a061e9bdd18c4c32c5392b781a2,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277/execution/m14.log
defects4j,Jsoup_33,jsoup_33f_cssNthChild__line277_308,batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277,cssNthChild,m16,9600a41af42be1911cc9fe42bf37cf02d88980586857d39858a1b167757f24b8,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Jsoup_33__cssNthChild__jsoup_33f_cssNthChild_line277/execution/m16.log
