dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa1_0__line480_535,batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480,jjMoveStringLiteralDfa1_0,m01,dadd6e8bd6de385a2036e44e8f41cdf0ea0782c52f7567bfbddc81ce165b19ad,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480/execution/m01.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa1_0__line480_535,batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480,jjMoveStringLiteralDfa1_0,m03,925e29b556fc4dcec6097152c64a6416cb0de930ba5257720083b58d5e1d9d38,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480/execution/m03.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa1_0__line480_535,batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480,jjMoveStringLiteralDfa1_0,m05,fa79844642bd758b9b48b6dd14043a57628f5d5ca5bd7f8bedcf62b385df9998,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480/execution/m05.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa1_0__line480_535,batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480,jjMoveStringLiteralDfa1_0,m07,cf4840a5496164ffa33b09007a15e4f4b915e2f2832c39806cc3787eed7e17c7,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480/execution/m07.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa1_0__line480_535,batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480,jjMoveStringLiteralDfa1_0,m09,ec0d60d6b1f848d9e98ff1ea18bbbd0e0948999465bfbf6dfa974c334c4f6f6f,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480/execution/m09.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa1_0__line480_535,batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480,jjMoveStringLiteralDfa1_0,m11,e2d732f53f573b86349dc52dda32989732696eee4585504199e857a01f089eb0,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480/execution/m11.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa1_0__line480_535,batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480,jjMoveStringLiteralDfa1_0,m13,a2e04fccdb9594eb3cc98bbbeb087f3bd637252e697dae7dfe552de11e1a692b,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480/execution/m13.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa1_0__line480_535,batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480,jjMoveStringLiteralDfa1_0,m15,55aadc967b3ecdb459617e6101b0311f23549b8de8d09651c313cf53bbf8b839,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480/execution/m15.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa1_0__line480_535,batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480,jjMoveStringLiteralDfa1_0,m02,087611caaf4d1fdf7589d38a48870585491102d4abd0898aafb91aa51cc5393c,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480/execution/m02.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa1_0__line480_535,batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480,jjMoveStringLiteralDfa1_0,m04,849a20f63a6331a6e788b4e5ae2efd65e4d547cf20ddc6d8bd08a2216b7215f8,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480/execution/m04.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa1_0__line480_535,batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480,jjMoveStringLiteralDfa1_0,m06,3e7fb5065e0568507e6b691b2ff7db7a0aa6ad61b378fbec4036cd319bb510cb,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480/execution/m06.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa1_0__line480_535,batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480,jjMoveStringLiteralDfa1_0,m08,1c2612a6b2ded904d2724c07661ebe42e879283419d5bf0fab9e63a1dffe99e1,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480/execution/m08.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa1_0__line480_535,batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480,jjMoveStringLiteralDfa1_0,m10,e993546ccb82058e024bc4b4024c8541c231a5ac79ab94f876ec84f00792cfa5,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480/execution/m10.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa1_0__line480_535,batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480,jjMoveStringLiteralDfa1_0,m12,548dee0cdc5f22ae39d467850bcda3016e2b3db57e5514dcbd946f744f196653,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480/execution/m12.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa1_0__line480_535,batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480,jjMoveStringLiteralDfa1_0,m14,292d400259b1ff56f54df1ce51a04da4f7c7ed80fafb7b8d5b07d785275b4454,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480/execution/m14.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa1_0__line480_535,batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480,jjMoveStringLiteralDfa1_0,m16,e2ad7e9e4c81ec21e3f0de5a160960949810ace8d84dd6de9525b34ae2690dc1,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JxPath_1__jjMoveStringLiteralDfa1_0__jxpath_1f_jjMoveStringLiteralDfa1_0_line480/execution/m16.log
