dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,JxPath_1,jxpath_1f_jj_3R_19__line3419_3440,batch12__JxPath_1__jj_3R_19__jxpath_1f_jj_3R_19_line3419,jj_3R_19,m04,4512a160143698955f955f332f9dac2e5da632f1980708917e4d4ef6733ff6b4,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JxPath_1__jj_3R_19__jxpath_1f_jj_3R_19_line3419/execution/m04.log
defects4j,JxPath_1,jxpath_1f_jj_3R_19__line3419_3440,batch12__JxPath_1__jj_3R_19__jxpath_1f_jj_3R_19_line3419,jj_3R_19,m08,ee22d748e53732205c4705b914ec0918ca37eaea5ad64cfae42c2db1972eb5f1,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JxPath_1__jj_3R_19__jxpath_1f_jj_3R_19_line3419/execution/m08.log
defects4j,JxPath_1,jxpath_1f_jj_3R_19__line3419_3440,batch12__JxPath_1__jj_3R_19__jxpath_1f_jj_3R_19_line3419,jj_3R_19,m12,3cdfa9d2aeaccd733fe33f04608f9d2c0b37f2b320783c82e4d1fb786f2cd3e9,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JxPath_1__jj_3R_19__jxpath_1f_jj_3R_19_line3419/execution/m12.log
defects4j,JxPath_1,jxpath_1f_jj_3R_19__line3419_3440,batch12__JxPath_1__jj_3R_19__jxpath_1f_jj_3R_19_line3419,jj_3R_19,m16,5d3c5160b6806a70e50da4c49e5154ec74d26c3cffe83c9334a4f542f91e45af,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch12__JxPath_1__jj_3R_19__jxpath_1f_jj_3R_19_line3419/execution/m16.log
defects4j,JxPath_1,jxpath_1f_jj_3R_19__line3419_3440,batch12__JxPath_1__jj_3R_19__jxpath_1f_jj_3R_19_line3419,jj_3R_19,m03,716b10e69e7d6862a1dd1d55d884b97d0443786e6fb5af14a9eb93c56b5965c6,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JxPath_1__jj_3R_19__jxpath_1f_jj_3R_19_line3419/execution/m03.log
defects4j,JxPath_1,jxpath_1f_jj_3R_19__line3419_3440,batch12__JxPath_1__jj_3R_19__jxpath_1f_jj_3R_19_line3419,jj_3R_19,m07,4f9414e3268fb70afbbe591ea56a75f32cedd8ac23930177db7286e1f2be888d,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__JxPath_1__jj_3R_19__jxpath_1f_jj_3R_19_line3419/execution/m07.log
defects4j,JxPath_1,jxpath_1f_jj_3R_19__line3419_3440,batch12__JxPath_1__jj_3R_19__jxpath_1f_jj_3R_19_line3419,jj_3R_19,m11,05b19f26d01693b06d8a337f7749b8564438f5f04d7e25933eba3fad092f13dc,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__JxPath_1__jj_3R_19__jxpath_1f_jj_3R_19_line3419/execution/m11.log
defects4j,JxPath_1,jxpath_1f_jj_3R_19__line3419_3440,batch12__JxPath_1__jj_3R_19__jxpath_1f_jj_3R_19_line3419,jj_3R_19,m15,9594573abae5a3cbe7a2cb608a2b66afb74b02c63631ede78ef6a52f675ab9bc,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch12__JxPath_1__jj_3R_19__jxpath_1f_jj_3R_19_line3419/execution/m15.log
defects4j,JxPath_1,jxpath_1f_jj_3R_19__line3419_3440,batch12__JxPath_1__jj_3R_19__jxpath_1f_jj_3R_19_line3419,jj_3R_19,m02,56872647c13732a5915e3c062cc04f668a4897cef9834ba9d978b97482d1918c,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__JxPath_1__jj_3R_19__jxpath_1f_jj_3R_19_line3419/execution/m02.log
defects4j,JxPath_1,jxpath_1f_jj_3R_19__line3419_3440,batch12__JxPath_1__jj_3R_19__jxpath_1f_jj_3R_19_line3419,jj_3R_19,m06,2ef620bf63c5279ebd60f66804e66f1a4d369a969003cc2a49877ae2e215dfc4,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__JxPath_1__jj_3R_19__jxpath_1f_jj_3R_19_line3419/execution/m06.log
