dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,binaryToHexDigitMsb0_4bits,m02,153e2dae745f8af4975cbb5c4b156c25a87580c02155345b0f761d4c07dfe29c,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m02.log
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,binaryToHexDigitMsb0_4bits,m04,2c71f9357651cfd9f1a626e6f9fc77766d7ff94d4f5c4781fdd8c9dcfc5b3f87,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m04.log
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,binaryToHexDigitMsb0_4bits,m06,e344a63640accd210acf6849a49a728ad41f58731a9b8a0071e8fa974e7f5c73,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m06.log
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,binaryToHexDigitMsb0_4bits,m08,8be44bccfc93a40a85d8389945370af3090875e0df444a0410817abbe2507cbd,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m08.log
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,binaryToHexDigitMsb0_4bits,m10,1420f945f51479f16353debb98507eecfa85485f8eabf0740b941b0c2f4e10e1,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m10.log
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,binaryToHexDigitMsb0_4bits,m14,2826bc011a885af5d1614d92410fab8255913aa3ccad2d67eb32db47c64fd829,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m14.log
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,binaryToHexDigitMsb0_4bits,m16,9978172d92fe165c2ec3b23bcdc74d509da6b9c1b0078d20f8afd84335c18c87,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m16.log
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,binaryToHexDigitMsb0_4bits,m01,f8cbbcada5f616c09ab798e8b6145ed60320e7dec6117b28c33b2920520613b2,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m01.log
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,binaryToHexDigitMsb0_4bits,m03,1b1192468d532604c84e50d719913b98c60e336392885cc237aeddb7b4ec4e4f,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m03.log
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,binaryToHexDigitMsb0_4bits,m05,ffd08b572af2841915609a97599df1c52156c9224944dd0545d917a0f105fbe2,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m05.log
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,binaryToHexDigitMsb0_4bits,m07,f56daf26fd511c2896cafd14fb5659d1114e4e988ac77973b91933c15b8ec046,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m07.log
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,binaryToHexDigitMsb0_4bits,m09,4c0536acc029b7424d24eb798facf53b8d61c1eb2e0e2d18c015c6bdb6442508,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m09.log
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,binaryToHexDigitMsb0_4bits,m13,d6e66e1574b1afdd39d6ba460f373e737904ce6f087a7ab2afa66e9d39bfc173,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m13.log
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,binaryToHexDigitMsb0_4bits,m15,ed01896ad28270c385c1a32a8da8ced9ad155d1901a557ed33b5ac2266f17625,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m15.log
