dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Math_36,math_36f_recurseSides__line436_510,batch12__Math_36__recurseSides__math_36f_recurseSides_line436,recurseSides,m05,4c47fbbcd7dc944c874b56451ac8bcdd45c27e54953f0cde2ac9dfbc9de13bd3,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m05.log
defects4j,Math_36,math_36f_recurseSides__line436_510,batch12__Math_36__recurseSides__math_36f_recurseSides_line436,recurseSides,m09,bbff6e2ddb16cc47b2671eb17b9a6077876d71732d99f0a4d3411e47e0d13b2f,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m09.log
defects4j,Math_36,math_36f_recurseSides__line436_510,batch12__Math_36__recurseSides__math_36f_recurseSides_line436,recurseSides,m13,5c8f9e543f86906e1e98c0e37081964a26f95edf2d2879c366a883600fa17ee4,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m13.log
defects4j,Math_36,math_36f_recurseSides__line436_510,batch12__Math_36__recurseSides__math_36f_recurseSides_line436,recurseSides,m06,0922ca864b7e37beb29226f8d7b24577dbeb7f2f5a267f6e3017f18a3d8fdfd8,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m06.log
defects4j,Math_36,math_36f_recurseSides__line436_510,batch12__Math_36__recurseSides__math_36f_recurseSides_line436,recurseSides,m10,c847daded46f7eeb3d40a4e76afda55a8cc8ce49a955258396f0fec4c8d62af3,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m10.log
defects4j,Math_36,math_36f_recurseSides__line436_510,batch12__Math_36__recurseSides__math_36f_recurseSides_line436,recurseSides,m14,f7d443b80d4d12ee2aa86858c55ecca52e867599979267494b988806e782ca08,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m14.log
defects4j,Math_36,math_36f_recurseSides__line436_510,batch12__Math_36__recurseSides__math_36f_recurseSides_line436,recurseSides,m01,c358c35ad0f9eda4ee56561769ed5a3ca81a6e559d1f2534efeb341d0f77efd0,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m01.log
defects4j,Math_36,math_36f_recurseSides__line436_510,batch12__Math_36__recurseSides__math_36f_recurseSides_line436,recurseSides,m07,b1673ac81af84ffd55350c38b32abe6551837729c1a4c77233d4eb49b9973402,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m07.log
defects4j,Math_36,math_36f_recurseSides__line436_510,batch12__Math_36__recurseSides__math_36f_recurseSides_line436,recurseSides,m11,94f3672028e92fe04ac3a4eb905fcbb1802b9715a383c6770633e97120a38dfd,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m11.log
defects4j,Math_36,math_36f_recurseSides__line436_510,batch12__Math_36__recurseSides__math_36f_recurseSides_line436,recurseSides,m15,ac6ba5a7d78aa79287643db2dd46b535d0fe401864a181c59da33e180b904421,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m15.log
defects4j,Math_36,math_36f_recurseSides__line436_510,batch12__Math_36__recurseSides__math_36f_recurseSides_line436,recurseSides,m04,e190da893fa5be9962b1a77e55990bd04f3bcabb927bdc704166bc44a86a191c,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m04.log
defects4j,Math_36,math_36f_recurseSides__line436_510,batch12__Math_36__recurseSides__math_36f_recurseSides_line436,recurseSides,m08,2bf0e22bc9e723ba21a21485eeefb8ddaec6d4d24d874420444e7e0c1b7b1539,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m08.log
defects4j,Math_36,math_36f_recurseSides__line436_510,batch12__Math_36__recurseSides__math_36f_recurseSides_line436,recurseSides,m12,f9843e9c3fb6ce09553ac72ca3e72d03625b2de118c0c61eae50896b92e9ad82,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m12.log
defects4j,Math_36,math_36f_recurseSides__line436_510,batch12__Math_36__recurseSides__math_36f_recurseSides_line436,recurseSides,m16,c550dad2af08e26254464d4e3b5660251a42dab7baa59cb7a9c7774d2bcd1c23,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch12__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m16.log
