dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Mockito_1,mockito_1f_merge__line1340_1401,batch12__Mockito_1__merge__mockito_1f_merge_line1340,merge,m02,b160615f3b7d90c0574ea91316fed08c2aa8f45f3f43cc42fbfed26a67343f75,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Mockito_1__merge__mockito_1f_merge_line1340/execution/m02.log
defects4j,Mockito_1,mockito_1f_merge__line1340_1401,batch12__Mockito_1__merge__mockito_1f_merge_line1340,merge,m04,03bfd4775259cb48bed8747efe2748939772fa4d3dad243bafcb1f10a22b2306,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Mockito_1__merge__mockito_1f_merge_line1340/execution/m04.log
defects4j,Mockito_1,mockito_1f_merge__line1340_1401,batch12__Mockito_1__merge__mockito_1f_merge_line1340,merge,m06,6a1a1a344031d760f8af91ea27ad4bf9ac92588ce0cb68f29b2e7ae28385660d,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Mockito_1__merge__mockito_1f_merge_line1340/execution/m06.log
defects4j,Mockito_1,mockito_1f_merge__line1340_1401,batch12__Mockito_1__merge__mockito_1f_merge_line1340,merge,m08,8d0cba5c682ccbee1d308b5bd74d775e0de7cf259f1cc976749c57a1e6b72e8e,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Mockito_1__merge__mockito_1f_merge_line1340/execution/m08.log
defects4j,Mockito_1,mockito_1f_merge__line1340_1401,batch12__Mockito_1__merge__mockito_1f_merge_line1340,merge,m10,a74f1ff0041e52246546c6aed75d24cf5de05a0e4b021854e3319c11987abd89,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Mockito_1__merge__mockito_1f_merge_line1340/execution/m10.log
defects4j,Mockito_1,mockito_1f_merge__line1340_1401,batch12__Mockito_1__merge__mockito_1f_merge_line1340,merge,m13,34d5c0a9fe4b4bf574ea64742e081544c55ce7f19fed5feea7d6fd0ef3fc2955,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Mockito_1__merge__mockito_1f_merge_line1340/execution/m13.log
defects4j,Mockito_1,mockito_1f_merge__line1340_1401,batch12__Mockito_1__merge__mockito_1f_merge_line1340,merge,m01,e852224c2f5a84a927712760b1459d2e18c512f9868add99e7a18d0bead2a8fd,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Mockito_1__merge__mockito_1f_merge_line1340/execution/m01.log
defects4j,Mockito_1,mockito_1f_merge__line1340_1401,batch12__Mockito_1__merge__mockito_1f_merge_line1340,merge,m03,94dcb286b56e046c02705a93c04be531c93432bfd41cecf4eca52606e4703535,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Mockito_1__merge__mockito_1f_merge_line1340/execution/m03.log
defects4j,Mockito_1,mockito_1f_merge__line1340_1401,batch12__Mockito_1__merge__mockito_1f_merge_line1340,merge,m05,fae3f80d22aad18657579fe1149cb4c3ea5ecfed428c02e8a87d1a44430ea665,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Mockito_1__merge__mockito_1f_merge_line1340/execution/m05.log
defects4j,Mockito_1,mockito_1f_merge__line1340_1401,batch12__Mockito_1__merge__mockito_1f_merge_line1340,merge,m07,73cca2519ada6e1045bd335f51e1632d65ad757e1f8b858b5b6867a3b33e6caf,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Mockito_1__merge__mockito_1f_merge_line1340/execution/m07.log
defects4j,Mockito_1,mockito_1f_merge__line1340_1401,batch12__Mockito_1__merge__mockito_1f_merge_line1340,merge,m09,2904a23fc6243a1fd84b579476817c36a37a61a588776ecfbb5301bfb1707f0a,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Mockito_1__merge__mockito_1f_merge_line1340/execution/m09.log
defects4j,Mockito_1,mockito_1f_merge__line1340_1401,batch12__Mockito_1__merge__mockito_1f_merge_line1340,merge,m11,5f15c4e3fb962e6531ebb1904288c205496d2a34b712b92c7a128f7fd4c35a4c,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch12__Mockito_1__merge__mockito_1f_merge_line1340/execution/m11.log
