dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Codec_1,codec_1f_handleC__line281_330,batch13__Codec_1__handleC__codec_1f_handleC_line281,handleC,m03,2a8e917bc132edfad4eec7f870e3405326ad56a058cd5cf96aef928bec6b8bd0,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__Codec_1__handleC__codec_1f_handleC_line281/execution/m03.log
defects4j,Codec_1,codec_1f_handleC__line281_330,batch13__Codec_1__handleC__codec_1f_handleC_line281,handleC,m07,2b8e21fe6121289fbcf0b5af09fcb655b09114edd5b50e39d28e93c82efb4ad4,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch13__Codec_1__handleC__codec_1f_handleC_line281/execution/m07.log
defects4j,Codec_1,codec_1f_handleC__line281_330,batch13__Codec_1__handleC__codec_1f_handleC_line281,handleC,m11,7cf237caa94d89d2534778e5e5d2dfb722f70d61ed6c3b478cba1204695d8f50,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__Codec_1__handleC__codec_1f_handleC_line281/execution/m11.log
defects4j,Codec_1,codec_1f_handleC__line281_330,batch13__Codec_1__handleC__codec_1f_handleC_line281,handleC,m02,c3aa715980f4c929da6e3370a531832b066932884b892a1ed4729a219f79f37b,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Codec_1__handleC__codec_1f_handleC_line281/execution/m02.log
defects4j,Codec_1,codec_1f_handleC__line281_330,batch13__Codec_1__handleC__codec_1f_handleC_line281,handleC,m06,0a92f95527e64940410e04ca86c52cae56c0eeff09b16bd70d98007f217ce0e7,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Codec_1__handleC__codec_1f_handleC_line281/execution/m06.log
defects4j,Codec_1,codec_1f_handleC__line281_330,batch13__Codec_1__handleC__codec_1f_handleC_line281,handleC,m10,bf6aeb0283f2df9f19034a91754726516516a7c78de157d9eef2d76f29ccdbc6,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__Codec_1__handleC__codec_1f_handleC_line281/execution/m10.log
defects4j,Codec_1,codec_1f_handleC__line281_330,batch13__Codec_1__handleC__codec_1f_handleC_line281,handleC,m04,5c9e9f8b91927e637877dfa231a11c2ba7ea0c33d842985377a407ddcba61f75,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__Codec_1__handleC__codec_1f_handleC_line281/execution/m04.log
defects4j,Codec_1,codec_1f_handleC__line281_330,batch13__Codec_1__handleC__codec_1f_handleC_line281,handleC,m08,9cb67bdf22f48114ce6ed64432602df71c4f42d5f1120b82e993364f1c16874f,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Codec_1__handleC__codec_1f_handleC_line281/execution/m08.log
defects4j,Codec_1,codec_1f_handleC__line281_330,batch13__Codec_1__handleC__codec_1f_handleC_line281,handleC,m12,989b1e22349f25022c80a04217c19c9598065db8898ef6ec296b9ba65d8d1185,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Codec_1__handleC__codec_1f_handleC_line281/execution/m12.log
defects4j,Codec_1,codec_1f_handleC__line281_330,batch13__Codec_1__handleC__codec_1f_handleC_line281,handleC,m01,1719b6d9c7ae23a6e08a92ff8d358ef0e8c34611cc5071699b19f420f3ad9174,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__Codec_1__handleC__codec_1f_handleC_line281/execution/m01.log
defects4j,Codec_1,codec_1f_handleC__line281_330,batch13__Codec_1__handleC__codec_1f_handleC_line281,handleC,m05,993b09bd780d502dd4b52f8cbd6518581b2a4c06c726422fbca696e151ac3841,SUCCESS,FAIL,False,True,harness/executions/java/llm/16/batch13__Codec_1__handleC__codec_1f_handleC_line281/execution/m05.log
defects4j,Codec_1,codec_1f_handleC__line281_330,batch13__Codec_1__handleC__codec_1f_handleC_line281,handleC,m09,aa993d997c2e1734d802c337fca36cbbc6f2a2c360b7f22d2f1a7fd792151208,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Codec_1__handleC__codec_1f_handleC_line281/execution/m09.log
