dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Codec_1,codec_1f_handleS__line612_660,batch13__Codec_1__handleS__codec_1f_handleS_line612,handleS,m08,75a065f7b3eb51ee1e945a372c1e10a0bacb609151986aaec193463e29b05a2a,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch13__Codec_1__handleS__codec_1f_handleS_line612/execution/m08.log
defects4j,Codec_1,codec_1f_handleS__line612_660,batch13__Codec_1__handleS__codec_1f_handleS_line612,handleS,m13,b763af0fc01e8bc80f0b3fc7a5588a6d1c79d9a4e924cf1d2c33f25bcbb4e3b4,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__Codec_1__handleS__codec_1f_handleS_line612/execution/m13.log
defects4j,Codec_1,codec_1f_handleS__line612_660,batch13__Codec_1__handleS__codec_1f_handleS_line612,handleS,m10,0ef722c0a367c609178c77ad031929c2797add7c736f55a18f08dbc7bf72c73d,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__Codec_1__handleS__codec_1f_handleS_line612/execution/m10.log
defects4j,Codec_1,codec_1f_handleS__line612_660,batch13__Codec_1__handleS__codec_1f_handleS_line612,handleS,m14,ecc2ae3be13200dd895aed4d9d638da7c6de6cc91bb338608a9095ef6af5846d,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Codec_1__handleS__codec_1f_handleS_line612/execution/m14.log
defects4j,Codec_1,codec_1f_handleS__line612_660,batch13__Codec_1__handleS__codec_1f_handleS_line612,handleS,m06,cc062263c96224f0224b4c6b074e5ef656c8f64236f2cc8a8363cadfaf190e09,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Codec_1__handleS__codec_1f_handleS_line612/execution/m06.log
defects4j,Codec_1,codec_1f_handleS__line612_660,batch13__Codec_1__handleS__codec_1f_handleS_line612,handleS,m12,24987453e0a264e854f48fbf119ea5f594aa6165ece8ab5fc35a249d9350331d,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch13__Codec_1__handleS__codec_1f_handleS_line612/execution/m12.log
defects4j,Codec_1,codec_1f_handleS__line612_660,batch13__Codec_1__handleS__codec_1f_handleS_line612,handleS,m16,685be0f73543a74e40f470c2a8d0e55f4b2f9b07d4551e03ab3c14862c9074cb,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Codec_1__handleS__codec_1f_handleS_line612/execution/m16.log
defects4j,Codec_1,codec_1f_handleS__line612_660,batch13__Codec_1__handleS__codec_1f_handleS_line612,handleS,m01,e39e11451451600bfa719ab2d235217112c4acfdf0f0a31fad84833e9e2ed414,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Codec_1__handleS__codec_1f_handleS_line612/execution/m01.log
defects4j,Codec_1,codec_1f_handleS__line612_660,batch13__Codec_1__handleS__codec_1f_handleS_line612,handleS,m11,d1b40b3c4899ca61f558c3106b430af16637060402b3475bd6dace9df64763f9,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Codec_1__handleS__codec_1f_handleS_line612/execution/m11.log
defects4j,Codec_1,codec_1f_handleS__line612_660,batch13__Codec_1__handleS__codec_1f_handleS_line612,handleS,m15,dceb7fe253fb1ee0e3cd62c7674fc0a1446d7b16942844642279285d42e6a315,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__Codec_1__handleS__codec_1f_handleS_line612/execution/m15.log
