dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Compress_43,compress_43f_detect__line486_564,batch13__Compress_43__detect__compress_43f_detect_line486,detect,m02,774f2c41b5c740735a113cbd188a4b1c3899b63ec73b55b591945131c359e066,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Compress_43__detect__compress_43f_detect_line486/execution/m02.log
defects4j,Compress_43,compress_43f_detect__line486_564,batch13__Compress_43__detect__compress_43f_detect_line486,detect,m08,8ff34aa01f96109353493842c98da882f6153b877aa2746fec8fd4fda1f9b4ec,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch13__Compress_43__detect__compress_43f_detect_line486/execution/m08.log
defects4j,Compress_43,compress_43f_detect__line486_564,batch13__Compress_43__detect__compress_43f_detect_line486,detect,m14,04261ee4dd9876fcb9e2c3f3e61509a2fa550e73930465aad4aa6a8a5b9c96a3,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Compress_43__detect__compress_43f_detect_line486/execution/m14.log
defects4j,Compress_43,compress_43f_detect__line486_564,batch13__Compress_43__detect__compress_43f_detect_line486,detect,m04,3530fd7017b9d898578612fa95b2e6a1f4b92726ac7fa07404eaf43f0f3944f3,SUCCESS,FAIL,False,True,harness/executions/java/llm/16/batch13__Compress_43__detect__compress_43f_detect_line486/execution/m04.log
defects4j,Compress_43,compress_43f_detect__line486_564,batch13__Compress_43__detect__compress_43f_detect_line486,detect,m11,fcf7c1d0cb0e611e51089a0e20811db49b40d886e8daf919fa0600f3bd1153e9,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Compress_43__detect__compress_43f_detect_line486/execution/m11.log
defects4j,Compress_43,compress_43f_detect__line486_564,batch13__Compress_43__detect__compress_43f_detect_line486,detect,m16,212f2cb16c494a1aa71730622cd555a37bbdc9decea8cfc1e54017247fc2b956,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Compress_43__detect__compress_43f_detect_line486/execution/m16.log
defects4j,Compress_43,compress_43f_detect__line486_564,batch13__Compress_43__detect__compress_43f_detect_line486,detect,m03,3df2239dee6407c7ebfcade9e2fd06ca8aae396428efc90281006263d9066f60,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Compress_43__detect__compress_43f_detect_line486/execution/m03.log
defects4j,Compress_43,compress_43f_detect__line486_564,batch13__Compress_43__detect__compress_43f_detect_line486,detect,m10,af59f9c67168dcce8ba29bf022ac542fd00c5617039579d5ce75f5cc85a9e95b,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__Compress_43__detect__compress_43f_detect_line486/execution/m10.log
defects4j,Compress_43,compress_43f_detect__line486_564,batch13__Compress_43__detect__compress_43f_detect_line486,detect,m15,11db1e70a01d7be55448527bedce351f461afa4f7df5d94eb19d475d77a42c01,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Compress_43__detect__compress_43f_detect_line486/execution/m15.log
defects4j,Compress_43,compress_43f_detect__line486_564,batch13__Compress_43__detect__compress_43f_detect_line486,detect,m01,241f8873331904254de948439ea4fd9150325db70459002c43ebc069ad1bdd05,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Compress_43__detect__compress_43f_detect_line486/execution/m01.log
defects4j,Compress_43,compress_43f_detect__line486_564,batch13__Compress_43__detect__compress_43f_detect_line486,detect,m06,2966bfff5cd46649954bd553c7845f545f5b3b36e2dd4a7c956a850c0925d09e,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Compress_43__detect__compress_43f_detect_line486/execution/m06.log
defects4j,Compress_43,compress_43f_detect__line486_564,batch13__Compress_43__detect__compress_43f_detect_line486,detect,m12,0da74774a1cdf18487452f1eb3cdc64e50fd393f902c474b2403efe587ba1f9f,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Compress_43__detect__compress_43f_detect_line486/execution/m12.log
