dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025,nextUnquotedValue,m01,8786c98ad2f9888fdb0c842fb39bdd2a42ca989dc871641d631db1d1245ac074,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025/execution/m01.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025,nextUnquotedValue,m05,37391953d06848c326be7f13b47d08d0023e6bf47292b875d345365f73c6278b,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025/execution/m05.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025,nextUnquotedValue,m09,b2deccc795f2b5590881d56981dc65757989f95637d57dd58a75cb2d99df3b78,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025/execution/m09.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025,nextUnquotedValue,m13,d5933dbc6e253c6faebfb834b4c74acc203b035257439ec649ff3c0cb6af3b16,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025/execution/m13.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025,nextUnquotedValue,m03,ce8c98800f038810eebd4da652bb6671fa15661823b83aad084fcf0d1b6ccecc,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025/execution/m03.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025,nextUnquotedValue,m07,1010d55b42ce9617af076e5ebe56157dae8a76c83b8823b3e9c38500245cccdb,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025/execution/m07.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025,nextUnquotedValue,m11,e8ef3333e33a18dc1781e2bb37568a68c2b84fcdc24d78a97d209ab7e69253da,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025/execution/m11.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025,nextUnquotedValue,m15,5adb99e4f68c9cf308e20522fda3762788c60cf0961e631ebcb9e68dae5d2c56,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025/execution/m15.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025,nextUnquotedValue,m02,99fbb4a7e7ea85b7f2eed4fa0baeb1aeb28848f1b464833b4defe249c623d0d4,SUCCESS,FAIL,False,True,harness/executions/java/llm/16/batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025/execution/m02.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025,nextUnquotedValue,m06,969b68668f599aa23cd828bcac7f8c76c08e4920b932f37b8137b2ca91ae5529,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025/execution/m06.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025,nextUnquotedValue,m10,1f8d4173c2ea2880307de02cb9e3e40fff55801b1a215fedd5c85d21c3bbcaf6,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025/execution/m10.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025,nextUnquotedValue,m14,36e5ef24165904209865985945e6348bb17e7ff47a06b75b8a8e5b912c31ed06,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025/execution/m14.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025,nextUnquotedValue,m04,5c6817d5966c8e8a2a6a76fbfe75a917cd59ad1acbb83626f9e4f52bce6548a1,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025/execution/m04.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025,nextUnquotedValue,m08,d54fecdd36e7fc3bbe71a19fe16b6e3bd50cf3b379b4694463994f62e17dd2fa,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025/execution/m08.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025,nextUnquotedValue,m12,b87c9c06e59b6bf3c1b43afc254019c0196de31fe714820d31648560d3b19863,SUCCESS,FAIL,False,True,harness/executions/java/llm/16/batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025/execution/m12.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025,nextUnquotedValue,m16,5b422896d9439c2ff98927295652dc305eb71ac160e5eaefabc67acf9cefc1b7,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Gson_11__nextUnquotedValue__gson_11f_nextUnquotedValue_line1025/execution/m16.log
