dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,_skipColon,m04,974d1d0831543468686216783187054c99f8526b0689dedb5cad70f41d0de2d1,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m04.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,_skipColon,m08,af0d08e36d14e6c1fd3a63e0e240c2eb2aadb3d643d2faca505d9ec3b1a6a6f3,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m08.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,_skipColon,m12,ee65a9828194ff192a5d5edea6b9d172f8d94209b5e1b2fe569452d8c5fbf5bc,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m12.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,_skipColon,m16,ae31c5c514061b7c75fcb36ee6ef35f26e8c5db8159b8a5b691f6fd69c639376,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m16.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,_skipColon,m01,f2e2206ff7c36023fafb802add8f9a9e0cec2d2484974d90330eb7b8b65f3e7d,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m01.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,_skipColon,m05,ce88e35cb9412afd7585f1bc84a81666f7be1e741bc875e7cd826637cb09dfb8,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m05.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,_skipColon,m09,ebe4d6ac32ecf3ba4b3d938501b671a656f0354f5ef77c26ef25bab3f349fe0d,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m09.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,_skipColon,m13,3102f4560e2bd2b5f0126dfa7523bd657dee49a6307eca6d9076462f957443b7,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m13.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,_skipColon,m02,87aaab8db935603cf1c5cb076cea84ac59a37dc666441c7544021142d83c30f4,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m02.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,_skipColon,m06,80b7b07312729e9484a2c4100b7753f147fcf70e33ab2ababe22d218974071bb,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m06.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,_skipColon,m10,7ca775154b5429f889c6de65fc78e159e39e690b35846d007e0bd2ca60443d5d,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m10.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,_skipColon,m14,e29d084a8ac60220089e34525efa4b4fe726dbf76eef06a4467af96872119ee7,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m14.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,_skipColon,m03,2f3cd868864c42119a476bdca211ebcdbedc8b6c73eaef6561dd9ac5b6b667cf,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m03.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,_skipColon,m07,6a99e9f9d9e72dd96637c36944b7fef5baf661a9b09b8be331495b6688778e9f,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m07.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,_skipColon,m11,e30386d548cf003d26204ce5fcbbeedad4c50dbe6971422d7c2402dd609ef090,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m11.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,_skipColon,m15,78a01aae4fe0910a1a265e625fc04563d97b6e369660fd9cfc4e109cca3fbc20,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m15.log
