dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,JacksonDatabind_1,jacksondatabind_1f_resolve__line255_328,batch13__JacksonDatabind_1__resolve__jacksondatabind_1f_resolve_line255,resolve,m03,c1350e8b4bcbcd529e4d0937fb4fb4619895649b011940d7d7ca125c4590ac12,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__JacksonDatabind_1__resolve__jacksondatabind_1f_resolve_line255/execution/m03.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_resolve__line255_328,batch13__JacksonDatabind_1__resolve__jacksondatabind_1f_resolve_line255,resolve,m08,c52949d6a6bcf7a5280cc124c91bb8e8346ababb3b4748ceb25eac265f0777ed,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__JacksonDatabind_1__resolve__jacksondatabind_1f_resolve_line255/execution/m08.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_resolve__line255_328,batch13__JacksonDatabind_1__resolve__jacksondatabind_1f_resolve_line255,resolve,m13,5a757698162e40763a03687042e00926572c397d8f46be37181299493ca4c1ed,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__JacksonDatabind_1__resolve__jacksondatabind_1f_resolve_line255/execution/m13.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_resolve__line255_328,batch13__JacksonDatabind_1__resolve__jacksondatabind_1f_resolve_line255,resolve,m01,d0d29b1323fc3f6ce80a6563a62930ba170093cb517a8860cd211842ebc0f746,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__JacksonDatabind_1__resolve__jacksondatabind_1f_resolve_line255/execution/m01.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_resolve__line255_328,batch13__JacksonDatabind_1__resolve__jacksondatabind_1f_resolve_line255,resolve,m05,d6ad46d45088242dae93eed9cae48f1f6579b4703d8a1f6bec11cb532e431833,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__JacksonDatabind_1__resolve__jacksondatabind_1f_resolve_line255/execution/m05.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_resolve__line255_328,batch13__JacksonDatabind_1__resolve__jacksondatabind_1f_resolve_line255,resolve,m11,7dfac7225c7897f964d5eae454fc525bda60eef73d93938e2af6a319239b4f1c,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch13__JacksonDatabind_1__resolve__jacksondatabind_1f_resolve_line255/execution/m11.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_resolve__line255_328,batch13__JacksonDatabind_1__resolve__jacksondatabind_1f_resolve_line255,resolve,m15,0a0e4d300262ad97ed8c405983bdc50a6587373445cb6191ff5bb4a38d235f10,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__JacksonDatabind_1__resolve__jacksondatabind_1f_resolve_line255/execution/m15.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_resolve__line255_328,batch13__JacksonDatabind_1__resolve__jacksondatabind_1f_resolve_line255,resolve,m04,e22ea1dac93c2da682636667f3fe497fc38aefdc47f60e29b7fe62f188cae3e1,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__JacksonDatabind_1__resolve__jacksondatabind_1f_resolve_line255/execution/m04.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_resolve__line255_328,batch13__JacksonDatabind_1__resolve__jacksondatabind_1f_resolve_line255,resolve,m09,8a68309eb4ca17b7e70c252fe117438ed1e70d5ec9c822350eb8c68d0d431b29,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__JacksonDatabind_1__resolve__jacksondatabind_1f_resolve_line255/execution/m09.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_resolve__line255_328,batch13__JacksonDatabind_1__resolve__jacksondatabind_1f_resolve_line255,resolve,m14,530479d9fa09c4cbaa64e45f47dd02c2a1ea21fffdc846b5e011c529e0eb8d52,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__JacksonDatabind_1__resolve__jacksondatabind_1f_resolve_line255/execution/m14.log
