dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Jsoup_1,jsoup_1f_canContain__line67_99,batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67,canContain,m02,f5cd3bd725c19f0c162547fbdaa591e55b60713c133977eaad413500266337c1,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67/execution/m02.log
defects4j,Jsoup_1,jsoup_1f_canContain__line67_99,batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67,canContain,m06,50f6575c459f5a01b02d16a72cc1e59d984c715f06eb5effd88a219bfc08d1de,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67/execution/m06.log
defects4j,Jsoup_1,jsoup_1f_canContain__line67_99,batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67,canContain,m11,81c4abfbc94aac8f4bb1e76b3b6cb82c3d74ff4892e0477c8c059c7c11923a88,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67/execution/m11.log
defects4j,Jsoup_1,jsoup_1f_canContain__line67_99,batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67,canContain,m04,3925bfa5939b82bce0bdd0a5546258fac576336ebcf3555e80c24a4198275477,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67/execution/m04.log
defects4j,Jsoup_1,jsoup_1f_canContain__line67_99,batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67,canContain,m08,ebba26c6bcee7e7fa31f0463e2f369402ed39d6c028a6b1c14d4f4ab4932f509,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67/execution/m08.log
defects4j,Jsoup_1,jsoup_1f_canContain__line67_99,batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67,canContain,m16,3dba1872a3211cb0d08f26d352288d33f69fa30df4f0deeb4c651a8d8686c4b6,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67/execution/m16.log
defects4j,Jsoup_1,jsoup_1f_canContain__line67_99,batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67,canContain,m03,56db3110b2553a087fd87792f343ab46866c09335d8022ac164622cf25afebf7,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67/execution/m03.log
defects4j,Jsoup_1,jsoup_1f_canContain__line67_99,batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67,canContain,m07,fa904e574dab801b5c14c3df2abc719d13be0f8b389b031b36ba7ef629a1d499,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67/execution/m07.log
defects4j,Jsoup_1,jsoup_1f_canContain__line67_99,batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67,canContain,m15,588f451b5132a3a0f273642ca5c0a3fff963f4867207d88b539615e58aaeb99e,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67/execution/m15.log
defects4j,Jsoup_1,jsoup_1f_canContain__line67_99,batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67,canContain,m01,a58fccb74b00c490fa12936f6dc40c5bc23d62153c55fcccfbacf5ad60bf42fb,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67/execution/m01.log
defects4j,Jsoup_1,jsoup_1f_canContain__line67_99,batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67,canContain,m05,53c90a2819ebd738f0243678b335ef41c7e72bce933e84948b34d8693679ae54,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67/execution/m05.log
defects4j,Jsoup_1,jsoup_1f_canContain__line67_99,batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67,canContain,m10,6d31bb86ee7aae6144ff4448594e74a4e519144be19335d14c7f016cbabb094c,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch13__Jsoup_1__canContain__jsoup_1f_canContain_line67/execution/m10.log
