dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Compress_10,compress_10f_read__line212_291,batch14__Compress_10__read__compress_10f_read_line212,read,m02,d069407541321ae1e1bcbec88eb1e1638dd5c5662a08511ee541d18c1286ab89,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch14__Compress_10__read__compress_10f_read_line212/execution/m02.log
defects4j,Compress_10,compress_10f_read__line212_291,batch14__Compress_10__read__compress_10f_read_line212,read,m06,29658069496819545ae33d0116476182135ed78ee329a6a2d62ec719c0d168f4,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch14__Compress_10__read__compress_10f_read_line212/execution/m06.log
defects4j,Compress_10,compress_10f_read__line212_291,batch14__Compress_10__read__compress_10f_read_line212,read,m10,e643536050e3ad0e319e0b30019d78d8dc16566ac72bc30460d17df9ebb5d9e4,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch14__Compress_10__read__compress_10f_read_line212/execution/m10.log
defects4j,Compress_10,compress_10f_read__line212_291,batch14__Compress_10__read__compress_10f_read_line212,read,m14,30c42441955ec73e726ea1ce158277cc37102b969e1a1ccc5e2d604e3ba780a4,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch14__Compress_10__read__compress_10f_read_line212/execution/m14.log
defects4j,Compress_10,compress_10f_read__line212_291,batch14__Compress_10__read__compress_10f_read_line212,read,m04,9b25c91fb7258623a65c68bec4331201f92ea7d41bf0f995b197a0c2d9a910da,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch14__Compress_10__read__compress_10f_read_line212/execution/m04.log
defects4j,Compress_10,compress_10f_read__line212_291,batch14__Compress_10__read__compress_10f_read_line212,read,m08,5441b4ff2fe618d1c1857db180c97fa3225ae7fc551da86e36494e01a115dd37,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch14__Compress_10__read__compress_10f_read_line212/execution/m08.log
defects4j,Compress_10,compress_10f_read__line212_291,batch14__Compress_10__read__compress_10f_read_line212,read,m12,dbc139373267ce7e0670f3ed491dab59de40e98257a792a725e3c73feb0ade04,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch14__Compress_10__read__compress_10f_read_line212/execution/m12.log
defects4j,Compress_10,compress_10f_read__line212_291,batch14__Compress_10__read__compress_10f_read_line212,read,m16,b953895e9e8415051e92be45b86cd51e370ad60fcdd10bf3f9d4f2580c20a859,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch14__Compress_10__read__compress_10f_read_line212/execution/m16.log
defects4j,Compress_10,compress_10f_read__line212_291,batch14__Compress_10__read__compress_10f_read_line212,read,m01,99ca6bc184dd5ee4fd44764a521423e861a0b7f9c0bb5adb15358a2c3eb56077,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch14__Compress_10__read__compress_10f_read_line212/execution/m01.log
defects4j,Compress_10,compress_10f_read__line212_291,batch14__Compress_10__read__compress_10f_read_line212,read,m05,fcaf5afe774a2c822cc1a14d19eb720429b17da4bf94238892f9f7d0b4428c0e,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch14__Compress_10__read__compress_10f_read_line212/execution/m05.log
defects4j,Compress_10,compress_10f_read__line212_291,batch14__Compress_10__read__compress_10f_read_line212,read,m09,331647a1db946d3362450424edfe0985e8864ca0b20d0d5defd29f8345f42ed5,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch14__Compress_10__read__compress_10f_read_line212/execution/m09.log
defects4j,Compress_10,compress_10f_read__line212_291,batch14__Compress_10__read__compress_10f_read_line212,read,m13,3740986e0b864cb0943fe81c8dd7a212fe4edafeeee090bdcadd94814328c110,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch14__Compress_10__read__compress_10f_read_line212/execution/m13.log
defects4j,Compress_10,compress_10f_read__line212_291,batch14__Compress_10__read__compress_10f_read_line212,read,m03,28eb50a07fb8638703b7b43acc7262d5a4c69afa74da252c85cc8c822630b8fa,SUCCESS,FAIL,False,True,harness/executions/java/llm/16/batch14__Compress_10__read__compress_10f_read_line212/execution/m03.log
defects4j,Compress_10,compress_10f_read__line212_291,batch14__Compress_10__read__compress_10f_read_line212,read,m07,ac12e4c7a3f80f9e2512f5ec3897ca736d646e2b814670a6077ccca5e4903e26,SUCCESS,FAIL,False,True,harness/executions/java/llm/16/batch14__Compress_10__read__compress_10f_read_line212/execution/m07.log
defects4j,Compress_10,compress_10f_read__line212_291,batch14__Compress_10__read__compress_10f_read_line212,read,m11,669267a1de03142556800aa6eab052d8784e5c0402fd5cc6640dd4cdeb0a5bed,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch14__Compress_10__read__compress_10f_read_line212/execution/m11.log
defects4j,Compress_10,compress_10f_read__line212_291,batch14__Compress_10__read__compress_10f_read_line212,read,m15,06abf47b3c5c83c6f434967468d5fdd3c933a46f175e79110aa8fdf63c34c133,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch14__Compress_10__read__compress_10f_read_line212/execution/m15.log
