dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Csv_2,csv_2f_parseEncapsulatedToken__line198_242,batch14__Csv_2__parseEncapsulatedToken__csv_2f_parseEncapsulatedToken_line198,parseEncapsulatedToken,m01,c98074ac276c57b55be7877c910d9e9687648abc28d989d7cbeb78aea1dc587a,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch14__Csv_2__parseEncapsulatedToken__csv_2f_parseEncapsulatedToken_line198/execution/m01.log
defects4j,Csv_2,csv_2f_parseEncapsulatedToken__line198_242,batch14__Csv_2__parseEncapsulatedToken__csv_2f_parseEncapsulatedToken_line198,parseEncapsulatedToken,m06,b9c410383a2d108f755ef1ace3487868a1bf0c63f0aae3ebe00e4c26b5b46311,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch14__Csv_2__parseEncapsulatedToken__csv_2f_parseEncapsulatedToken_line198/execution/m06.log
defects4j,Csv_2,csv_2f_parseEncapsulatedToken__line198_242,batch14__Csv_2__parseEncapsulatedToken__csv_2f_parseEncapsulatedToken_line198,parseEncapsulatedToken,m12,052f47e9f26d0e9e8db4ab9f697b3131e820c226d306e28d2a34d90cf7b94091,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch14__Csv_2__parseEncapsulatedToken__csv_2f_parseEncapsulatedToken_line198/execution/m12.log
defects4j,Csv_2,csv_2f_parseEncapsulatedToken__line198_242,batch14__Csv_2__parseEncapsulatedToken__csv_2f_parseEncapsulatedToken_line198,parseEncapsulatedToken,m05,930ba26d33ed51bffc186638676352a457dd0e633dc6a895ba6466ca46225668,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch14__Csv_2__parseEncapsulatedToken__csv_2f_parseEncapsulatedToken_line198/execution/m05.log
defects4j,Csv_2,csv_2f_parseEncapsulatedToken__line198_242,batch14__Csv_2__parseEncapsulatedToken__csv_2f_parseEncapsulatedToken_line198,parseEncapsulatedToken,m10,4d9201e28c0969bdf3371a55c7805230372b511bea2f4264ac17b5020ed000fd,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch14__Csv_2__parseEncapsulatedToken__csv_2f_parseEncapsulatedToken_line198/execution/m10.log
defects4j,Csv_2,csv_2f_parseEncapsulatedToken__line198_242,batch14__Csv_2__parseEncapsulatedToken__csv_2f_parseEncapsulatedToken_line198,parseEncapsulatedToken,m03,4dfe4375c41c13a313ae0ed8943a6c66ed9ea9090c9b5f8e56adbe8f6fcb4a57,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch14__Csv_2__parseEncapsulatedToken__csv_2f_parseEncapsulatedToken_line198/execution/m03.log
defects4j,Csv_2,csv_2f_parseEncapsulatedToken__line198_242,batch14__Csv_2__parseEncapsulatedToken__csv_2f_parseEncapsulatedToken_line198,parseEncapsulatedToken,m08,93f42ef295b6328cb005b8ce98ef5b2f66ec4703981736d2d78ff7afb17b738d,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch14__Csv_2__parseEncapsulatedToken__csv_2f_parseEncapsulatedToken_line198/execution/m08.log
defects4j,Csv_2,csv_2f_parseEncapsulatedToken__line198_242,batch14__Csv_2__parseEncapsulatedToken__csv_2f_parseEncapsulatedToken_line198,parseEncapsulatedToken,m02,c633d3fb6858c9828a605dad468c7bcbde1910d98718b8455f1c69bb81db1bcf,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch14__Csv_2__parseEncapsulatedToken__csv_2f_parseEncapsulatedToken_line198/execution/m02.log
defects4j,Csv_2,csv_2f_parseEncapsulatedToken__line198_242,batch14__Csv_2__parseEncapsulatedToken__csv_2f_parseEncapsulatedToken_line198,parseEncapsulatedToken,m07,197a9bbf59895d67942b2ee71ef06b721273f74e909a3a2a83fb7d13e9bfcb82,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch14__Csv_2__parseEncapsulatedToken__csv_2f_parseEncapsulatedToken_line198/execution/m07.log
defects4j,Csv_2,csv_2f_parseEncapsulatedToken__line198_242,batch14__Csv_2__parseEncapsulatedToken__csv_2f_parseEncapsulatedToken_line198,parseEncapsulatedToken,m14,cf740eceef078eaad20ff1f6c56486691052ce00e0b9ea2706f8e342110fda5e,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch14__Csv_2__parseEncapsulatedToken__csv_2f_parseEncapsulatedToken_line198/execution/m14.log
