dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,JxPath_6,jxpath_6f_canConvert__line51_148,batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51,canConvert,m02,4dd4f01b8bf81ea377a6c665d853ca306f4cacba95e8b215f187f4465b43c7a8,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51/execution/m02.log
defects4j,JxPath_6,jxpath_6f_canConvert__line51_148,batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51,canConvert,m07,904accea76e9da6c3181ba99c92aa42941535ebb59e5d9bbb53e6f8640cf93da,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51/execution/m07.log
defects4j,JxPath_6,jxpath_6f_canConvert__line51_148,batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51,canConvert,m12,26e8c92709f139114b9d361ba4a45b10ff179ff4fa00c0213a78b21a0f2e8452,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51/execution/m12.log
defects4j,JxPath_6,jxpath_6f_canConvert__line51_148,batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51,canConvert,m03,37ddb5c230bf9f0af3ff66af476c8f1979a85b35e3fdcd7484ca48b377b7898e,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51/execution/m03.log
defects4j,JxPath_6,jxpath_6f_canConvert__line51_148,batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51,canConvert,m08,24c0ddf51e4d372c9931fa8d19c6d0236dcf9861a43bb855b20f42f4d2ed655c,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51/execution/m08.log
defects4j,JxPath_6,jxpath_6f_canConvert__line51_148,batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51,canConvert,m13,a76d5c71fb25667fc264b8e57c0d52f52ade0b8f4b2ce73c8175482c64e9729f,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51/execution/m13.log
defects4j,JxPath_6,jxpath_6f_canConvert__line51_148,batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51,canConvert,m04,fb7be62bbd985753fc1fef41dc8ff7e9eee7b2b040cd376bec1fdbc1dc845d21,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51/execution/m04.log
defects4j,JxPath_6,jxpath_6f_canConvert__line51_148,batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51,canConvert,m09,462a435e70e1957667d23b0762256fde11603eaaa7b6730cb502d1ecdea515f3,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51/execution/m09.log
defects4j,JxPath_6,jxpath_6f_canConvert__line51_148,batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51,canConvert,m14,65c8a079c2b1cef2c54a9d08d1ec65c6fa76b4dae52b3b89899136dd435cda9c,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51/execution/m14.log
defects4j,JxPath_6,jxpath_6f_canConvert__line51_148,batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51,canConvert,m01,5d54fb64e35c5549f6bddd7a2181e94f1a7f5af5f0db93404f7ca0386eba8578,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51/execution/m01.log
defects4j,JxPath_6,jxpath_6f_canConvert__line51_148,batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51,canConvert,m05,2064ffbaf38490d87eb68dcdafcd1c732073336c209150be2d9e7ee91245527e,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51/execution/m05.log
defects4j,JxPath_6,jxpath_6f_canConvert__line51_148,batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51,canConvert,m11,1fc88c88e879e40a9599c110fbbaa0637611f8baf79dbd96975bae42f2d5627b,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51/execution/m11.log
defects4j,JxPath_6,jxpath_6f_canConvert__line51_148,batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51,canConvert,m16,7c5825fefe9774ef1a646a01b7e0089e4ff6e86bbe83768c0192246cba2eb51a,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch14__JxPath_6__canConvert__jxpath_6f_canConvert_line51/execution/m16.log
