dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Cli_40,cli_40f_flatten__line94_174,batch15__Cli_40__flatten__cli_40f_flatten_line94,flatten,m04,21ea40d82faf80605f2f44a9ccae0d46073db5483ba493518f89ccdc0cd50c27,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__Cli_40__flatten__cli_40f_flatten_line94/execution/m04.log
defects4j,Cli_40,cli_40f_flatten__line94_174,batch15__Cli_40__flatten__cli_40f_flatten_line94,flatten,m06,c36f1592ba5d75c8bf008d3f224d67c511a1f0f28860a9276fb2ab9600b12892,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__Cli_40__flatten__cli_40f_flatten_line94/execution/m06.log
defects4j,Cli_40,cli_40f_flatten__line94_174,batch15__Cli_40__flatten__cli_40f_flatten_line94,flatten,m08,c52c6e9437b2f6c7d73ddf6dbe10102bd5a5b4fb8b8c01731073a458b9fd6204,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__Cli_40__flatten__cli_40f_flatten_line94/execution/m08.log
defects4j,Cli_40,cli_40f_flatten__line94_174,batch15__Cli_40__flatten__cli_40f_flatten_line94,flatten,m10,d02187ac1531b53e43df2816f653a8b59f50b6b6b3f1049ae656981291862a03,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__Cli_40__flatten__cli_40f_flatten_line94/execution/m10.log
defects4j,Cli_40,cli_40f_flatten__line94_174,batch15__Cli_40__flatten__cli_40f_flatten_line94,flatten,m12,a93b9f362e050e674dd7c91f7cbe3964c3ce2d9cbadf0d2eb42d7449335e544d,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch15__Cli_40__flatten__cli_40f_flatten_line94/execution/m12.log
defects4j,Cli_40,cli_40f_flatten__line94_174,batch15__Cli_40__flatten__cli_40f_flatten_line94,flatten,m14,c93f4091281561c65e55c2675f94f15a4dc6771537ac275d9c4934dcf7a0fa62,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__Cli_40__flatten__cli_40f_flatten_line94/execution/m14.log
defects4j,Cli_40,cli_40f_flatten__line94_174,batch15__Cli_40__flatten__cli_40f_flatten_line94,flatten,m16,c2df6a4b3e471fba8b8e5c328fe441afd89208b46d8c2b698e2ec4bf9c5dda0b,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__Cli_40__flatten__cli_40f_flatten_line94/execution/m16.log
defects4j,Cli_40,cli_40f_flatten__line94_174,batch15__Cli_40__flatten__cli_40f_flatten_line94,flatten,m03,052309173bbf5946bcae70fbc588fd13922f980b220509e5cc854c73d07ff609,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__Cli_40__flatten__cli_40f_flatten_line94/execution/m03.log
defects4j,Cli_40,cli_40f_flatten__line94_174,batch15__Cli_40__flatten__cli_40f_flatten_line94,flatten,m05,482805e58b594d1bd5e937d970edb12703e1813964512d7087f9c047bcb44cc7,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__Cli_40__flatten__cli_40f_flatten_line94/execution/m05.log
defects4j,Cli_40,cli_40f_flatten__line94_174,batch15__Cli_40__flatten__cli_40f_flatten_line94,flatten,m07,f6483f25cc703b8e5dbb3eda3e4bd7794804014c15a638c4b7328df10e6242eb,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__Cli_40__flatten__cli_40f_flatten_line94/execution/m07.log
defects4j,Cli_40,cli_40f_flatten__line94_174,batch15__Cli_40__flatten__cli_40f_flatten_line94,flatten,m09,ceb3740452a78f014a3b39023a86277ddab5ea57b533b3c3e73800957864625c,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__Cli_40__flatten__cli_40f_flatten_line94/execution/m09.log
defects4j,Cli_40,cli_40f_flatten__line94_174,batch15__Cli_40__flatten__cli_40f_flatten_line94,flatten,m11,2e9b96c496f928f9d1942b5e75176f5cd3530d2735b82f2d85e01bd63c86d90c,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__Cli_40__flatten__cli_40f_flatten_line94/execution/m11.log
defects4j,Cli_40,cli_40f_flatten__line94_174,batch15__Cli_40__flatten__cli_40f_flatten_line94,flatten,m13,4a9e7c1c121adacc63149b1715d7353831ba9543d9f002b6903cc06a5b946886,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__Cli_40__flatten__cli_40f_flatten_line94/execution/m13.log
defects4j,Cli_40,cli_40f_flatten__line94_174,batch15__Cli_40__flatten__cli_40f_flatten_line94,flatten,m15,2e5f3a5951d8932dcf59726e16191bf1218857b95c6101e2e1f6e30511cbedf3,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__Cli_40__flatten__cli_40f_flatten_line94/execution/m15.log
