dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Collections_1,collections_1f_put__line255_331,batch15__Collections_1__put__collections_1f_put_line255,put,m02,6f29c7ac00144a8dc84053c29b80426ec602c1975ee62a430ae46f7fa622c308,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__Collections_1__put__collections_1f_put_line255/execution/m02.log
defects4j,Collections_1,collections_1f_put__line255_331,batch15__Collections_1__put__collections_1f_put_line255,put,m04,1a4e20063cdf5a91998d7d751dcd757f3d053ab4e087488e8da5a24ffdc556e6,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__Collections_1__put__collections_1f_put_line255/execution/m04.log
defects4j,Collections_1,collections_1f_put__line255_331,batch15__Collections_1__put__collections_1f_put_line255,put,m06,13b2268f254e6041b26173753226ead8b449521ac471516f0b0c6e5730d9528d,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__Collections_1__put__collections_1f_put_line255/execution/m06.log
defects4j,Collections_1,collections_1f_put__line255_331,batch15__Collections_1__put__collections_1f_put_line255,put,m08,52b52125bc3bd04f88314646346050371aab9006a2a09dca317fc42c31115f0d,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__Collections_1__put__collections_1f_put_line255/execution/m08.log
defects4j,Collections_1,collections_1f_put__line255_331,batch15__Collections_1__put__collections_1f_put_line255,put,m10,fa718feada1c4e6ddd58631d9823b3de346108dc320b0d648a14b97386e905a9,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__Collections_1__put__collections_1f_put_line255/execution/m10.log
defects4j,Collections_1,collections_1f_put__line255_331,batch15__Collections_1__put__collections_1f_put_line255,put,m12,6456df63d96fe5d5612c76a9b0295fa63f16691e09ce003e593dd9293b4c4499,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__Collections_1__put__collections_1f_put_line255/execution/m12.log
defects4j,Collections_1,collections_1f_put__line255_331,batch15__Collections_1__put__collections_1f_put_line255,put,m14,30e7bc5e29dc3b290cda4edcb4e85edc66202aedd776573c67762b7d61d87938,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch15__Collections_1__put__collections_1f_put_line255/execution/m14.log
defects4j,Collections_1,collections_1f_put__line255_331,batch15__Collections_1__put__collections_1f_put_line255,put,m01,c362d7d7b0e53f0fcd90ce34d689e49c32bd35b291db401463f8b03ffb1ff0ee,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__Collections_1__put__collections_1f_put_line255/execution/m01.log
defects4j,Collections_1,collections_1f_put__line255_331,batch15__Collections_1__put__collections_1f_put_line255,put,m03,6f714fbd821c27ee697e56a9d4e337faa269ae17f2826cf7c1267c2755071a51,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__Collections_1__put__collections_1f_put_line255/execution/m03.log
defects4j,Collections_1,collections_1f_put__line255_331,batch15__Collections_1__put__collections_1f_put_line255,put,m05,dc1e10fd9c78c3a4305fd803a3675614afcae540fdf9ea55d7633cff5112f0e8,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch15__Collections_1__put__collections_1f_put_line255/execution/m05.log
defects4j,Collections_1,collections_1f_put__line255_331,batch15__Collections_1__put__collections_1f_put_line255,put,m07,05aefb4b6a5e6061c3e8039a3a283880686c8f577b8b327731edb1e3fc6b908e,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__Collections_1__put__collections_1f_put_line255/execution/m07.log
defects4j,Collections_1,collections_1f_put__line255_331,batch15__Collections_1__put__collections_1f_put_line255,put,m09,9eea2724c589343fa0b6eeac65d529a6eb4af146e00fa3d8977261c062d5484b,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch15__Collections_1__put__collections_1f_put_line255/execution/m09.log
defects4j,Collections_1,collections_1f_put__line255_331,batch15__Collections_1__put__collections_1f_put_line255,put,m11,3ae860b4837ca158020f526f1fcc8047ffd4a105713fe12b48c5890a4b315383,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__Collections_1__put__collections_1f_put_line255/execution/m11.log
defects4j,Collections_1,collections_1f_put__line255_331,batch15__Collections_1__put__collections_1f_put_line255,put,m13,997dbc846b084f70c29c5a7be5af9fef465b986bf3383731b2d8c3d13ba2b24a,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__Collections_1__put__collections_1f_put_line255/execution/m13.log
defects4j,Collections_1,collections_1f_put__line255_331,batch15__Collections_1__put__collections_1f_put_line255,put,m16,e61854041992c0acbe994c809dbafe7f8a07dd00471c70c31ed6dbff28b6f03f,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__Collections_1__put__collections_1f_put_line255/execution/m16.log
