dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,JacksonCore_22,jacksoncore_22f__finishToken__line218_293,batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218,_finishToken,m02,cb29826dbbf0797d3df40253d15b9f2a4b639ae293fb6bed6888f8a1335c6644,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218/execution/m02.log
defects4j,JacksonCore_22,jacksoncore_22f__finishToken__line218_293,batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218,_finishToken,m04,3ad27bbda2589a0dd93d19ee8898b5fa96c8db98ef2c2a823c3f9de1141f41e6,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218/execution/m04.log
defects4j,JacksonCore_22,jacksoncore_22f__finishToken__line218_293,batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218,_finishToken,m07,d6f1f0945764a5a95696a63ca6a4c55f2f58f42ca978f90a4a517d0f29a7104f,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218/execution/m07.log
defects4j,JacksonCore_22,jacksoncore_22f__finishToken__line218_293,batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218,_finishToken,m11,ad89181de71fcfca6801099bd1f55f20743a787d37581f16b63fdc1475790a7d,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218/execution/m11.log
defects4j,JacksonCore_22,jacksoncore_22f__finishToken__line218_293,batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218,_finishToken,m13,5a518c9bf50052e5d1c145a7dc23d7dd3f1d09b2c02a93f35cc705c31d7d3678,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218/execution/m13.log
defects4j,JacksonCore_22,jacksoncore_22f__finishToken__line218_293,batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218,_finishToken,m16,6e5eb5e6835952d266257ce55d46e24d266ef1f281c2fa729abe3d6cf1a838bf,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218/execution/m16.log
defects4j,JacksonCore_22,jacksoncore_22f__finishToken__line218_293,batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218,_finishToken,m01,12bb6382dbf5a4d4f3b7153b0572e92a98c8f283ca3323ab723dc84cfc6411e6,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218/execution/m01.log
defects4j,JacksonCore_22,jacksoncore_22f__finishToken__line218_293,batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218,_finishToken,m03,7c916304ac55011867c940f99dc8655591a5f1df33f8cbe72b504479b5a6f2f7,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218/execution/m03.log
defects4j,JacksonCore_22,jacksoncore_22f__finishToken__line218_293,batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218,_finishToken,m06,fd4c63e9a9899cbcd96a7e944ffca2182b78f16df1915c00027949ab6517ae24,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218/execution/m06.log
defects4j,JacksonCore_22,jacksoncore_22f__finishToken__line218_293,batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218,_finishToken,m10,d5106f12746fa320c8750ddd232e8edd9de4c018330d9839a90e0d2bc6dc3ee4,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218/execution/m10.log
defects4j,JacksonCore_22,jacksoncore_22f__finishToken__line218_293,batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218,_finishToken,m12,d6325874e97fabafcd7967fa86b93e086ce8c6665ced9d44c7d18a7851a67ceb,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218/execution/m12.log
defects4j,JacksonCore_22,jacksoncore_22f__finishToken__line218_293,batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218,_finishToken,m15,40493e9142b17ef1298e704011cde4b2905a9313cf76281f2e9d2fb7bc37184d,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch15__JacksonCore_22__finishToken__jacksoncore_22f_finishToken_line218/execution/m15.log
