dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,JacksonDatabind_1,jacksondatabind_1f_resolveCreators__line323_403,batch15__JacksonDatabind_1__resolveCreators__jacksondatabind_1f_resolveCreators_line323,resolveCreators,m04,0d3fb045d607be8b9a3b536d219f22a0162afb6be4ef16577c42f822cda31021,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__JacksonDatabind_1__resolveCreators__jacksondatabind_1f_resolveCreators_line323/execution/m04.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_resolveCreators__line323_403,batch15__JacksonDatabind_1__resolveCreators__jacksondatabind_1f_resolveCreators_line323,resolveCreators,m06,7016398b3ca51e9089be69bf4e289c03a122f92554b3c78a5efff28dcbe5166b,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__JacksonDatabind_1__resolveCreators__jacksondatabind_1f_resolveCreators_line323/execution/m06.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_resolveCreators__line323_403,batch15__JacksonDatabind_1__resolveCreators__jacksondatabind_1f_resolveCreators_line323,resolveCreators,m08,404933cd642d82cd8f784023bcb31171f662cb56b6c82fb9ea341e08d1a2b20b,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__JacksonDatabind_1__resolveCreators__jacksondatabind_1f_resolveCreators_line323/execution/m08.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_resolveCreators__line323_403,batch15__JacksonDatabind_1__resolveCreators__jacksondatabind_1f_resolveCreators_line323,resolveCreators,m14,8e3513269249f5cc6f8e3e80e5812faf6b56e9728a2008d46f9f0ae3613bb1de,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch15__JacksonDatabind_1__resolveCreators__jacksondatabind_1f_resolveCreators_line323/execution/m14.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_resolveCreators__line323_403,batch15__JacksonDatabind_1__resolveCreators__jacksondatabind_1f_resolveCreators_line323,resolveCreators,m16,a539e16bd6bea0d39ec7d6f9be157f66d850475f2d0d9d0b1147669c11b6d542,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__JacksonDatabind_1__resolveCreators__jacksondatabind_1f_resolveCreators_line323/execution/m16.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_resolveCreators__line323_403,batch15__JacksonDatabind_1__resolveCreators__jacksondatabind_1f_resolveCreators_line323,resolveCreators,m03,513f615c283a3337571a1b6178d8e340b92508136072d93362ef74837e23af0d,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__JacksonDatabind_1__resolveCreators__jacksondatabind_1f_resolveCreators_line323/execution/m03.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_resolveCreators__line323_403,batch15__JacksonDatabind_1__resolveCreators__jacksondatabind_1f_resolveCreators_line323,resolveCreators,m05,8f90166c335c9fbf0bb1dff0b55b3fdf5d3a1326d2fe1a685c6946ff61785f18,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__JacksonDatabind_1__resolveCreators__jacksondatabind_1f_resolveCreators_line323/execution/m05.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_resolveCreators__line323_403,batch15__JacksonDatabind_1__resolveCreators__jacksondatabind_1f_resolveCreators_line323,resolveCreators,m07,dea5938c86e59b3774556e0e5e7eca6653246f1ef6d55715677fcea541ed7ca3,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__JacksonDatabind_1__resolveCreators__jacksondatabind_1f_resolveCreators_line323/execution/m07.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_resolveCreators__line323_403,batch15__JacksonDatabind_1__resolveCreators__jacksondatabind_1f_resolveCreators_line323,resolveCreators,m13,c6ac11d15faf1f60b5abadd6f4147620b3b8e3f4ad801c2a12d77ac4d4d4d49a,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__JacksonDatabind_1__resolveCreators__jacksondatabind_1f_resolveCreators_line323/execution/m13.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_resolveCreators__line323_403,batch15__JacksonDatabind_1__resolveCreators__jacksondatabind_1f_resolveCreators_line323,resolveCreators,m15,d16aaf87309c10d38d904d91e935df6ce3d12baeabf38227ac5eff9c43d13d66,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch15__JacksonDatabind_1__resolveCreators__jacksondatabind_1f_resolveCreators_line323/execution/m15.log
