dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,JacksonDatabind_1,jacksondatabind_1f_serialize__line203_303,batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,serialize,m02,7567b0abd9301f4b2ab789f4249affab0f0f27643f9384014216cd8f4ca349c1,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m02.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_serialize__line203_303,batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,serialize,m07,044d452bdbf1b9f3299f80c8fcce3a1a6b323032c1e2d56e9716ee016b6ca9db,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m07.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_serialize__line203_303,batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,serialize,m09,ba04ab928864838c3604fab15384bf4958a9efc74f96561042b67be7f77a7181,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m09.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_serialize__line203_303,batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,serialize,m11,00e5914bae9bbdb31aede7b122ff866364b9f3f8c7ecfb81c64e58056d624ed0,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m11.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_serialize__line203_303,batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,serialize,m13,987423d9fa987e05bf8d227e5cd30d19b8cece2c44e5aa11440dd0a46c0ec916,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m13.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_serialize__line203_303,batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,serialize,m01,7ef6a23ad375f2cf69ffe239a6b72e5f5f0f0ea63aa3a7e3546fe5602af7e1e7,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m01.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_serialize__line203_303,batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,serialize,m03,db919f4c1fd96f7ec6faeab28af2964e06100255b2a2fb30b159bab39c8b2d9e,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m03.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_serialize__line203_303,batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,serialize,m08,43409932e5faac526354ef31e51a168c7396859589878ac38c88627f6a337b17,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m08.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_serialize__line203_303,batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,serialize,m10,4492885ff3cced9651d0f76d527bb2bb00ceea98ae7e2eb5417a05d54d97c3e6,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m10.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_serialize__line203_303,batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,serialize,m12,9567cc1468811696452ee1a2d5138f378a7d920e9cf8b21fa79e10e0ac5fd45c,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m12.log
defects4j,JacksonDatabind_1,jacksondatabind_1f_serialize__line203_303,batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,serialize,m16,babe05a00bba3e34b1520cead49bf1efca14ce34e6e29a63a9f5b6a1645e24b4,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch15__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m16.log
