dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,JacksonXml_1,jacksonxml_1f_nextTextValue__line594_688,batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594,nextTextValue,m01,33e5f363764955483cd6b3693683a6142ed640e0d1fa97410c8aae58cb9d2c1a,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594/execution/m01.log
defects4j,JacksonXml_1,jacksonxml_1f_nextTextValue__line594_688,batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594,nextTextValue,m03,9f04c663522a1f538f87f96e30d7d2744e1177a74cc309080c78a2799406805a,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594/execution/m03.log
defects4j,JacksonXml_1,jacksonxml_1f_nextTextValue__line594_688,batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594,nextTextValue,m05,c9e67dea3599fd85e6655e6ee9a7dda721a419ce470381673212763425ba122a,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594/execution/m05.log
defects4j,JacksonXml_1,jacksonxml_1f_nextTextValue__line594_688,batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594,nextTextValue,m07,6c14554f0f8a34141cf039fb6c04806f7a99ae635bed7ff01b3141dc41fa2ecd,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594/execution/m07.log
defects4j,JacksonXml_1,jacksonxml_1f_nextTextValue__line594_688,batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594,nextTextValue,m10,b5e30aa05cbbbc3994f7940c4a75ca6c612fb800a06a4744389687d2740ebb99,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594/execution/m10.log
defects4j,JacksonXml_1,jacksonxml_1f_nextTextValue__line594_688,batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594,nextTextValue,m13,8c14fa7cdb1413523ae27074704f16855c584579fb35edb8fa6bdd2e37a8cfdf,FAIL,NOT_RUN,False,False,harness/executions/java/llm/16/batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594/execution/m13.log
defects4j,JacksonXml_1,jacksonxml_1f_nextTextValue__line594_688,batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594,nextTextValue,m16,d1b63a0f59984a728800882e2b261c76b1d0f535ce3b179126fe81bd9f74220c,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594/execution/m16.log
defects4j,JacksonXml_1,jacksonxml_1f_nextTextValue__line594_688,batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594,nextTextValue,m02,edeb0df47141874f11ae0b5fbef2ae6e915a4ec2c3f400314c755eb274eb8f2d,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594/execution/m02.log
defects4j,JacksonXml_1,jacksonxml_1f_nextTextValue__line594_688,batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594,nextTextValue,m04,5dcd2f6851b6dfab2b560b8a32be98f18fd46bdd928c50e0cc6d7a26619457a1,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594/execution/m04.log
defects4j,JacksonXml_1,jacksonxml_1f_nextTextValue__line594_688,batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594,nextTextValue,m06,d1757e8137123cabdf458b17cb68cf343eefae206cb463cd59fb8364ff30f65b,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594/execution/m06.log
defects4j,JacksonXml_1,jacksonxml_1f_nextTextValue__line594_688,batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594,nextTextValue,m09,0d8cf49a79de6cd01c0eccc9e94d81441b2cc14da7ae99c21987f6d5f8831d77,SUCCESS,FAIL,True,True,harness/executions/java/llm/16/batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594/execution/m09.log
defects4j,JacksonXml_1,jacksonxml_1f_nextTextValue__line594_688,batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594,nextTextValue,m12,66c1962622a7d45f5dc42a05ff91e1b561afb758504b8ab7cab27edd0f157626,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594/execution/m12.log
defects4j,JacksonXml_1,jacksonxml_1f_nextTextValue__line594_688,batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594,nextTextValue,m15,1bd1ee126c0eff9ba24107f9c172a1f1da49f9fc8bb10ca803a8e0d16d3a3758,SUCCESS,PASS,False,True,harness/executions/java/llm/16/batch15__JacksonXml_1__nextTextValue__jacksonxml_1f_nextTextValue_line594/execution/m15.log
