dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Compress_7,compress_7f_paxHeaders__line233_302,defects4j_final_catalog_full_per_target,paxHeaders,major_1,0ed8da1ab5bb6cd1fcd5bb8740e6e350ac8fd00228966c7a74f24bc3f10aac83,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/compress_7f_paxHeaders__line233_302/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,paxHeaders(),234,7921,"""UTF-8""","""""","1:LVR:<CLASS>:<EMPTY>:org.apache.commons.compress.archivers.tar.TarArchiveInputStream@paxHeaders():234:7921:""UTF-8"" |==> """""
defects4j,Compress_7,compress_7f_paxHeaders__line233_302,defects4j_final_catalog_full_per_target,paxHeaders,major_2,1ecfd0c53642c22724d73869b5f24bb4da7038932059f71e45e96f151d27298b,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/compress_7f_paxHeaders__line233_302/run.log,EVR,<NEW_CLASS(java.util.HashMap)>:<DEFAULT>,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,paxHeaders(),235,7954,new HashMap(),null,2:EVR:<NEW_CLASS(java.util.HashMap)>:<DEFAULT>:org.apache.commons.compress.archivers.tar.TarArchiveInputStream@paxHeaders():235:7954:new HashMap() |==> null
defects4j,Compress_7,compress_7f_paxHeaders__line233_302,defects4j_final_catalog_full_per_target,paxHeaders,major_3,5efb1493b586074de45f2d6ebbcebebc15d1b950f6dc8677d81586d78620a50f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/compress_7f_paxHeaders__line233_302/run.log,LVR,0:POS,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,paxHeaders(),239,8091,0,1,3:LVR:0:POS:org.apache.commons.compress.archivers.tar.TarArchiveInputStream@paxHeaders():239:8091:0 |==> 1
defects4j,Compress_7,compress_7f_paxHeaders__line233_302,defects4j_final_catalog_full_per_target,paxHeaders,major_4,1d22aa22e9f15fa979445eb6340940915835f96a524bfdfe37a09b43187cadab,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/compress_7f_paxHeaders__line233_302/run.log,LVR,0:NEG,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,paxHeaders(),239,8091,0,-1,4:LVR:0:NEG:org.apache.commons.compress.archivers.tar.TarArchiveInputStream@paxHeaders():239:8091:0 |==> -1
defects4j,Compress_7,compress_7f_paxHeaders__line233_302,defects4j_final_catalog_full_per_target,paxHeaders,major_5,1e3855b6d405c83ae409cbdbef4ad3b195e5906119c2ee1fd391c8fb5aa81687,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/compress_7f_paxHeaders__line233_302/run.log,LVR,0:POS,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,paxHeaders(),240,8115,0,1,5:LVR:0:POS:org.apache.commons.compress.archivers.tar.TarArchiveInputStream@paxHeaders():240:8115:0 |==> 1
defects4j,Compress_7,compress_7f_paxHeaders__line233_302,defects4j_final_catalog_full_per_target,paxHeaders,major_6,37597ee30b81907d0a7b6a3f568724cdc2beff375d2cce9376979f959b0ff965,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/compress_7f_paxHeaders__line233_302/run.log,LVR,0:NEG,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,paxHeaders(),240,8115,0,-1,6:LVR:0:NEG:org.apache.commons.compress.archivers.tar.TarArchiveInputStream@paxHeaders():240:8115:0 |==> -1
defects4j,Compress_7,compress_7f_paxHeaders__line233_302,defects4j_final_catalog_full_per_target,paxHeaders,major_7,0076ed0c4f63d1ea4efb1290ee957e3fdfc63d9daeb8e0f96426be80f4866997,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/compress_7f_paxHeaders__line233_302/run.log,LVR,NEG:0,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,paxHeaders(),241,8156,-1,0,7:LVR:NEG:0:org.apache.commons.compress.archivers.tar.TarArchiveInputStream@paxHeaders():241:8156:-1 |==> 0
defects4j,Compress_7,compress_7f_paxHeaders__line233_302,defects4j_final_catalog_full_per_target,paxHeaders,major_8,329132296f3391812a627bbbdecb1fede70abd9868b6c7ae73cd7b36bbfcf149,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/compress_7f_paxHeaders__line233_302/run.log,LVR,NEG:POS,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,paxHeaders(),241,8156,-1,1,8:LVR:NEG:POS:org.apache.commons.compress.archivers.tar.TarArchiveInputStream@paxHeaders():241:8156:-1 |==> 1
defects4j,Compress_7,compress_7f_paxHeaders__line233_302,defects4j_final_catalog_full_per_target,paxHeaders,major_9,09211e6ef3f25ccdbc828e87ff81c91ab8622ba71bcf43dfae4792950dea7096,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/compress_7f_paxHeaders__line233_302/run.log,EVR,<NEW_CLASS(java.lang.StringBuffer)>:<DEFAULT>,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,paxHeaders(),245,8314,new StringBuffer(),null,9:EVR:<NEW_CLASS(java.lang.StringBuffer)>:<DEFAULT>:org.apache.commons.compress.archivers.tar.TarArchiveInputStream@paxHeaders():245:8314:new StringBuffer() |==> null
defects4j,Compress_7,compress_7f_paxHeaders__line233_302,defects4j_final_catalog_full_per_target,paxHeaders,major_10,3d32e4b722727158a15e9eac725babb9eceb16d8ba08bba114048baafab8d0ca,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/compress_7f_paxHeaders__line233_302/run.log,LVR,NEG:0,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,paxHeaders(),246,8380,-1,0,10:LVR:NEG:0:org.apache.commons.compress.archivers.tar.TarArchiveInputStream@paxHeaders():246:8380:-1 |==> 0
defects4j,Compress_7,compress_7f_paxHeaders__line233_302,defects4j_final_catalog_full_per_target,paxHeaders,major_11,ac13a21bc3589162ae71f8df8cfc3fe3e043c875dc54eda217afeea6b73481c9,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/compress_7f_paxHeaders__line233_302/run.log,LVR,NEG:POS,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,paxHeaders(),246,8380,-1,1,11:LVR:NEG:POS:org.apache.commons.compress.archivers.tar.TarArchiveInputStream@paxHeaders():246:8380:-1 |==> 1
defects4j,Compress_7,compress_7f_paxHeaders__line233_302,defects4j_final_catalog_full_per_target,paxHeaders,major_12,b76234fcc8ebe63b3d7caa1e6a469647a3267000d0d23aef41e9bb57fbd5e1ed,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/compress_7f_paxHeaders__line233_302/run.log,EVR,<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,paxHeaders(),249,8531,sb.toString(),null,12:EVR:<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>:org.apache.commons.compress.archivers.tar.TarArchiveInputStream@paxHeaders():249:8531:sb.toString() |==> null
defects4j,Compress_7,compress_7f_paxHeaders__line233_302,defects4j_final_catalog_full_per_target,paxHeaders,major_13,e24bb63e22471f4b62e475117cddb18db5fccf59708baadeee38e7dc33c67911,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/compress_7f_paxHeaders__line233_302/run.log,EVR,<NEW_ARRAY(char[])>:<DEFAULT>,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,paxHeaders(),251,8626,new char[len - read],null,13:EVR:<NEW_ARRAY(char[])>:<DEFAULT>:org.apache.commons.compress.archivers.tar.TarArchiveInputStream@paxHeaders():251:8626:new char[len - read] |==> null
defects4j,Compress_7,compress_7f_paxHeaders__line233_302,defects4j_final_catalog_full_per_target,paxHeaders,major_14,d9a721504e2f6f4e64e3c70638918255bde93cdf8893647d708ed9664b6c392d,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/compress_7f_paxHeaders__line233_302/run.log,EVR,<METHOD_INVOCATION(int)>:<DEFAULT>,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,paxHeaders(),252,8691,br.read(cbuf),0,14:EVR:<METHOD_INVOCATION(int)>:<DEFAULT>:org.apache.commons.compress.archivers.tar.TarArchiveInputStream@paxHeaders():252:8691:br.read(cbuf) |==> 0
defects4j,Compress_7,compress_7f_paxHeaders__line233_302,defects4j_final_catalog_full_per_target,paxHeaders,major_15,4de051e59424025bd183a36273bcece78a6ad0aa08d8dd290b07d1b1f826b4c5,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/compress_7f_paxHeaders__line233_302/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,paxHeaders(),254,8803,"""Failed to read Paxheader. Expected ""","""""","15:LVR:<CLASS>:<EMPTY>:org.apache.commons.compress.archivers.tar.TarArchiveInputStream@paxHeaders():254:8803:""Failed to read Paxheader. Expected "" |==> """""
defects4j,Compress_7,compress_7f_paxHeaders__line233_302,defects4j_final_catalog_full_per_target,paxHeaders,major_16,cee83f82250e28952d20cd384b144c3d4fcf37a83031db6ecc69fb72ece24f89,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/compress_7f_paxHeaders__line233_302/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,paxHeaders(),254,8852,""" chars, read ""","""""","16:LVR:<CLASS>:<EMPTY>:org.apache.commons.compress.archivers.tar.TarArchiveInputStream@paxHeaders():254:8852:"" chars, read "" |==> """""
defects4j,Compress_7,compress_7f_paxHeaders__line233_302,defects4j_final_catalog_full_per_target,paxHeaders,major_17,7a55f7bd3ed67e7cc91b49b5eafce39015400f753250f25b1f24481e009a935b,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/compress_7f_paxHeaders__line233_302/run.log,LVR,0:POS,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,paxHeaders(),256,8964,0,1,17:LVR:0:POS:org.apache.commons.compress.archivers.tar.TarArchiveInputStream@paxHeaders():256:8964:0 |==> 1
defects4j,Compress_7,compress_7f_paxHeaders__line233_302,defects4j_final_catalog_full_per_target,paxHeaders,major_18,1fc6c431846dd51c349bb6a7023b1e2fe51f5a967a8a0550f2c2fed1070a419c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/compress_7f_paxHeaders__line233_302/run.log,LVR,0:NEG,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,paxHeaders(),256,8964,0,-1,18:LVR:0:NEG:org.apache.commons.compress.archivers.tar.TarArchiveInputStream@paxHeaders():256:8964:0 |==> -1
defects4j,Compress_7,compress_7f_paxHeaders__line233_302,defects4j_final_catalog_full_per_target,paxHeaders,major_19,742bece24449ddb69bca928cd1fc933a318d0e9ee0a27b6cb7e257ed154089e2,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/compress_7f_paxHeaders__line233_302/run.log,LVR,POS:0,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,paxHeaders(),256,8977,1,0,19:LVR:POS:0:org.apache.commons.compress.archivers.tar.TarArchiveInputStream@paxHeaders():256:8977:1 |==> 0
defects4j,Compress_7,compress_7f_paxHeaders__line233_302,defects4j_final_catalog_full_per_target,paxHeaders,major_20,43400ee79d72281da6f4853773f7d90520341342d542e0252aa26246f3ddfbd8,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/compress_7f_paxHeaders__line233_302/run.log,LVR,POS:NEG,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,paxHeaders(),256,8977,1,-1,20:LVR:POS:NEG:org.apache.commons.compress.archivers.tar.TarArchiveInputStream@paxHeaders():256:8977:1 |==> -1
defects4j,Compress_7,compress_7f_paxHeaders__line233_302,defects4j_final_catalog_full_per_target,paxHeaders,major_21,fbf7afbd4eeadc6b1b9a811dca9337280581296e01b6e3f3409b015474dd3bba,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/compress_7f_paxHeaders__line233_302/run.log,LVR,POS:0,org.apache.commons.compress.archivers.tar.TarArchiveInputStream,paxHeaders(),264,9281,10,0,21:LVR:POS:0:org.apache.commons.compress.archivers.tar.TarArchiveInputStream@paxHeaders():264:9281:10 |==> 0
