dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,JxPath_1,jxpath_1f_jjCanMove_2__line1658_1715,defects4j_final_catalog_full_per_target,jjCanMove_2,major_1,a8230385e44d4ceeb306d61f20d4399f8732caa79786876a32632db86acfc690,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jxpath_1f_jjCanMove_2__line1658_1715/run.log,LVR,0:POS,org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,"jjCanMove_2(int,int,int,long,long)",1663,55050,0L,1L,"1:LVR:0:POS:org.apache.commons.jxpath.ri.parser.XPathParserTokenManager@jjCanMove_2(int,int,int,long,long):1663:55050:0L |==> 1L"
defects4j,JxPath_1,jxpath_1f_jjCanMove_2__line1658_1715,defects4j_final_catalog_full_per_target,jjCanMove_2,major_2,f460bbe40d53109ade9a6d2082267bc31a9183d67d6bca842c7d6f6628cfc966,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jxpath_1f_jjCanMove_2__line1658_1715/run.log,LVR,0:NEG,org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,"jjCanMove_2(int,int,int,long,long)",1663,55050,0L,-1L,"2:LVR:0:NEG:org.apache.commons.jxpath.ri.parser.XPathParserTokenManager@jjCanMove_2(int,int,int,long,long):1663:55050:0L |==> -1L"
defects4j,JxPath_1,jxpath_1f_jjCanMove_2__line1658_1715,defects4j_final_catalog_full_per_target,jjCanMove_2,major_3,53ea5773b479b88a7666ee69ea4d74521b26b7d898a01c120315bac9256246f9,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jxpath_1f_jjCanMove_2__line1658_1715/run.log,LVR,0:POS,org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,"jjCanMove_2(int,int,int,long,long)",1665,55110,0L,1L,"3:LVR:0:POS:org.apache.commons.jxpath.ri.parser.XPathParserTokenManager@jjCanMove_2(int,int,int,long,long):1665:55110:0L |==> 1L"
defects4j,JxPath_1,jxpath_1f_jjCanMove_2__line1658_1715,defects4j_final_catalog_full_per_target,jjCanMove_2,major_4,2d851376aa43f5a7fe2d22d6c2780eb9d70ca084036e3672f2673a37e5a8608e,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jxpath_1f_jjCanMove_2__line1658_1715/run.log,LVR,0:NEG,org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,"jjCanMove_2(int,int,int,long,long)",1665,55110,0L,-1L,"4:LVR:0:NEG:org.apache.commons.jxpath.ri.parser.XPathParserTokenManager@jjCanMove_2(int,int,int,long,long):1665:55110:0L |==> -1L"
defects4j,JxPath_1,jxpath_1f_jjCanMove_2__line1658_1715,defects4j_final_catalog_full_per_target,jjCanMove_2,major_5,277e15cbfc09cf50cb4d1de2562f2932d85c5b9c71ac25f2952eb616c39d62d1,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jxpath_1f_jjCanMove_2__line1658_1715/run.log,LVR,0:POS,org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,"jjCanMove_2(int,int,int,long,long)",1667,55171,0L,1L,"5:LVR:0:POS:org.apache.commons.jxpath.ri.parser.XPathParserTokenManager@jjCanMove_2(int,int,int,long,long):1667:55171:0L |==> 1L"
defects4j,JxPath_1,jxpath_1f_jjCanMove_2__line1658_1715,defects4j_final_catalog_full_per_target,jjCanMove_2,major_6,e07c7e6c0ab81b1c120d21f400020d1f3f176e429ba17f4a8d14ecf73e18bcad,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jxpath_1f_jjCanMove_2__line1658_1715/run.log,LVR,0:NEG,org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,"jjCanMove_2(int,int,int,long,long)",1667,55171,0L,-1L,"6:LVR:0:NEG:org.apache.commons.jxpath.ri.parser.XPathParserTokenManager@jjCanMove_2(int,int,int,long,long):1667:55171:0L |==> -1L"
defects4j,JxPath_1,jxpath_1f_jjCanMove_2__line1658_1715,defects4j_final_catalog_full_per_target,jjCanMove_2,major_7,581162ade68c3a03a176c4e422fadf9aac49746d8114dd9c59134c150e09e84c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jxpath_1f_jjCanMove_2__line1658_1715/run.log,LVR,0:POS,org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,"jjCanMove_2(int,int,int,long,long)",1669,55232,0L,1L,"7:LVR:0:POS:org.apache.commons.jxpath.ri.parser.XPathParserTokenManager@jjCanMove_2(int,int,int,long,long):1669:55232:0L |==> 1L"
defects4j,JxPath_1,jxpath_1f_jjCanMove_2__line1658_1715,defects4j_final_catalog_full_per_target,jjCanMove_2,major_8,4e9faa7abd2851c68967d070469652f94aacbb12e0357ae050e8733f3fe222ae,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jxpath_1f_jjCanMove_2__line1658_1715/run.log,LVR,0:NEG,org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,"jjCanMove_2(int,int,int,long,long)",1669,55232,0L,-1L,"8:LVR:0:NEG:org.apache.commons.jxpath.ri.parser.XPathParserTokenManager@jjCanMove_2(int,int,int,long,long):1669:55232:0L |==> -1L"
defects4j,JxPath_1,jxpath_1f_jjCanMove_2__line1658_1715,defects4j_final_catalog_full_per_target,jjCanMove_2,major_9,baf3d9e1ec436a7486ea0803ac79261863b8af287d6bb4ce0542fa34a2884321,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jxpath_1f_jjCanMove_2__line1658_1715/run.log,LVR,0:POS,org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,"jjCanMove_2(int,int,int,long,long)",1671,55293,0L,1L,"9:LVR:0:POS:org.apache.commons.jxpath.ri.parser.XPathParserTokenManager@jjCanMove_2(int,int,int,long,long):1671:55293:0L |==> 1L"
defects4j,JxPath_1,jxpath_1f_jjCanMove_2__line1658_1715,defects4j_final_catalog_full_per_target,jjCanMove_2,major_10,697f47edbaf1d299263d9988529ce64b22ae27932403287b8d01e3f4151484ed,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jxpath_1f_jjCanMove_2__line1658_1715/run.log,LVR,0:NEG,org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,"jjCanMove_2(int,int,int,long,long)",1671,55293,0L,-1L,"10:LVR:0:NEG:org.apache.commons.jxpath.ri.parser.XPathParserTokenManager@jjCanMove_2(int,int,int,long,long):1671:55293:0L |==> -1L"
defects4j,JxPath_1,jxpath_1f_jjCanMove_2__line1658_1715,defects4j_final_catalog_full_per_target,jjCanMove_2,major_11,d02cc2da08654fc05811af199c87249c579de380a2a430a79e3df885517ca391,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jxpath_1f_jjCanMove_2__line1658_1715/run.log,LVR,0:POS,org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,"jjCanMove_2(int,int,int,long,long)",1673,55354,0L,1L,"11:LVR:0:POS:org.apache.commons.jxpath.ri.parser.XPathParserTokenManager@jjCanMove_2(int,int,int,long,long):1673:55354:0L |==> 1L"
defects4j,JxPath_1,jxpath_1f_jjCanMove_2__line1658_1715,defects4j_final_catalog_full_per_target,jjCanMove_2,major_12,81250a903250fb4b3551e13fd04de56037be39670bb4af89eb28f04630061dc0,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jxpath_1f_jjCanMove_2__line1658_1715/run.log,LVR,0:NEG,org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,"jjCanMove_2(int,int,int,long,long)",1673,55354,0L,-1L,"12:LVR:0:NEG:org.apache.commons.jxpath.ri.parser.XPathParserTokenManager@jjCanMove_2(int,int,int,long,long):1673:55354:0L |==> -1L"
defects4j,JxPath_1,jxpath_1f_jjCanMove_2__line1658_1715,defects4j_final_catalog_full_per_target,jjCanMove_2,major_13,016e4c4763eaed17eda9c39782f6138373946dd959a976a011445d42f01c87b0,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jxpath_1f_jjCanMove_2__line1658_1715/run.log,LVR,0:POS,org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,"jjCanMove_2(int,int,int,long,long)",1675,55415,0L,1L,"13:LVR:0:POS:org.apache.commons.jxpath.ri.parser.XPathParserTokenManager@jjCanMove_2(int,int,int,long,long):1675:55415:0L |==> 1L"
defects4j,JxPath_1,jxpath_1f_jjCanMove_2__line1658_1715,defects4j_final_catalog_full_per_target,jjCanMove_2,major_14,3b856f39c0cb571313beaa0dd93a8674340a3fe0944919cb39cd7a70f7f43f21,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jxpath_1f_jjCanMove_2__line1658_1715/run.log,LVR,0:NEG,org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,"jjCanMove_2(int,int,int,long,long)",1675,55415,0L,-1L,"14:LVR:0:NEG:org.apache.commons.jxpath.ri.parser.XPathParserTokenManager@jjCanMove_2(int,int,int,long,long):1675:55415:0L |==> -1L"
defects4j,JxPath_1,jxpath_1f_jjCanMove_2__line1658_1715,defects4j_final_catalog_full_per_target,jjCanMove_2,major_15,0b85ec9af3e77a157e8e0d5b55f690080b4642d3c155a281674565df9c4a7ad0,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jxpath_1f_jjCanMove_2__line1658_1715/run.log,LVR,0:POS,org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,"jjCanMove_2(int,int,int,long,long)",1677,55476,0L,1L,"15:LVR:0:POS:org.apache.commons.jxpath.ri.parser.XPathParserTokenManager@jjCanMove_2(int,int,int,long,long):1677:55476:0L |==> 1L"
defects4j,JxPath_1,jxpath_1f_jjCanMove_2__line1658_1715,defects4j_final_catalog_full_per_target,jjCanMove_2,major_16,5113903b85c8942be6f7d5a93b5d0ceee5c91c9646fb6da958301f3a87c9bb85,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jxpath_1f_jjCanMove_2__line1658_1715/run.log,LVR,0:NEG,org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,"jjCanMove_2(int,int,int,long,long)",1677,55476,0L,-1L,"16:LVR:0:NEG:org.apache.commons.jxpath.ri.parser.XPathParserTokenManager@jjCanMove_2(int,int,int,long,long):1677:55476:0L |==> -1L"
defects4j,JxPath_1,jxpath_1f_jjCanMove_2__line1658_1715,defects4j_final_catalog_full_per_target,jjCanMove_2,major_17,e636289ea3cc476a501fa90c313b551acdfc9a9890ca2a65ac3c76a6d9b792ff,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jxpath_1f_jjCanMove_2__line1658_1715/run.log,LVR,0:POS,org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,"jjCanMove_2(int,int,int,long,long)",1679,55538,0L,1L,"17:LVR:0:POS:org.apache.commons.jxpath.ri.parser.XPathParserTokenManager@jjCanMove_2(int,int,int,long,long):1679:55538:0L |==> 1L"
defects4j,JxPath_1,jxpath_1f_jjCanMove_2__line1658_1715,defects4j_final_catalog_full_per_target,jjCanMove_2,major_18,35220d4480074d637abe06dcfc9d3fcc0d6581e64e2438f672a9c2158e510b41,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target/targets/jxpath_1f_jjCanMove_2__line1658_1715/run.log,LVR,0:NEG,org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,"jjCanMove_2(int,int,int,long,long)",1679,55538,0L,-1L,"18:LVR:0:NEG:org.apache.commons.jxpath.ri.parser.XPathParserTokenManager@jjCanMove_2(int,int,int,long,long):1679:55538:0L |==> -1L"
