dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Lang_1,lang_1f_hexDigitMsb0ToBinary__line220_265,defects4j_final_catalog_full_per_target_rerun_v2,hexDigitMsb0ToBinary,major_1,5c670cb84d0797faed22e26474f33fb5da22249a9b9cbc71167fab571368a08d,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/lang_1f_hexDigitMsb0ToBinary__line220_265/run.log,LVR,FALSE:TRUE,org.apache.commons.lang3.Conversion,hexDigitMsb0ToBinary(char),223,7589,false,true,1:LVR:FALSE:TRUE:org.apache.commons.lang3.Conversion@hexDigitMsb0ToBinary(char):223:7589:false |==> true
defects4j,Lang_1,lang_1f_hexDigitMsb0ToBinary__line220_265,defects4j_final_catalog_full_per_target_rerun_v2,hexDigitMsb0ToBinary,major_2,e3a2ddd8ddde0df061db03486b929f36850790600f165d93af44980cbfba50cf,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/lang_1f_hexDigitMsb0ToBinary__line220_265/run.log,LVR,FALSE:TRUE,org.apache.commons.lang3.Conversion,hexDigitMsb0ToBinary(char),223,7596,false,true,2:LVR:FALSE:TRUE:org.apache.commons.lang3.Conversion@hexDigitMsb0ToBinary(char):223:7596:false |==> true
defects4j,Lang_1,lang_1f_hexDigitMsb0ToBinary__line220_265,defects4j_final_catalog_full_per_target_rerun_v2,hexDigitMsb0ToBinary,major_3,3214ea78a9f4ce4345483a34e9548d25f98dc90de8e7942bd295d8f42966740f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/lang_1f_hexDigitMsb0ToBinary__line220_265/run.log,LVR,FALSE:TRUE,org.apache.commons.lang3.Conversion,hexDigitMsb0ToBinary(char),223,7603,false,true,3:LVR:FALSE:TRUE:org.apache.commons.lang3.Conversion@hexDigitMsb0ToBinary(char):223:7603:false |==> true
defects4j,Lang_1,lang_1f_hexDigitMsb0ToBinary__line220_265,defects4j_final_catalog_full_per_target_rerun_v2,hexDigitMsb0ToBinary,major_4,d52841c6657c2810b8937243332e1109c324df2e907cb564d094ec7e03179ba5,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/lang_1f_hexDigitMsb0ToBinary__line220_265/run.log,LVR,FALSE:TRUE,org.apache.commons.lang3.Conversion,hexDigitMsb0ToBinary(char),223,7610,false,true,4:LVR:FALSE:TRUE:org.apache.commons.lang3.Conversion@hexDigitMsb0ToBinary(char):223:7610:false |==> true
defects4j,Lang_1,lang_1f_hexDigitMsb0ToBinary__line220_265,defects4j_final_catalog_full_per_target_rerun_v2,hexDigitMsb0ToBinary,major_5,856d286ad3e0c2e48d8b18e1e8fe35311379da364776e1f57bc9ce4428e97982,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/lang_1f_hexDigitMsb0ToBinary__line220_265/run.log,LVR,FALSE:TRUE,org.apache.commons.lang3.Conversion,hexDigitMsb0ToBinary(char),225,7669,false,true,5:LVR:FALSE:TRUE:org.apache.commons.lang3.Conversion@hexDigitMsb0ToBinary(char):225:7669:false |==> true
defects4j,Lang_1,lang_1f_hexDigitMsb0ToBinary__line220_265,defects4j_final_catalog_full_per_target_rerun_v2,hexDigitMsb0ToBinary,major_6,f867502d40958782436a9fd9b98062ae5a7d0079a3c38fbfa67543651d0a8366,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/lang_1f_hexDigitMsb0ToBinary__line220_265/run.log,LVR,FALSE:TRUE,org.apache.commons.lang3.Conversion,hexDigitMsb0ToBinary(char),225,7676,false,true,6:LVR:FALSE:TRUE:org.apache.commons.lang3.Conversion@hexDigitMsb0ToBinary(char):225:7676:false |==> true
defects4j,Lang_1,lang_1f_hexDigitMsb0ToBinary__line220_265,defects4j_final_catalog_full_per_target_rerun_v2,hexDigitMsb0ToBinary,major_7,eca96a85a22ddbfb2383a3e46980db5febb36e1fd4c50dc41e5665090fcc656b,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/lang_1f_hexDigitMsb0ToBinary__line220_265/run.log,LVR,FALSE:TRUE,org.apache.commons.lang3.Conversion,hexDigitMsb0ToBinary(char),225,7683,false,true,7:LVR:FALSE:TRUE:org.apache.commons.lang3.Conversion@hexDigitMsb0ToBinary(char):225:7683:false |==> true
defects4j,Lang_1,lang_1f_hexDigitMsb0ToBinary__line220_265,defects4j_final_catalog_full_per_target_rerun_v2,hexDigitMsb0ToBinary,major_8,99c6d14dc03a061ba838b8d5a0cc88b6315af0eec173478029560a85e1a57db5,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/lang_1f_hexDigitMsb0ToBinary__line220_265/run.log,LVR,TRUE:FALSE,org.apache.commons.lang3.Conversion,hexDigitMsb0ToBinary(char),225,7690,true,false,8:LVR:TRUE:FALSE:org.apache.commons.lang3.Conversion@hexDigitMsb0ToBinary(char):225:7690:true |==> false
defects4j,Lang_1,lang_1f_hexDigitMsb0ToBinary__line220_265,defects4j_final_catalog_full_per_target_rerun_v2,hexDigitMsb0ToBinary,major_9,a3ea9f578ca397f248d81154bcd1b3a6172efd9504cab647ebe91d20b274aa4f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/lang_1f_hexDigitMsb0ToBinary__line220_265/run.log,LVR,FALSE:TRUE,org.apache.commons.lang3.Conversion,hexDigitMsb0ToBinary(char),227,7748,false,true,9:LVR:FALSE:TRUE:org.apache.commons.lang3.Conversion@hexDigitMsb0ToBinary(char):227:7748:false |==> true
defects4j,Lang_1,lang_1f_hexDigitMsb0ToBinary__line220_265,defects4j_final_catalog_full_per_target_rerun_v2,hexDigitMsb0ToBinary,major_10,899a8133d10b4093693aed68a9402e74e34c0a98bda18c45664bf03c2af0dd3f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/lang_1f_hexDigitMsb0ToBinary__line220_265/run.log,LVR,FALSE:TRUE,org.apache.commons.lang3.Conversion,hexDigitMsb0ToBinary(char),227,7755,false,true,10:LVR:FALSE:TRUE:org.apache.commons.lang3.Conversion@hexDigitMsb0ToBinary(char):227:7755:false |==> true
