dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_12,512a205367defe1ac4d7d2f9ea66bdaee9e2d9f107b71d0c37f4e6f144db0046,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_12.log
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_2,abcbcfe7d94b03572fa9847ceb39e0a034eca1d2b5b377be47cd15f83c13d871,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_2.log
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_27,5f6ed8a444f8d8834c53581022616872b389ba8434ec6b7519cc4d63c0c14575,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_27.log
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_5,c41d25eb66f41409fe17305111a2f56fbe2fa446e6d9cbbfa62cafaeb25ab0a3,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_5.log
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_14,dd2543219178c80203bfb33f33d11771a244a7d852db60302980704a23415950,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_14.log
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_21,9de75d486127120e2699ebc85e9ea4d952e983f1e2f1b7637afc958606ad3678,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_21.log
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_29,3bf453189cda6dbe1361a13df1fe0255c3c78731581b651e552c21aa797f36ce,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_29.log
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_7,f4ab1064b132673586608199729b451895551ecfa22b6066a196b28b688aa155,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_7.log
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_15,4415e56986d690dd16950a992aeca220e78a87d38ddc8c4930f4806a4ae16bbb,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_15.log
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_22,1f18d1ce2734f1deb02077fae648a880ee5778b112527fcebc6907e78be021bc,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_22.log
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_3,d14be7d97b5f1426e25810ba87ab7fabd7bb9778411534ebac69b4bf0737b154,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_3.log
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_8,6a0a63ccdaea431d8a3cea7b2b3f9ae751be1d2f6a67ba278fcedbd70bf87db7,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_8.log
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_1,8dd4d3e3813164eab816cfdbc192bb619ca0dbe440e731038d29c23a6e77915c,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_1.log
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_17,5f9b91605ec8b310e9543e282489436938c8b1c281d18c58e870f192b4acbfff,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_17.log
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_24,a1938e21a1049ece7dea8daa97dd51eaa1b6b02e21b852a7f5a62a33d77bb377,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_24.log
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_31,6ad5f3a88959217017a7f795831bdab4426d3dde69d8cddc4442793aa2283c9c,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_31.log
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_11,aeb5b42b64222a7c79849677a1271df905e511340fd577013d39f96c2253657d,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_11.log
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_19,b2b69a604c4de49b60073be3267cb0caaaa10393d1487b32a5819826f9cfa811,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_19.log
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_26,2a88cfd6bf34fe4a8c3ec237f46b006070ec2f1dab7d37db2b9b68ad258c203c,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_26.log
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_4,3ba634f329d858ccbaa524bf8df1593e7e8fe41119ce112dc81a4e9634f87424,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_4.log
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_16,4d27ac4037f2cbeaa84817c59e5730aad6470e13b41a08d2b1ce980443a57268,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_16.log
defects4j,Chart_4,chart_4f_deriveRotationAnchorOffsets__line686_768,major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,major_23,039755ac7c12b7bca2b337142f124d2a325809811acd845ea53ee6d7148a4932,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__chart_4f_deriveRotationAnchorOffsets__line686_768/execution/major_23.log
