dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Cli_40,cli_40f_flatten__line94_174,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_40f_flatten__line94_174,flatten,major_16,eb035245a28cb7ceb06c98fb808c58716ea4347efa593922bcaea3d134e776f8,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_40f_flatten__line94_174/execution/major_16.log
defects4j,Cli_40,cli_40f_flatten__line94_174,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_40f_flatten__line94_174,flatten,major_23,05a8c865f0f28044a27f2f9df2e1190d3ef971d737333dc4a7437aca27e8470e,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_40f_flatten__line94_174/execution/major_23.log
defects4j,Cli_40,cli_40f_flatten__line94_174,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_40f_flatten__line94_174,flatten,major_30,9497367f67ebdb59bebdc129172dd2867d6b6491cbeee78799c0bf251dfcc324,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_40f_flatten__line94_174/execution/major_30.log
defects4j,Cli_40,cli_40f_flatten__line94_174,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_40f_flatten__line94_174,flatten,major_38,fa22a70f68588096b46b891d372fd312f8e8632478ab658647105e1e5452844f,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_40f_flatten__line94_174/execution/major_38.log
defects4j,Cli_40,cli_40f_flatten__line94_174,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_40f_flatten__line94_174,flatten,major_11,bbf0c0516a8c413b64eb33f494db6517499125fbe171d2fafec330015cc26088,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_40f_flatten__line94_174/execution/major_11.log
defects4j,Cli_40,cli_40f_flatten__line94_174,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_40f_flatten__line94_174,flatten,major_19,10f25f2526c62f360b20ff79361106e7b0ace7e60a65e340d066f4ab68bd00d9,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_40f_flatten__line94_174/execution/major_19.log
defects4j,Cli_40,cli_40f_flatten__line94_174,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_40f_flatten__line94_174,flatten,major_26,44ea778ef76f7ed73d6608c0603018f97a59563c448cc3b880b67fad85f0a170,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_40f_flatten__line94_174/execution/major_26.log
defects4j,Cli_40,cli_40f_flatten__line94_174,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_40f_flatten__line94_174,flatten,major_33,f2fcb813b0ce0fbae33a159949d34de3741b2c6318d8b22dfdee68b4662f3041,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_40f_flatten__line94_174/execution/major_33.log
defects4j,Cli_40,cli_40f_flatten__line94_174,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_40f_flatten__line94_174,flatten,major_5,401818ead620c14c2bf088e315a5654c2f32428a1373e77adaaa9eeda71512ff,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_40f_flatten__line94_174/execution/major_5.log
defects4j,Cli_40,cli_40f_flatten__line94_174,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_40f_flatten__line94_174,flatten,major_1,7191a2098d1f236384b972b685e6e765d344acd224120979a210bde955c1c00a,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_40f_flatten__line94_174/execution/major_1.log
