dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Cli_7,cli_7f_process__line156_235,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235,process,major_15,a3b5a556d95b35f6221de886f416b1673f3305155388c67f69e369e4685e76ff,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235/execution/major_15.log
defects4j,Cli_7,cli_7f_process__line156_235,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235,process,major_4,26f6acd056e4606d24bf3229fc3d712956ea398488f50f4bda9c1f9aa8063c71,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235/execution/major_4.log
defects4j,Cli_7,cli_7f_process__line156_235,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235,process,major_16,7c0e95b5ca10e912baf6d0a908dba727e4a68a8131ff078497ef3dec4ea03dac,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235/execution/major_16.log
defects4j,Cli_7,cli_7f_process__line156_235,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235,process,major_5,304bc97afd79b1cc3b028c82e9bcd29e092f99963c4c0e2f2ddb71a51d4c7755,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235/execution/major_5.log
defects4j,Cli_7,cli_7f_process__line156_235,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235,process,major_14,5f2c05a82937cb4bb0883fedd6bfc50717418f158f47f7475308ffd4b68263fe,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235/execution/major_14.log
defects4j,Cli_7,cli_7f_process__line156_235,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235,process,major_3,0c568a5a197d1314e0d59d2ff17c5e94459661c441b8ce43cbc00a08d1b401a9,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235/execution/major_3.log
defects4j,Cli_7,cli_7f_process__line156_235,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235,process,major_13,a8be5da47bc95c4c944e0ce9b94bef9e9b8aeb217f22c3a84bcad6627e4290a7,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235/execution/major_13.log
defects4j,Cli_7,cli_7f_process__line156_235,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235,process,major_20,2a00c5dde3ca701abd50c7d23a053996b3527be2e549d6e188c40acac342f470,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235/execution/major_20.log
defects4j,Cli_7,cli_7f_process__line156_235,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235,process,major_11,a39d498d5e30da6f463f160f68a918d4c82984e720dd28e59a606c9f41883fe4,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235/execution/major_11.log
defects4j,Cli_7,cli_7f_process__line156_235,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235,process,major_19,80426ef8fcc687ef792ef322d22e679e93d06e471c53cb286d9539406599cb06,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235/execution/major_19.log
defects4j,Cli_7,cli_7f_process__line156_235,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235,process,major_8,b40404aac95658408b1eb76db89ec9cd4581415f1adf6305c6167fe1fc8fff7e,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235/execution/major_8.log
defects4j,Cli_7,cli_7f_process__line156_235,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235,process,major_10,051f8ac13ee7b86cc36adb67abe8b0106015bd32743ed0d1c374f4f95a656f25,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235/execution/major_10.log
defects4j,Cli_7,cli_7f_process__line156_235,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235,process,major_18,82f9a5e9d4427dfef41e8941164bae79acbbc5d58d653597e6dec2de888efa4b,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235/execution/major_18.log
defects4j,Cli_7,cli_7f_process__line156_235,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235,process,major_7,3810ebe540a4e9360ca96c4ffe183cdee36ddc133df3b634d753e3a37c16e43c,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235/execution/major_7.log
defects4j,Cli_7,cli_7f_process__line156_235,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235,process,major_1,c94670a3810182fecc6034253b3b4053759a7aa72ae77013c75ceca9cdf0b0a8,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235/execution/major_1.log
defects4j,Cli_7,cli_7f_process__line156_235,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235,process,major_17,6abeb598ca39405327f157c7b0657937cc053525a5df6b0bbedff031f737c7fb,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235/execution/major_17.log
defects4j,Cli_7,cli_7f_process__line156_235,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235,process,major_6,131f2bc13704cb1b95db5d2584743620490a068bb52706a8cfa492c274e7cc76,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235/execution/major_6.log
defects4j,Cli_7,cli_7f_process__line156_235,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235,process,major_12,b5d65ab2a8ebc6772fba4f00d11f03885d1614787b3dad0c8f383519dfe9098e,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235/execution/major_12.log
defects4j,Cli_7,cli_7f_process__line156_235,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235,process,major_2,f55ffb1b4a104fe31be04ef41b057be08aeaf5687ecc40ff800cd46172df16af,SUCCESS,FAIL,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235/execution/major_2.log
defects4j,Cli_7,cli_7f_process__line156_235,major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235,process,major_9,2378f181fb25488f016fd57be0871d66006b6dff714fc5c5351725fc135e4e55,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__cli_7f_process__line156_235/execution/major_9.log
