dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Codec_13,codec_13f_handleS__line597_642,major_exec__major_full_catalog_try2_exec_no_cap_mw8__codec_13f_handleS__line597_642,handleS,major_16,c9ad66e581486fe89f083c40f1907f70f26a82bac3028009b13e5297ae34f41e,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__codec_13f_handleS__line597_642/execution/major_16.log
defects4j,Codec_13,codec_13f_handleS__line597_642,major_exec__major_full_catalog_try2_exec_no_cap_mw8__codec_13f_handleS__line597_642,handleS,major_23,80fefdbb6db793bcfcc48adec426eac24dbfbc0d69cef6e7995db610b292c079,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__codec_13f_handleS__line597_642/execution/major_23.log
defects4j,Codec_13,codec_13f_handleS__line597_642,major_exec__major_full_catalog_try2_exec_no_cap_mw8__codec_13f_handleS__line597_642,handleS,major_30,87be1b5857f85bb5b5e4a4fc0242bc9472ec3b40ed79f13bb17df2c32df93ca1,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__codec_13f_handleS__line597_642/execution/major_30.log
defects4j,Codec_13,codec_13f_handleS__line597_642,major_exec__major_full_catalog_try2_exec_no_cap_mw8__codec_13f_handleS__line597_642,handleS,major_38,61d6b93a705638eb6982a228a8c7cf248f1b0c39a8d9f7b746293412e2a77010,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__codec_13f_handleS__line597_642/execution/major_38.log
defects4j,Codec_13,codec_13f_handleS__line597_642,major_exec__major_full_catalog_try2_exec_no_cap_mw8__codec_13f_handleS__line597_642,handleS,major_45,0dae2178f856d03a6987fe771b0001740faef48ab7e175f648c3c799ab6aab43,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__codec_13f_handleS__line597_642/execution/major_45.log
defects4j,Codec_13,codec_13f_handleS__line597_642,major_exec__major_full_catalog_try2_exec_no_cap_mw8__codec_13f_handleS__line597_642,handleS,major_52,2a1025d11c4ed8176e54218a582585f30d4ab07c5242172d42a953abee7dc48f,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__codec_13f_handleS__line597_642/execution/major_52.log
defects4j,Codec_13,codec_13f_handleS__line597_642,major_exec__major_full_catalog_try2_exec_no_cap_mw8__codec_13f_handleS__line597_642,handleS,major_6,9099f4e775a72730cd3f786974bc070e9ff1d388276ec6d3dc6edda6c7df97b4,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__codec_13f_handleS__line597_642/execution/major_6.log
defects4j,Codec_13,codec_13f_handleS__line597_642,major_exec__major_full_catalog_try2_exec_no_cap_mw8__codec_13f_handleS__line597_642,handleS,major_67,a50411c91439c8b937a663fd22f4360fefbe17e9aadbd213cfaf5520cadf3b94,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__codec_13f_handleS__line597_642/execution/major_67.log
defects4j,Codec_13,codec_13f_handleS__line597_642,major_exec__major_full_catalog_try2_exec_no_cap_mw8__codec_13f_handleS__line597_642,handleS,major_74,5175a21cb2fdc9bd67914a5bafe123f1cfc036bf7c814d76ffd9e829f061e458,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__codec_13f_handleS__line597_642/execution/major_74.log
defects4j,Codec_13,codec_13f_handleS__line597_642,major_exec__major_full_catalog_try2_exec_no_cap_mw8__codec_13f_handleS__line597_642,handleS,major_81,34eacc6a428ad0611b04ed0e7108ffc72e977894aed4bc215c6a9c93670137c9,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__codec_13f_handleS__line597_642/execution/major_81.log
