dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Collections_17,collections_17f_put__line254_330,major_exec__major_full_catalog_try2_exec_no_cap_mw8__collections_17f_put__line254_330,put,major_11,da858dd662e6917463fa513fb9308a6deebaa92568f035ba5672613e8b0dfd2a,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__collections_17f_put__line254_330/execution/major_11.log
defects4j,Collections_17,collections_17f_put__line254_330,major_exec__major_full_catalog_try2_exec_no_cap_mw8__collections_17f_put__line254_330,put,major_19,a89ccc0608b47dcdba1a7161b9148f867aacb802a120cf2f34f73e969a560191,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__collections_17f_put__line254_330/execution/major_19.log
defects4j,Collections_17,collections_17f_put__line254_330,major_exec__major_full_catalog_try2_exec_no_cap_mw8__collections_17f_put__line254_330,put,major_26,9da303a8b5bb4f4d2b002aff1e777ae48a6592710ca08d05083aa1509addd778,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__collections_17f_put__line254_330/execution/major_26.log
defects4j,Collections_17,collections_17f_put__line254_330,major_exec__major_full_catalog_try2_exec_no_cap_mw8__collections_17f_put__line254_330,put,major_33,a1f32999ab612bfa350ee4076059cbf296283d6fdf8b0198bfef60acf2af7b73,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__collections_17f_put__line254_330/execution/major_33.log
defects4j,Collections_17,collections_17f_put__line254_330,major_exec__major_full_catalog_try2_exec_no_cap_mw8__collections_17f_put__line254_330,put,major_16,d2d2ebd8ec6d5125cd7cc235a7d55342a356d8cef7a3bf6d2005f281741ea6f5,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__collections_17f_put__line254_330/execution/major_16.log
defects4j,Collections_17,collections_17f_put__line254_330,major_exec__major_full_catalog_try2_exec_no_cap_mw8__collections_17f_put__line254_330,put,major_23,05f7cd08c1d35e1dc44586bca36c8b00f770b14251fade2ba25c4b957c3d61a3,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__collections_17f_put__line254_330/execution/major_23.log
defects4j,Collections_17,collections_17f_put__line254_330,major_exec__major_full_catalog_try2_exec_no_cap_mw8__collections_17f_put__line254_330,put,major_30,32cbf9386d96b4af8e1643b5dd6eebd939ecd440ec50c89d743384dd7943a3ee,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__collections_17f_put__line254_330/execution/major_30.log
defects4j,Collections_17,collections_17f_put__line254_330,major_exec__major_full_catalog_try2_exec_no_cap_mw8__collections_17f_put__line254_330,put,major_7,0bc1fe125824a47ad77931ee9d854a0cb16f74ec63f2c10c757532381377db1a,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__collections_17f_put__line254_330/execution/major_7.log
defects4j,Collections_17,collections_17f_put__line254_330,major_exec__major_full_catalog_try2_exec_no_cap_mw8__collections_17f_put__line254_330,put,major_12,d87964061505395619193e3d0cfe375273fbff9555349077edbc9894eaf071a2,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__collections_17f_put__line254_330/execution/major_12.log
defects4j,Collections_17,collections_17f_put__line254_330,major_exec__major_full_catalog_try2_exec_no_cap_mw8__collections_17f_put__line254_330,put,major_2,b961922d5749093504ecc9c7d9bc1d25929d262fe19a9dbced36b9dee17246a0,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__collections_17f_put__line254_330/execution/major_2.log
