dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_1,c40088d14e25254d2fd727814a1cb7754433a73bfee8962cd8cacfc4bd85917b,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_1.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_17,69b7e0ea5bb83e6a4597bf72421c5a3b89cc084190abc3502b1f5ac16a06a56b,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_17.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_24,3aad940ac75d4560fecaf48ab2213726e3c21059db6885fe7b1d6dd2aa387293,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_24.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_31,0f72e7388c8934885b2586c148cb1d42ffa343c104e87f3c4c16a6975301324e,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_31.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_39,25b6e328b2e80faf53cd92e48f17a9ee3120c932658f28aa06d642a6d7f61259,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_39.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_46,a6eacf08aa556793f2d0da812a18b972edd1472a3bcc8f1a40b1f24283a1ce84,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_46.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_53,0fad7ab3fa1502f64045c5a51c91ab163de80c8cb8a420436dc6b7c67b3dd753,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_53.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_10,19fa2e4293124fcbe50a60ee140e516219fa3bb60ec25ddb4a004c9359ee9290,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_10.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_18,036bb5489843a5ca1f1e5785acdc80343921e845821a2b3e906be538e201c31d,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_18.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_25,855ad078f370fead825f77f1ece56e6f48873d6e8111b2ba8d22fe4c7e526833,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_25.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_32,35b241e5999faf3cb33047c132341f801b82eccd882ae4b83767c9ee9f710996,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_32.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_4,8bcacb464b767e21d78dc5c2a1c44cbc5bcc9e3c1d000b3cbdfd6bb71915368c,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_4.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_47,44a6e6337484dee63cdc27ab6abd35e5d936e019a5a1c655938aada67a608631,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_47.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_6,936044d52c86dfb8587c7b53164dc5204d48d9fe1b3bbb8097fe6170f3d2f2b1,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_6.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_12,6b55e6af5418ac7b624ff6e62236829b3ba35c15242cd60daade3e4e0317c653,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_12.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_2,59ac2cce9ef7d3a1701e0fba0ad126e2eb100bdb0048c16fc9d787b96a253de1,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_2.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_27,1b217467dd529413ea3440a93ab515a3dc7fb0c6a3c9e2ab61dcff979684a624,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_27.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_34,5148488ad036bf590d51ba9e51d509cf37a47c97d10b5a6becc3ced39af5c0ec,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_34.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_41,ef63500c94d6e07be8907d8c57d2d67b40d7ed4ff2556a22608b39b4db0f4d2d,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_41.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_49,0e2bdb9418b7dd715549d0e90bf050573fc9ad7d1035c38130815b8650f550d0,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_49.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_8,7b0e1dcc0f2e9edea42e73eb8aa75ae5b0da124722fba28f0ef57e55d18128e9,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_8.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_13,dd158fb92607dbc063b98ee2204f74db7ec2cfe79b7e3fe0241e3cc14baa83b4,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_13.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_20,f6cb0719baa6ca7c57120c46050b1b777bd956610a52ef3ee8dfcb0357d2421d,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_20.log
defects4j,Compress_21,compress_21f_readSubStreamsInfo__line397_478,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,major_28,d13cabeb056f21ad47e14b8c1edd084ae2dc0b960e203e066f9ced32f8e5495f,BASELINE_FAIL,BASELINE_FAIL,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_21f_readSubStreamsInfo__line397_478/execution/major_28.log
