dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Compress_43,compress_43f_readFrameDescriptor__line190_233,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_43f_readFrameDescriptor__line190_233,readFrameDescriptor,major_14,2710e514917c5eb7fc0c68bd522154cb8a49081196e1ebe8f7cb1d32fee40eee,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_43f_readFrameDescriptor__line190_233/execution/major_14.log
defects4j,Compress_43,compress_43f_readFrameDescriptor__line190_233,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_43f_readFrameDescriptor__line190_233,readFrameDescriptor,major_21,8f9599b5f079dd1ea19cf16746d681f77d1b53b51f8fb895ee958606869e4da6,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_43f_readFrameDescriptor__line190_233/execution/major_21.log
defects4j,Compress_43,compress_43f_readFrameDescriptor__line190_233,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_43f_readFrameDescriptor__line190_233,readFrameDescriptor,major_29,866686ceb928b849e2f172470d8298e02e8ff9b6d67e20c81d9525329a8a661e,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_43f_readFrameDescriptor__line190_233/execution/major_29.log
defects4j,Compress_43,compress_43f_readFrameDescriptor__line190_233,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_43f_readFrameDescriptor__line190_233,readFrameDescriptor,major_36,3f215e9bdc07f1935ae80e4c47cd3ede2440495f58cd67a4b73569cdf2988950,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_43f_readFrameDescriptor__line190_233/execution/major_36.log
defects4j,Compress_43,compress_43f_readFrameDescriptor__line190_233,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_43f_readFrameDescriptor__line190_233,readFrameDescriptor,major_6,8f270216f5f0446a6ac426dd70a0a251bf210f50548d257471c87e8b4d10bcae,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_43f_readFrameDescriptor__line190_233/execution/major_6.log
defects4j,Compress_43,compress_43f_readFrameDescriptor__line190_233,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_43f_readFrameDescriptor__line190_233,readFrameDescriptor,major_13,6dd8d4b8e11ec52dc3c182bbc35c34aace7224e91c32909d856d9712e6b5c8ef,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_43f_readFrameDescriptor__line190_233/execution/major_13.log
defects4j,Compress_43,compress_43f_readFrameDescriptor__line190_233,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_43f_readFrameDescriptor__line190_233,readFrameDescriptor,major_20,c20bbacc028e94a4965855beec3917ac4a4764f025ed1ab6c54ceeb004796500,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_43f_readFrameDescriptor__line190_233/execution/major_20.log
defects4j,Compress_43,compress_43f_readFrameDescriptor__line190_233,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_43f_readFrameDescriptor__line190_233,readFrameDescriptor,major_28,80fad6b3e4a08810877bfe1e73740809cd4e9d23d3cb128fd9473e18f652d4c6,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_43f_readFrameDescriptor__line190_233/execution/major_28.log
defects4j,Compress_43,compress_43f_readFrameDescriptor__line190_233,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_43f_readFrameDescriptor__line190_233,readFrameDescriptor,major_35,85a90f25eb7abac7bde6c64f49ef6a60c2f2c4774e6b94cb4fdcc50ed89c71d7,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_43f_readFrameDescriptor__line190_233/execution/major_35.log
defects4j,Compress_43,compress_43f_readFrameDescriptor__line190_233,major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_43f_readFrameDescriptor__line190_233,readFrameDescriptor,major_5,4fc925175b2bae0fbb66e452354e8651eeb598df32a9aa88354196cfd1382387,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__compress_43f_readFrameDescriptor__line190_233/execution/major_5.log
