dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__isNextTokenNameYes__line902_972,_isNextTokenNameYes,major_15,33a52a0acc64d80bd952a03347e7398ea518a53ead5d464c08fa09eb1539cc25,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__isNextTokenNameYes__line902_972/execution/major_15.log
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__isNextTokenNameYes__line902_972,_isNextTokenNameYes,major_22,1f7965c5754bb35161ecacb1a40bf3c042600e8832d3ed8a6e96310cd13356ac,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__isNextTokenNameYes__line902_972/execution/major_22.log
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__isNextTokenNameYes__line902_972,_isNextTokenNameYes,major_3,eecf5ccc9059ee64b62f4e941ed5b95f2d49d1a25ef0be6c490be16a540d8aab,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__isNextTokenNameYes__line902_972/execution/major_3.log
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__isNextTokenNameYes__line902_972,_isNextTokenNameYes,major_16,432187e466b13f29089186c1528b7e2a952025934e0953da9d8373e9dceea638,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__isNextTokenNameYes__line902_972/execution/major_16.log
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__isNextTokenNameYes__line902_972,_isNextTokenNameYes,major_23,e692a400c0153b9c1c59f85bdbe2455c683063b069d5a91eb134a38fc3424c2e,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__isNextTokenNameYes__line902_972/execution/major_23.log
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__isNextTokenNameYes__line902_972,_isNextTokenNameYes,major_30,45a80d04d1415f930a1538ec5cc2c7c13796f531a8489b4f2c24bbf9f6d18ddd,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__isNextTokenNameYes__line902_972/execution/major_30.log
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__isNextTokenNameYes__line902_972,_isNextTokenNameYes,major_14,9361014dece2f3e55f610d8df7adafd9d89e209f0c59eebc00c0089a6732a04c,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__isNextTokenNameYes__line902_972/execution/major_14.log
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__isNextTokenNameYes__line902_972,_isNextTokenNameYes,major_21,d02957f48d3252f9b893785b8696e6df100d825678bbe634cf94707156d189ac,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__isNextTokenNameYes__line902_972/execution/major_21.log
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__isNextTokenNameYes__line902_972,_isNextTokenNameYes,major_29,a8f127606461e7f57664712d2ed02e96a853d1acd9d5e9c0e815b83df488caec,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__isNextTokenNameYes__line902_972/execution/major_29.log
defects4j,JacksonCore_1,jacksoncore_1f__isNextTokenNameYes__line902_972,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__isNextTokenNameYes__line902_972,_isNextTokenNameYes,major_9,8adddc9a3f1bbab28552a07e83375ec49a46ef58680e2ef8ea8c36c1333df11e,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__isNextTokenNameYes__line902_972/execution/major_9.log
