dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597,_skipColon,major_2,5ba097850ce7c72be924e20c9fe6ce349dade7db39a551fc771a85e2da99a1c0,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597/execution/major_2.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597,_skipColon,major_3,f863505980dfb530ddd72d7492fa3319e78c89adbaafd52c73f33fe269ccebf8,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597/execution/major_3.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597,_skipColon,major_14,6b98ac7374210e2c36bf0e31ec0c40321c838223ff6ec5b282a02d081feb93c9,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597/execution/major_14.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597,_skipColon,major_9,07c2d497ac791100c1a0deb1ec2481edb92b10fedfd0c312780a4b84c25518a7,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597/execution/major_9.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597,_skipColon,major_1,2c1ce68107e09ce984d406327c14df6ab2227f4e297850196ef6b08e4e4cfc27,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597/execution/major_1.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597,_skipColon,major_4,78a01aae4fe0910a1a265e625fc04563d97b6e369660fd9cfc4e109cca3fbc20,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597/execution/major_4.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597,_skipColon,major_10,545cd5f509cca57a8be5b0ee21e414155c4b0c184715f344fdf82c632bf8e69f,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597/execution/major_10.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597,_skipColon,major_5,da30f95777e8deaa7d316f4ca4b353f84e3e98e80e1f2c269203677e42bc52f1,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597/execution/major_5.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597,_skipColon,major_11,da181b703da3e98e76a8d5da3402cd169e00b97ad984251299a40e50e06ae35d,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597/execution/major_11.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597,_skipColon,major_6,70f4056301888043866a224b0fed2e04a63a85182cbc91254e2cf542447d8419,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597/execution/major_6.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597,_skipColon,major_12,bf03377db2bc7b272f1a3621c8c23466ec1422433cb0e6ac881a31a1c8fedd43,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597/execution/major_12.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597,_skipColon,major_7,df5d6fe6b3fcc01fd3b60d8e278a8e3c06eb190c8a4129a7088a116361de21e7,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597/execution/major_7.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597,_skipColon,major_13,a67cb387ff6c5b496d181e384e3b60c9fa807a6bea4d45d88380622257e91ba5,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597/execution/major_13.log
defects4j,JacksonCore_1,jacksoncore_1f__skipColon__line2527_2597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597,_skipColon,major_8,089895c3f00daa924d467c14beeefcdbff78baaaaaee67e3a96307a736b1643a,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_1f__skipColon__line2527_2597/execution/major_8.log
