dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_25f__startValueExpectComma__line642_730,_startValueExpectComma,major_13,9a03f6b4c4788fbd0541b1070eca0dfa80de277bc0249da4d95dce1e21f58a1a,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_25f__startValueExpectComma__line642_730/execution/major_13.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_25f__startValueExpectComma__line642_730,_startValueExpectComma,major_20,362d8014cb4c31f246ac184a09334216ccc41d7a380321020cc842604f3113eb,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_25f__startValueExpectComma__line642_730/execution/major_20.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_25f__startValueExpectComma__line642_730,_startValueExpectComma,major_28,9859b756824d0ef75ec04f13b4cc7bf5f183534e61a5ac1564963082e08b9c99,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_25f__startValueExpectComma__line642_730/execution/major_28.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_25f__startValueExpectComma__line642_730,_startValueExpectComma,major_35,833d0c8038dc86aea70df3b3aae0d1d2cf706e7f69f3ea68b6c712d4aa6df040,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_25f__startValueExpectComma__line642_730/execution/major_35.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_25f__startValueExpectComma__line642_730,_startValueExpectComma,major_42,0558848c807b29484a8c83c06e31428f83b2281f86f8a1f8a43088d66f0bb270,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_25f__startValueExpectComma__line642_730/execution/major_42.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_25f__startValueExpectComma__line642_730,_startValueExpectComma,major_15,cf596270db80ea480a185bcbb5fce8febdcc3cb34023882d46ddb317015a3793,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_25f__startValueExpectComma__line642_730/execution/major_15.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_25f__startValueExpectComma__line642_730,_startValueExpectComma,major_22,d0c07918cf6ddb81c97e073aa9496a2293d9b6051caa9b9bc2ce877abb8f1251,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_25f__startValueExpectComma__line642_730/execution/major_22.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_25f__startValueExpectComma__line642_730,_startValueExpectComma,major_3,0e6b003556ad01be82a21704df6f3c28d20e84624d782bfde2ffe261573e2054,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_25f__startValueExpectComma__line642_730/execution/major_3.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_25f__startValueExpectComma__line642_730,_startValueExpectComma,major_37,b321cc78fabf047d3006c9d389ac89f42ea0bf6a3246dbd52d29134ffad85d11,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_25f__startValueExpectComma__line642_730/execution/major_37.log
defects4j,JacksonCore_25,jacksoncore_25f__startValueExpectComma__line642_730,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_25f__startValueExpectComma__line642_730,_startValueExpectComma,major_44,79fd644bd9a1c4da9e11eaa92a27c7da1d0b238481167fb4dad4e4e7ad2f9fca,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksoncore_25f__startValueExpectComma__line642_730/execution/major_44.log
