dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_16,3bec53fc5c77523e9a82bcb88f9851e61ceba1115b45d6469868a6729c5b37f4,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_16.log
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_23,9fed41852ccdc96376f296d958351bf98f271ae7e343fd9e1a7737a328061815,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_23.log
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_30,9bad9fe02f4d12a48731c6a4d7a085140cae5829370974fc84d2effefa255449,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_30.log
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_38,92ae4b28cf65311421b11333d3709eac125a46c2b1c74885bf0688a163f4d6e0,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_38.log
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_45,29d731b96fbb0bf60b376c489ecd5e179b5d71b9784447705288179089f69f4a,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_45.log
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_15,1d757481e7d4d2e8648b23b96d292c8d2a886f0fa8d3681e288cd49e9461def3,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_15.log
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_22,4d3998572c55077906cda27cd3f523c8eea5b1d61c7d99d66e78fe4c653255cd,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_22.log
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_3,9ee9dce649c170e473b2935cb0e42a290fe44f55c4097715020422a59adf8ead,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_3.log
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_37,5307dbd96f7189ac106b682f29045e5152443e57eaa0451be0e2f10f01956072,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_37.log
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_44,d98c9e0a3f58eb51e8308cd1761f1607ea2a6977b4bc4140498bfb4a63cab3aa,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_44.log
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_14,789200f6f16579c57ab8a3cdfa8c09d8a675ce8de0719cae4139463e14a82d70,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_14.log
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_21,ad3a41421bb64f286abf0e00180796ec043667bf23f8befbd800ac77a14c8cb9,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_21.log
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_29,06da53a1898a3294ea76fb013ece735197d089c68a0f7419238058f7ef0d82bf,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_29.log
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_36,af346c4ee2e7107f95b6441885cc8ce049dcb8a32f0ff6a1a2e69d2a780f5262,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_36.log
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_43,001c35ac8a2682b3a5e8a9a1e6d6d415aa5664233cab5f6c210a3b9bed589448,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_43.log
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_12,020d8d0ab68cab308dac069c8757d12089422b42ae62ec997363d1b19cf97702,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_12.log
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_2,f2952e7dbb93aeb91ee5e4da1caee0e54ca0eaa14458f9af7b1295251d3f417d,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_2.log
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_27,ef5bc5aaefa3802de719b341928235d45fe66db0ca771433cbed4912713c6fd9,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_27.log
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_34,af2f96ae5d5f263524b068cccbef2c3ece4cfd85023b88ef3dfd7799514ffcab,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_34.log
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_41,046a0dd3ab336adf93a64ce00af2d261a8c3891ababffeff26e33ab9a3234f60,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_41.log
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_8,d9732b9e789dc44d2c0abf06615ae119c3a435ade0893cea72090e2a3cdb837f,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_8.log
defects4j,JacksonDatabind_1,jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578,_addDeserializerFactoryMethods,major_11,6c0804748004e79c7d95285183ccb87938d07d32ef3f6dac24744f425c5f83a9,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_1f__addDeserializerFactoryMethods__line507_578/execution/major_11.log
