dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,JacksonDatabind_96,jacksondatabind_96f__getSetterInfo__line242_315,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_96f__getSetterInfo__line242_315,_getSetterInfo,major_12,11b455f1207e40a744a84e857969518e2f9a68831624329e6cf09c0dabb8dba2,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_96f__getSetterInfo__line242_315/execution/major_12.log
defects4j,JacksonDatabind_96,jacksondatabind_96f__getSetterInfo__line242_315,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_96f__getSetterInfo__line242_315,_getSetterInfo,major_16,6d51fd52b6a6aa9f7e3645266c0c20903e6706263173969d3b369166533ac1e7,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_96f__getSetterInfo__line242_315/execution/major_16.log
defects4j,JacksonDatabind_96,jacksondatabind_96f__getSetterInfo__line242_315,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_96f__getSetterInfo__line242_315,_getSetterInfo,major_2,b9ff60e5981153bbcd64278354a15aecf35abbdbb258869a79930f08e188d839,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_96f__getSetterInfo__line242_315/execution/major_2.log
defects4j,JacksonDatabind_96,jacksondatabind_96f__getSetterInfo__line242_315,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_96f__getSetterInfo__line242_315,_getSetterInfo,major_23,5d713e4f004c4004dba784b153e537ae88cd564dd4947d66fdc23610810fb728,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_96f__getSetterInfo__line242_315/execution/major_23.log
defects4j,JacksonDatabind_96,jacksondatabind_96f__getSetterInfo__line242_315,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_96f__getSetterInfo__line242_315,_getSetterInfo,major_27,cf11da27788c4f170737b76a4bc2d4cca30cc98f3f688d1b15c24ab73e8f546f,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_96f__getSetterInfo__line242_315/execution/major_27.log
defects4j,JacksonDatabind_96,jacksondatabind_96f__getSetterInfo__line242_315,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_96f__getSetterInfo__line242_315,_getSetterInfo,major_30,bb5e71b6b6332c94fed751bd217669231ca67dd0cc33d6eba579c65e253a4836,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_96f__getSetterInfo__line242_315/execution/major_30.log
defects4j,JacksonDatabind_96,jacksondatabind_96f__getSetterInfo__line242_315,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_96f__getSetterInfo__line242_315,_getSetterInfo,major_7,0a7caba2950a9ce484a760a02320131eed8c11126b1971e2f6599f8de3441438,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_96f__getSetterInfo__line242_315/execution/major_7.log
defects4j,JacksonDatabind_96,jacksondatabind_96f__getSetterInfo__line242_315,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_96f__getSetterInfo__line242_315,_getSetterInfo,major_11,99189320e1024308046e8a3e9d9352dcb3dfbd1fc0fbbaaa715705c0afc0606b,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_96f__getSetterInfo__line242_315/execution/major_11.log
defects4j,JacksonDatabind_96,jacksondatabind_96f__getSetterInfo__line242_315,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_96f__getSetterInfo__line242_315,_getSetterInfo,major_15,9d70dc7b7d6e1cc66fc1996ee0efe8a8e27ff3267624eca9ab7593b9cd6544a3,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_96f__getSetterInfo__line242_315/execution/major_15.log
defects4j,JacksonDatabind_96,jacksondatabind_96f__getSetterInfo__line242_315,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_96f__getSetterInfo__line242_315,_getSetterInfo,major_19,2173d4cc310cca897651af280555da7c9470e824bfed7263393ad0cd6a5c02bb,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jacksondatabind_96f__getSetterInfo__line242_315/execution/major_19.log
