dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Jsoup_28,jsoup_28f_consumeCharacterReference__line100_155,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jsoup_28f_consumeCharacterReference__line100_155,consumeCharacterReference,major_11,faee440d6b5ddaf57c0c86bfbb7623e7a0cd80b625e0bd764820493090571699,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jsoup_28f_consumeCharacterReference__line100_155/execution/major_11.log
defects4j,Jsoup_28,jsoup_28f_consumeCharacterReference__line100_155,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jsoup_28f_consumeCharacterReference__line100_155,consumeCharacterReference,major_19,a115dcf1c9395656f7692eda6b2a95c1921913281a9ae2e8197234fa08b418e9,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jsoup_28f_consumeCharacterReference__line100_155/execution/major_19.log
defects4j,Jsoup_28,jsoup_28f_consumeCharacterReference__line100_155,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jsoup_28f_consumeCharacterReference__line100_155,consumeCharacterReference,major_26,f4edec7a3cdefed021fabf5c5dfc2ac36aa6e128f1eaaa0a1832b3665a999431,FAIL,NOT_RUN,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jsoup_28f_consumeCharacterReference__line100_155/execution/major_26.log
defects4j,Jsoup_28,jsoup_28f_consumeCharacterReference__line100_155,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jsoup_28f_consumeCharacterReference__line100_155,consumeCharacterReference,major_33,2307ac6b6a107a635a3306a27b52dd75bb4dd8ee991572e255a0cc4f5dffc479,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jsoup_28f_consumeCharacterReference__line100_155/execution/major_33.log
defects4j,Jsoup_28,jsoup_28f_consumeCharacterReference__line100_155,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jsoup_28f_consumeCharacterReference__line100_155,consumeCharacterReference,major_40,992a81a592762a7df23ec55aad6f10c4f52d33eec51b86e33a5c0243f1667aaf,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jsoup_28f_consumeCharacterReference__line100_155/execution/major_40.log
defects4j,Jsoup_28,jsoup_28f_consumeCharacterReference__line100_155,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jsoup_28f_consumeCharacterReference__line100_155,consumeCharacterReference,major_48,11fdcc850cfef6d3bfa0949a38ff9f0a67280cbc644913c5dce72d9158a3f56a,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jsoup_28f_consumeCharacterReference__line100_155/execution/major_48.log
defects4j,Jsoup_28,jsoup_28f_consumeCharacterReference__line100_155,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jsoup_28f_consumeCharacterReference__line100_155,consumeCharacterReference,major_16,b046e4b3c549434158814132f6857cf90aaf07af24de9a179307de0efe2161d9,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jsoup_28f_consumeCharacterReference__line100_155/execution/major_16.log
defects4j,Jsoup_28,jsoup_28f_consumeCharacterReference__line100_155,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jsoup_28f_consumeCharacterReference__line100_155,consumeCharacterReference,major_23,2271611fc2b251469d38cb1388d8277704e00bcce60f409e30cd8e622cd11cf6,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jsoup_28f_consumeCharacterReference__line100_155/execution/major_23.log
defects4j,Jsoup_28,jsoup_28f_consumeCharacterReference__line100_155,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jsoup_28f_consumeCharacterReference__line100_155,consumeCharacterReference,major_30,2952ec86e68ec674137c7685276a19dac2c1b2788bdfe47e1d1045a97358c9f2,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jsoup_28f_consumeCharacterReference__line100_155/execution/major_30.log
defects4j,Jsoup_28,jsoup_28f_consumeCharacterReference__line100_155,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jsoup_28f_consumeCharacterReference__line100_155,consumeCharacterReference,major_38,2590568fce73e2f840553a16801f16c6eaa595b3a090a94fc3e7922ceb025000,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jsoup_28f_consumeCharacterReference__line100_155/execution/major_38.log
