dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597,jjMoveStringLiteralDfa2_0,major_102,d3e221c0022ced23efe8eee8a093002306c749a3820c365e6c603858ef8c29c9,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597/execution/major_102.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597,jjMoveStringLiteralDfa2_0,major_11,66018dd554c56fd96b8f01b880efe7893df53ee544c4e37bd0b470c849367fcf,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597/execution/major_11.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597,jjMoveStringLiteralDfa2_0,major_117,c8f9bae4399a55177a4794e88c1d2cc09e49fbaed1c59e37ed27b18c7781cf20,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597/execution/major_117.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597,jjMoveStringLiteralDfa2_0,major_124,cd169f2391dc144770004831b2eb97eefd40ec456ea465578098e63d31f3a69d,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597/execution/major_124.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597,jjMoveStringLiteralDfa2_0,major_14,01ef08ac770b860bb9c53974165c6956657bbd1ec15953e4b6d90748e9c10185,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597/execution/major_14.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597,jjMoveStringLiteralDfa2_0,major_21,914cd2bf20633c0a9b6676b7975bc15e148e5ba108cdb4a3b7e9c595d27be453,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597/execution/major_21.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597,jjMoveStringLiteralDfa2_0,major_29,a89970bc949adc792de3a0c52aed54239ff41fade9df9eff9e94c1083dd79ca1,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597/execution/major_29.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597,jjMoveStringLiteralDfa2_0,major_36,2f51bdcc5bd7c1bf9a347fc61bbda91eed3d4ffdbc74bad1ed839aa858b21679,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597/execution/major_36.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597,jjMoveStringLiteralDfa2_0,major_43,d022c1ea590af2fc900bd1f91a0b05c58661dd084286c751503dbd77e702ce3b,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597/execution/major_43.log
defects4j,JxPath_1,jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597,major_exec__major_full_catalog_try2_exec_no_cap_mw8__jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597,jjMoveStringLiteralDfa2_0,major_50,470671118a43d8e23859339c495538d6d53a39ce8bc773e2301d9f9ab7d541f5,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__jxpath_1f_jjMoveStringLiteralDfa2_0__line536_597/execution/major_50.log
