dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Math_79,math_79f_evaluateStep__line166_260,major_exec__major_full_catalog_try2_exec_no_cap_mw8__math_79f_evaluateStep__line166_260,evaluateStep,major_12,be20bfefc190cb3f209f0c92109d7f1ea0a32c4cf11a47a575142b00e9d641a6,SUCCESS,FAIL,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__math_79f_evaluateStep__line166_260/execution/major_12.log
defects4j,Math_79,math_79f_evaluateStep__line166_260,major_exec__major_full_catalog_try2_exec_no_cap_mw8__math_79f_evaluateStep__line166_260,evaluateStep,major_16,f5ef256573dd6c0a94f4319e371a4c32aaa161a6a234a55bd51bdababec5d656,FAIL,NOT_RUN,False,False,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__math_79f_evaluateStep__line166_260/execution/major_16.log
defects4j,Math_79,math_79f_evaluateStep__line166_260,major_exec__major_full_catalog_try2_exec_no_cap_mw8__math_79f_evaluateStep__line166_260,evaluateStep,major_2,e7d6b23fb8dea90ce7289d71dbf2fd97bf0c25a3b8dae261939c92739fbdd887,SUCCESS,FAIL,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__math_79f_evaluateStep__line166_260/execution/major_2.log
defects4j,Math_79,math_79f_evaluateStep__line166_260,major_exec__major_full_catalog_try2_exec_no_cap_mw8__math_79f_evaluateStep__line166_260,evaluateStep,major_23,99ff220218ebcb9282056bfa6a1b27d98f51b183c1e601c051c08b6489c5f491,SUCCESS,FAIL,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__math_79f_evaluateStep__line166_260/execution/major_23.log
defects4j,Math_79,math_79f_evaluateStep__line166_260,major_exec__major_full_catalog_try2_exec_no_cap_mw8__math_79f_evaluateStep__line166_260,evaluateStep,major_27,6ae67fb78de6d3f8a26c097f67d313b91789e6882a8d1865bf3ad5d17bff2c35,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__math_79f_evaluateStep__line166_260/execution/major_27.log
defects4j,Math_79,math_79f_evaluateStep__line166_260,major_exec__major_full_catalog_try2_exec_no_cap_mw8__math_79f_evaluateStep__line166_260,evaluateStep,major_30,a1bbe533181d0b4c4bfd49183e46570c4564c0233dff672a7c93db4e449dd7a6,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__math_79f_evaluateStep__line166_260/execution/major_30.log
defects4j,Math_79,math_79f_evaluateStep__line166_260,major_exec__major_full_catalog_try2_exec_no_cap_mw8__math_79f_evaluateStep__line166_260,evaluateStep,major_7,2f4fbb17fd9044fd35a31d18faaa35a870c3a288a0b5b46bceb4b05cbbe00c67,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__math_79f_evaluateStep__line166_260/execution/major_7.log
defects4j,Math_79,math_79f_evaluateStep__line166_260,major_exec__major_full_catalog_try2_exec_no_cap_mw8__math_79f_evaluateStep__line166_260,evaluateStep,major_1,923bd329c32c1f15d75669a4f3cbda6007589208b2ad984eb5ce94be8d64c909,SUCCESS,PASS,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__math_79f_evaluateStep__line166_260/execution/major_1.log
defects4j,Math_79,math_79f_evaluateStep__line166_260,major_exec__major_full_catalog_try2_exec_no_cap_mw8__math_79f_evaluateStep__line166_260,evaluateStep,major_13,6a446e47f64e6bc7756526756ebc55c81c24b61dddc11be6f248b500354cf834,SUCCESS,FAIL,False,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__math_79f_evaluateStep__line166_260/execution/major_13.log
defects4j,Math_79,math_79f_evaluateStep__line166_260,major_exec__major_full_catalog_try2_exec_no_cap_mw8__math_79f_evaluateStep__line166_260,evaluateStep,major_17,aa13ec12579b379b1cf1ce299a60cd62f89e20b71e9b815bba5de802c6bff440,SUCCESS,FAIL,True,True,/home/francisco/mt-harness/harness/executions/java/major/execution/major_full_catalog_try2_exec_no_cap_mw8/runs/major_exec__major_full_catalog_try2_exec_no_cap_mw8__math_79f_evaluateStep__line166_260/execution/major_17.log
