dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,major_exec__major_with_exports_exec_v1__gson_11f_nextUnquotedValue__line1025_1085,nextUnquotedValue,major_10,b2deccc795f2b5590881d56981dc65757989f95637d57dd58a75cb2d99df3b78,SUCCESS,PASS,False,True,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__gson_11f_nextUnquotedValue__line1025_1085/execution/major_10.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,major_exec__major_with_exports_exec_v1__gson_11f_nextUnquotedValue__line1025_1085,nextUnquotedValue,major_12,3d3364e1395a6fd2a02926acda47c15fa050e31c9c0c51452412c0307eec8fa1,SUCCESS,FAIL,True,True,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__gson_11f_nextUnquotedValue__line1025_1085/execution/major_12.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,major_exec__major_with_exports_exec_v1__gson_11f_nextUnquotedValue__line1025_1085,nextUnquotedValue,major_14,ea7b60424bb8c312610f80481acb88e60188d318e3b9937f8b664d970efa81ac,SUCCESS,FAIL,True,True,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__gson_11f_nextUnquotedValue__line1025_1085/execution/major_14.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,major_exec__major_with_exports_exec_v1__gson_11f_nextUnquotedValue__line1025_1085,nextUnquotedValue,major_16,6d7a4a76e05d87b97b06ec792bde6a83d278bf80482cb663aa4af9da4d946678,SUCCESS,FAIL,True,True,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__gson_11f_nextUnquotedValue__line1025_1085/execution/major_16.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,major_exec__major_with_exports_exec_v1__gson_11f_nextUnquotedValue__line1025_1085,nextUnquotedValue,major_3,01cba616e1a310bffdff8add4a1ae5dc7b54a9730623867d078d268d763f93f5,SUCCESS,PASS,False,True,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__gson_11f_nextUnquotedValue__line1025_1085/execution/major_3.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,major_exec__major_with_exports_exec_v1__gson_11f_nextUnquotedValue__line1025_1085,nextUnquotedValue,major_5,e996d889d569261b26a407c3ca96b82f4b45c54c2729c467b1b7a68a42f846a2,SUCCESS,FAIL,True,True,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__gson_11f_nextUnquotedValue__line1025_1085/execution/major_5.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,major_exec__major_with_exports_exec_v1__gson_11f_nextUnquotedValue__line1025_1085,nextUnquotedValue,major_7,6bb1cc59f35d92c8099194b660b8aca4961f59746b5e218adc98860b9e6ea5f0,SUCCESS,FAIL,True,True,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__gson_11f_nextUnquotedValue__line1025_1085/execution/major_7.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,major_exec__major_with_exports_exec_v1__gson_11f_nextUnquotedValue__line1025_1085,nextUnquotedValue,major_9,123f24d554e40d3a3912df95f44a3ed25457f8a9729aef6848e1193e2e5d1c6d,SUCCESS,FAIL,True,True,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__gson_11f_nextUnquotedValue__line1025_1085/execution/major_9.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,major_exec__major_with_exports_exec_v1__gson_11f_nextUnquotedValue__line1025_1085,nextUnquotedValue,major_1,5bb47e9b07e0f20ca57e53f8c2f7e6c04a23fc3ddb4d6b325a427f0c5851cf60,SUCCESS,PASS,False,True,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__gson_11f_nextUnquotedValue__line1025_1085/execution/major_1.log
defects4j,Gson_11,gson_11f_nextUnquotedValue__line1025_1085,major_exec__major_with_exports_exec_v1__gson_11f_nextUnquotedValue__line1025_1085,nextUnquotedValue,major_11,31ef6c3a7cb0bd69b89d4bb8ba96434e5dd2364a13ae3977c625870a238974b8,SUCCESS,PASS,False,True,harness/executions/java/major/execution/major_with_exports_exec_v1/runs/major_exec__major_with_exports_exec_v1__gson_11f_nextUnquotedValue__line1025_1085/execution/major_11.log
