dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Gson_2,gson_2f_peek__line86_127,major_all_compatible_pilot5,peek,major_1,09286c34d80d16983d13d92d3cb216a88f8951510b438886ce543ba305af6123,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_compatible_pilot5/targets/gson_2f_peek__line86_127/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,com.google.gson.internal.bind.JsonTreeReader,peek(),87,2694,stack.isEmpty(),false,1:COR:<METHOD_INVOCATION(boolean)>:FALSE:com.google.gson.internal.bind.JsonTreeReader@peek():87:2694:stack.isEmpty() |==> false
defects4j,Gson_2,gson_2f_peek__line86_127,major_all_compatible_pilot5,peek,major_2,225e087b4d7b954b9cb1d961c5b8fe9404b145e1382184da1d9cae54713516d2,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_compatible_pilot5/targets/gson_2f_peek__line86_127/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,com.google.gson.internal.bind.JsonTreeReader,peek(),87,2694,stack.isEmpty(),true,2:COR:<METHOD_INVOCATION(boolean)>:TRUE:com.google.gson.internal.bind.JsonTreeReader@peek():87:2694:stack.isEmpty() |==> true
defects4j,Gson_2,gson_2f_peek__line86_127,major_all_compatible_pilot5,peek,major_3,bc83064b6d87e61f97c3b3517459807af68d75cbb887629dfde4f47640fb6b5d,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_compatible_pilot5/targets/gson_2f_peek__line86_127/run.log,EVR,<MEMBER_SELECT(com.google.gson.stream.JsonToken)>:<DEFAULT>,com.google.gson.internal.bind.JsonTreeReader,peek(),88,2722,JsonToken.END_DOCUMENT,null,3:EVR:<MEMBER_SELECT(com.google.gson.stream.JsonToken)>:<DEFAULT>:com.google.gson.internal.bind.JsonTreeReader@peek():88:2722:JsonToken.END_DOCUMENT |==> null
defects4j,Gson_2,gson_2f_peek__line86_127,major_all_compatible_pilot5,peek,major_4,651c1d3fbbb6c449392f8472beffa505f1379bbcfb72b8a1b2cd8008608d004d,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_compatible_pilot5/targets/gson_2f_peek__line86_127/run.log,EVR,<METHOD_INVOCATION(java.lang.Object)>:<DEFAULT>,com.google.gson.internal.bind.JsonTreeReader,peek(),91,2768,peekStack(),null,4:EVR:<METHOD_INVOCATION(java.lang.Object)>:<DEFAULT>:com.google.gson.internal.bind.JsonTreeReader@peek():91:2768:peekStack() |==> null
defects4j,Gson_2,gson_2f_peek__line86_127,major_all_compatible_pilot5,peek,major_5,9dd0cb8652af8208167e48d78eb5309c89c885a317342b283ee5790396ca0d95,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_compatible_pilot5/targets/gson_2f_peek__line86_127/run.log,LVR,POS:0,com.google.gson.internal.bind.JsonTreeReader,peek(),93,2855,2,0,5:LVR:POS:0:com.google.gson.internal.bind.JsonTreeReader@peek():93:2855:2 |==> 0
defects4j,Gson_2,gson_2f_peek__line86_127,major_all_compatible_pilot5,peek,major_6,d94b12da07af6ef5861202eec93d1d0eb29b9e192d44e8a63ae15f237c1bb07c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_compatible_pilot5/targets/gson_2f_peek__line86_127/run.log,LVR,POS:NEG,com.google.gson.internal.bind.JsonTreeReader,peek(),93,2855,2,-2,6:LVR:POS:NEG:com.google.gson.internal.bind.JsonTreeReader@peek():93:2855:2 |==> -2
defects4j,Gson_2,gson_2f_peek__line86_127,major_all_compatible_pilot5,peek,major_7,4eb65c462845cec00fac4f755f614cd118fdbca0be82e6a3752af76d73845b9b,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_compatible_pilot5/targets/gson_2f_peek__line86_127/run.log,EVR,<TYPE_CAST(java.util.Iterator<capture#43 of ?>)>:<DEFAULT>,com.google.gson.internal.bind.JsonTreeReader,peek(),94,2910,(Iterator<?>)o,null,7:EVR:<TYPE_CAST(java.util.Iterator<capture#43 of ?>)>:<DEFAULT>:com.google.gson.internal.bind.JsonTreeReader@peek():94:2910:(Iterator<?>)o |==> null
defects4j,Gson_2,gson_2f_peek__line86_127,major_all_compatible_pilot5,peek,major_8,d7bc6be5db91de620a1ef17cd6ac6a4ca10ef192889df9ee6173054cf711f7c6,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_compatible_pilot5/targets/gson_2f_peek__line86_127/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,com.google.gson.internal.bind.JsonTreeReader,peek(),95,2953,iterator.hasNext(),false,8:COR:<METHOD_INVOCATION(boolean)>:FALSE:com.google.gson.internal.bind.JsonTreeReader@peek():95:2953:iterator.hasNext() |==> false
defects4j,Gson_2,gson_2f_peek__line86_127,major_all_compatible_pilot5,peek,major_9,76e76a824249362f23e04598840f944220e74c1694e39c3b0e08abc2583f0fcf,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_compatible_pilot5/targets/gson_2f_peek__line86_127/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,com.google.gson.internal.bind.JsonTreeReader,peek(),95,2953,iterator.hasNext(),true,9:COR:<METHOD_INVOCATION(boolean)>:TRUE:com.google.gson.internal.bind.JsonTreeReader@peek():95:2953:iterator.hasNext() |==> true
defects4j,Gson_2,gson_2f_peek__line86_127,major_all_compatible_pilot5,peek,major_10,fbd564fab1643aae7ff56f57cded6385f0b5b44f3d8bb4c97b77957a40ebd8de,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_compatible_pilot5/targets/gson_2f_peek__line86_127/run.log,COR,<IDENTIFIER(boolean)>:FALSE,com.google.gson.internal.bind.JsonTreeReader,peek(),96,2971,isObject,false,10:COR:<IDENTIFIER(boolean)>:FALSE:com.google.gson.internal.bind.JsonTreeReader@peek():96:2971:isObject |==> false
