dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Math_82,math_82f_roundUnscaled__line1074_1154,major_all_supported_local_full_rerun_final,roundUnscaled,major_1,ad52b1d4ebcb0949199e65ba057340be89ab53d3766fcda1365ce7754d0df935,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_82f_roundUnscaled__line1074_1154/run.log,LVR,NEG:0,org.apache.commons.math.util.MathUtils,"roundUnscaled(double,double,int)",1078,37913,-1,0,"1:LVR:NEG:0:org.apache.commons.math.util.MathUtils@roundUnscaled(double,double,int):1078:37913:-1 |==> 0"
defects4j,Math_82,math_82f_roundUnscaled__line1074_1154,major_all_supported_local_full_rerun_final,roundUnscaled,major_2,95a80b2dae3251fd5b46f156ba48e829b376c0ef20bbbcd270bb1f3823b8e5b9,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_82f_roundUnscaled__line1074_1154/run.log,LVR,NEG:POS,org.apache.commons.math.util.MathUtils,"roundUnscaled(double,double,int)",1078,37913,-1,1,"2:LVR:NEG:POS:org.apache.commons.math.util.MathUtils@roundUnscaled(double,double,int):1078:37913:-1 |==> 1"
defects4j,Math_82,math_82f_roundUnscaled__line1074_1154,major_all_supported_local_full_rerun_final,roundUnscaled,major_3,a8378d316eabbc4812a46785821613077fe7e2cd2a16d19eeeff97b01f4bd2ce,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_82f_roundUnscaled__line1074_1154/run.log,EVR,<METHOD_INVOCATION(double)>:<DEFAULT>,org.apache.commons.math.util.MathUtils,"roundUnscaled(double,double,int)",1079,37956,"Math.floor(nextAfter(unscaled, Double.NEGATIVE_INFINITY))",0.0,"3:EVR:<METHOD_INVOCATION(double)>:<DEFAULT>:org.apache.commons.math.util.MathUtils@roundUnscaled(double,double,int):1079:37956:Math.floor(nextAfter(unscaled, Double.NEGATIVE_INFINITY)) |==> 0.0"
defects4j,Math_82,math_82f_roundUnscaled__line1074_1154,major_all_supported_local_full_rerun_final,roundUnscaled,major_4,0a1abb03299108f379c68615948f80868c37c7549cd1b05db9ab11fe4b358214,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_82f_roundUnscaled__line1074_1154/run.log,EVR,<METHOD_INVOCATION(double)>:<DEFAULT>,org.apache.commons.math.util.MathUtils,"roundUnscaled(double,double,int)",1081,38062,"Math.ceil(nextAfter(unscaled, Double.POSITIVE_INFINITY))",0.0,"4:EVR:<METHOD_INVOCATION(double)>:<DEFAULT>:org.apache.commons.math.util.MathUtils@roundUnscaled(double,double,int):1081:38062:Math.ceil(nextAfter(unscaled, Double.POSITIVE_INFINITY)) |==> 0.0"
defects4j,Math_82,math_82f_roundUnscaled__line1074_1154,major_all_supported_local_full_rerun_final,roundUnscaled,major_5,25031348876583c01dc5d84fb0a7ca2d3b20bac1c0ceb47590961448950b6816,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_82f_roundUnscaled__line1074_1154/run.log,EVR,<METHOD_INVOCATION(double)>:<DEFAULT>,org.apache.commons.math.util.MathUtils,"roundUnscaled(double,double,int)",1085,38214,"Math.floor(nextAfter(unscaled, Double.NEGATIVE_INFINITY))",0.0,"5:EVR:<METHOD_INVOCATION(double)>:<DEFAULT>:org.apache.commons.math.util.MathUtils@roundUnscaled(double,double,int):1085:38214:Math.floor(nextAfter(unscaled, Double.NEGATIVE_INFINITY)) |==> 0.0"
defects4j,Math_82,math_82f_roundUnscaled__line1074_1154,major_all_supported_local_full_rerun_final,roundUnscaled,major_6,672bb1abb938af1b05745b5de96fa8582c1ec959bfc0be6f8ccc5360f20abd28,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_82f_roundUnscaled__line1074_1154/run.log,LVR,NEG:0,org.apache.commons.math.util.MathUtils,"roundUnscaled(double,double,int)",1088,38344,-1,0,"6:LVR:NEG:0:org.apache.commons.math.util.MathUtils@roundUnscaled(double,double,int):1088:38344:-1 |==> 0"
defects4j,Math_82,math_82f_roundUnscaled__line1074_1154,major_all_supported_local_full_rerun_final,roundUnscaled,major_7,8342bafd782d40905869a2ef09deca321583c8a5b9e91c698ac24ea95c184d90,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_82f_roundUnscaled__line1074_1154/run.log,LVR,NEG:POS,org.apache.commons.math.util.MathUtils,"roundUnscaled(double,double,int)",1088,38344,-1,1,"7:LVR:NEG:POS:org.apache.commons.math.util.MathUtils@roundUnscaled(double,double,int):1088:38344:-1 |==> 1"
defects4j,Math_82,math_82f_roundUnscaled__line1074_1154,major_all_supported_local_full_rerun_final,roundUnscaled,major_8,f7c742b7b3ab814eaf8daef5efa8bdbd20fa2716b27bb37de2d4c65fed9d2175,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_82f_roundUnscaled__line1074_1154/run.log,EVR,<METHOD_INVOCATION(double)>:<DEFAULT>,org.apache.commons.math.util.MathUtils,"roundUnscaled(double,double,int)",1089,38386,"Math.ceil(nextAfter(unscaled, Double.POSITIVE_INFINITY))",0.0,"8:EVR:<METHOD_INVOCATION(double)>:<DEFAULT>:org.apache.commons.math.util.MathUtils@roundUnscaled(double,double,int):1089:38386:Math.ceil(nextAfter(unscaled, Double.POSITIVE_INFINITY)) |==> 0.0"
defects4j,Math_82,math_82f_roundUnscaled__line1074_1154,major_all_supported_local_full_rerun_final,roundUnscaled,major_9,42ff85398749241d84b3ad92b50aa1e90b8d40360aac7012d0cd50e11072231f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_82f_roundUnscaled__line1074_1154/run.log,EVR,<METHOD_INVOCATION(double)>:<DEFAULT>,org.apache.commons.math.util.MathUtils,"roundUnscaled(double,double,int)",1091,38493,"Math.floor(nextAfter(unscaled, Double.NEGATIVE_INFINITY))",0.0,"9:EVR:<METHOD_INVOCATION(double)>:<DEFAULT>:org.apache.commons.math.util.MathUtils@roundUnscaled(double,double,int):1091:38493:Math.floor(nextAfter(unscaled, Double.NEGATIVE_INFINITY)) |==> 0.0"
defects4j,Math_82,math_82f_roundUnscaled__line1074_1154,major_all_supported_local_full_rerun_final,roundUnscaled,major_10,e6d62465a17809a1907e9ece4bfc536d4963fa6bc94ac5dfe8649e2d2029222e,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_all_supported_local_full_rerun_final/targets/math_82f_roundUnscaled__line1074_1154/run.log,EVR,<METHOD_INVOCATION(double)>:<DEFAULT>,org.apache.commons.math.util.MathUtils,"roundUnscaled(double,double,int)",1095,38651,"nextAfter(unscaled, Double.NEGATIVE_INFINITY)",0.0,"10:EVR:<METHOD_INVOCATION(double)>:<DEFAULT>:org.apache.commons.math.util.MathUtils@roundUnscaled(double,double,int):1095:38651:nextAfter(unscaled, Double.NEGATIVE_INFINITY) |==> 0.0"
