dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Chart_1,chart_1f_createHotSpotBounds__line1373_1454,major_full_catalog_try2,createHotSpotBounds,major_1,a40ce0a651359dae64c7a572d30e4db3d40e97bdaf6a22e47b004b5cf3c553aa,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/chart_1f_createHotSpotBounds__line1373_1454/run.log,EVR,<METHOD_INVOCATION(int)>:<DEFAULT>,org.jfree.chart.renderer.category.BarRenderer,"createHotSpotBounds(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.CategoryPlot,org.jfree.chart.axis.CategoryAxis,org.jfree.chart.axis.ValueAxis,org.jfree.data.category.CategoryDataset,int,int,boolean,org.jfree.chart.renderer.category.CategoryItemRendererState,java.awt.geom.Rectangle2D)",1380,49661,state.getVisibleSeriesIndex(row),0,"1:EVR:<METHOD_INVOCATION(int)>:<DEFAULT>:org.jfree.chart.renderer.category.BarRenderer@createHotSpotBounds(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.CategoryPlot,org.jfree.chart.axis.CategoryAxis,org.jfree.chart.axis.ValueAxis,org.jfree.data.category.CategoryDataset,int,int,boolean,org.jfree.chart.renderer.category.CategoryItemRendererState,java.awt.geom.Rectangle2D):1380:49661:state.getVisibleSeriesIndex(row) |==> 0"
defects4j,Chart_1,chart_1f_createHotSpotBounds__line1373_1454,major_full_catalog_try2,createHotSpotBounds,major_2,7114dab17370a0431432cea4167f3b01ddc1bb5667488a6397d5eed3c803913e,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/chart_1f_createHotSpotBounds__line1373_1454/run.log,LVR,0:POS,org.jfree.chart.renderer.category.BarRenderer,"createHotSpotBounds(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.CategoryPlot,org.jfree.chart.axis.CategoryAxis,org.jfree.chart.axis.ValueAxis,org.jfree.data.category.CategoryDataset,int,int,boolean,org.jfree.chart.renderer.category.CategoryItemRendererState,java.awt.geom.Rectangle2D)",1381,49694,0,1,"2:LVR:0:POS:org.jfree.chart.renderer.category.BarRenderer@createHotSpotBounds(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.CategoryPlot,org.jfree.chart.axis.CategoryAxis,org.jfree.chart.axis.ValueAxis,org.jfree.data.category.CategoryDataset,int,int,boolean,org.jfree.chart.renderer.category.CategoryItemRendererState,java.awt.geom.Rectangle2D):1381:49694:0 |==> 1"
defects4j,Chart_1,chart_1f_createHotSpotBounds__line1373_1454,major_full_catalog_try2,createHotSpotBounds,major_3,6361caa7bc204f7bc7f519c863c652d9207b8aa03aedc1292bc9dd945238fddf,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/chart_1f_createHotSpotBounds__line1373_1454/run.log,LVR,0:NEG,org.jfree.chart.renderer.category.BarRenderer,"createHotSpotBounds(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.CategoryPlot,org.jfree.chart.axis.CategoryAxis,org.jfree.chart.axis.ValueAxis,org.jfree.data.category.CategoryDataset,int,int,boolean,org.jfree.chart.renderer.category.CategoryItemRendererState,java.awt.geom.Rectangle2D)",1381,49694,0,-1,"3:LVR:0:NEG:org.jfree.chart.renderer.category.BarRenderer@createHotSpotBounds(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.CategoryPlot,org.jfree.chart.axis.CategoryAxis,org.jfree.chart.axis.ValueAxis,org.jfree.data.category.CategoryDataset,int,int,boolean,org.jfree.chart.renderer.category.CategoryItemRendererState,java.awt.geom.Rectangle2D):1381:49694:0 |==> -1"
defects4j,Chart_1,chart_1f_createHotSpotBounds__line1373_1454,major_full_catalog_try2,createHotSpotBounds,major_4,70abe2e87530d5a416503025b207047b0772011fe250ec6b556106b199956770,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/chart_1f_createHotSpotBounds__line1373_1454/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.jfree.chart.renderer.category.BarRenderer,"createHotSpotBounds(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.CategoryPlot,org.jfree.chart.axis.CategoryAxis,org.jfree.chart.axis.ValueAxis,org.jfree.data.category.CategoryDataset,int,int,boolean,org.jfree.chart.renderer.category.CategoryItemRendererState,java.awt.geom.Rectangle2D)",1384,49769,"this.getItemVisible(row, column)",false,"4:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.jfree.chart.renderer.category.BarRenderer@createHotSpotBounds(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.CategoryPlot,org.jfree.chart.axis.CategoryAxis,org.jfree.chart.axis.ValueAxis,org.jfree.data.category.CategoryDataset,int,int,boolean,org.jfree.chart.renderer.category.CategoryItemRendererState,java.awt.geom.Rectangle2D):1384:49769:this.getItemVisible(row, column) |==> false"
defects4j,Chart_1,chart_1f_createHotSpotBounds__line1373_1454,major_full_catalog_try2,createHotSpotBounds,major_5,902ae0e2982343ed08c111b5d7232c58f6647840ce7abf441106682aa1b54d1f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/chart_1f_createHotSpotBounds__line1373_1454/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.jfree.chart.renderer.category.BarRenderer,"createHotSpotBounds(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.CategoryPlot,org.jfree.chart.axis.CategoryAxis,org.jfree.chart.axis.ValueAxis,org.jfree.data.category.CategoryDataset,int,int,boolean,org.jfree.chart.renderer.category.CategoryItemRendererState,java.awt.geom.Rectangle2D)",1384,49769,"this.getItemVisible(row, column)",true,"5:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.jfree.chart.renderer.category.BarRenderer@createHotSpotBounds(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.CategoryPlot,org.jfree.chart.axis.CategoryAxis,org.jfree.chart.axis.ValueAxis,org.jfree.data.category.CategoryDataset,int,int,boolean,org.jfree.chart.renderer.category.CategoryItemRendererState,java.awt.geom.Rectangle2D):1384:49769:this.getItemVisible(row, column) |==> true"
defects4j,Chart_1,chart_1f_createHotSpotBounds__line1373_1454,major_full_catalog_try2,createHotSpotBounds,major_6,a4ba0e33340faec7a9fa6c127d1064282057f745946708879c8611b70ed0c0d4,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/chart_1f_createHotSpotBounds__line1373_1454/run.log,EVR,<METHOD_INVOCATION(java.lang.Number)>:<DEFAULT>,org.jfree.chart.renderer.category.BarRenderer,"createHotSpotBounds(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.CategoryPlot,org.jfree.chart.axis.CategoryAxis,org.jfree.chart.axis.ValueAxis,org.jfree.data.category.CategoryDataset,int,int,boolean,org.jfree.chart.renderer.category.CategoryItemRendererState,java.awt.geom.Rectangle2D)",1388,49915,"dataset.getValue(row, column)",null,"6:EVR:<METHOD_INVOCATION(java.lang.Number)>:<DEFAULT>:org.jfree.chart.renderer.category.BarRenderer@createHotSpotBounds(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.CategoryPlot,org.jfree.chart.axis.CategoryAxis,org.jfree.chart.axis.ValueAxis,org.jfree.data.category.CategoryDataset,int,int,boolean,org.jfree.chart.renderer.category.CategoryItemRendererState,java.awt.geom.Rectangle2D):1388:49915:dataset.getValue(row, column) |==> null"
defects4j,Chart_1,chart_1f_createHotSpotBounds__line1373_1454,major_full_catalog_try2,createHotSpotBounds,major_7,b9cded3e1ce8521552d8827c6efbb73405ac446b7649d3970eed835f49cfd5df,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/chart_1f_createHotSpotBounds__line1373_1454/run.log,EVR,<METHOD_INVOCATION(double)>:<DEFAULT>,org.jfree.chart.renderer.category.BarRenderer,"createHotSpotBounds(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.CategoryPlot,org.jfree.chart.axis.CategoryAxis,org.jfree.chart.axis.ValueAxis,org.jfree.data.category.CategoryDataset,int,int,boolean,org.jfree.chart.renderer.category.CategoryItemRendererState,java.awt.geom.Rectangle2D)",1393,50054,dataValue.doubleValue(),0.0,"7:EVR:<METHOD_INVOCATION(double)>:<DEFAULT>:org.jfree.chart.renderer.category.BarRenderer@createHotSpotBounds(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.CategoryPlot,org.jfree.chart.axis.CategoryAxis,org.jfree.chart.axis.ValueAxis,org.jfree.data.category.CategoryDataset,int,int,boolean,org.jfree.chart.renderer.category.CategoryItemRendererState,java.awt.geom.Rectangle2D):1393:50054:dataValue.doubleValue() |==> 0.0"
defects4j,Chart_1,chart_1f_createHotSpotBounds__line1373_1454,major_full_catalog_try2,createHotSpotBounds,major_8,82b8650636bcd71f3df412f501e63755f981b1beb34953444fe9b809925a3238,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/chart_1f_createHotSpotBounds__line1373_1454/run.log,EVR,<METHOD_INVOCATION(org.jfree.chart.plot.PlotOrientation)>:<DEFAULT>,org.jfree.chart.renderer.category.BarRenderer,"createHotSpotBounds(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.CategoryPlot,org.jfree.chart.axis.CategoryAxis,org.jfree.chart.axis.ValueAxis,org.jfree.data.category.CategoryDataset,int,int,boolean,org.jfree.chart.renderer.category.CategoryItemRendererState,java.awt.geom.Rectangle2D)",1394,50116,plot.getOrientation(),null,"8:EVR:<METHOD_INVOCATION(org.jfree.chart.plot.PlotOrientation)>:<DEFAULT>:org.jfree.chart.renderer.category.BarRenderer@createHotSpotBounds(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.CategoryPlot,org.jfree.chart.axis.CategoryAxis,org.jfree.chart.axis.ValueAxis,org.jfree.data.category.CategoryDataset,int,int,boolean,org.jfree.chart.renderer.category.CategoryItemRendererState,java.awt.geom.Rectangle2D):1394:50116:plot.getOrientation() |==> null"
defects4j,Chart_1,chart_1f_createHotSpotBounds__line1373_1454,major_full_catalog_try2,createHotSpotBounds,major_9,4d821a606a6b34c1ed40ed6040037d0ecd59e6a950b4ec3cae3f137e87ebb526,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/chart_1f_createHotSpotBounds__line1373_1454/run.log,EVR,<METHOD_INVOCATION(double)>:<DEFAULT>,org.jfree.chart.renderer.category.BarRenderer,"createHotSpotBounds(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.CategoryPlot,org.jfree.chart.axis.CategoryAxis,org.jfree.chart.axis.ValueAxis,org.jfree.data.category.CategoryDataset,int,int,boolean,org.jfree.chart.renderer.category.CategoryItemRendererState,java.awt.geom.Rectangle2D)",1395,50158,"calculateBarW0(plot, orientation, dataArea, domainAxis, state, visibleRow, column)",0.0,"9:EVR:<METHOD_INVOCATION(double)>:<DEFAULT>:org.jfree.chart.renderer.category.BarRenderer@createHotSpotBounds(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.CategoryPlot,org.jfree.chart.axis.CategoryAxis,org.jfree.chart.axis.ValueAxis,org.jfree.data.category.CategoryDataset,int,int,boolean,org.jfree.chart.renderer.category.CategoryItemRendererState,java.awt.geom.Rectangle2D):1395:50158:calculateBarW0(plot, orientation, dataArea, domainAxis, state, visibleRow, column) |==> 0.0"
defects4j,Chart_1,chart_1f_createHotSpotBounds__line1373_1454,major_full_catalog_try2,createHotSpotBounds,major_10,72282788ac2a5c19e8fe343b2a559d14c1632412e2a7c8f2e446abf4d11ab97a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/chart_1f_createHotSpotBounds__line1373_1454/run.log,EVR,<METHOD_INVOCATION(double[])>:<DEFAULT>,org.jfree.chart.renderer.category.BarRenderer,"createHotSpotBounds(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.CategoryPlot,org.jfree.chart.axis.CategoryAxis,org.jfree.chart.axis.ValueAxis,org.jfree.data.category.CategoryDataset,int,int,boolean,org.jfree.chart.renderer.category.CategoryItemRendererState,java.awt.geom.Rectangle2D)",1397,50289,"calculateBarL0L1(value, rangeAxis.getLowerBound(), rangeAxis.getUpperBound())",null,"10:EVR:<METHOD_INVOCATION(double[])>:<DEFAULT>:org.jfree.chart.renderer.category.BarRenderer@createHotSpotBounds(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.CategoryPlot,org.jfree.chart.axis.CategoryAxis,org.jfree.chart.axis.ValueAxis,org.jfree.data.category.CategoryDataset,int,int,boolean,org.jfree.chart.renderer.category.CategoryItemRendererState,java.awt.geom.Rectangle2D):1397:50289:calculateBarL0L1(value, rangeAxis.getLowerBound(), rangeAxis.getUpperBound()) |==> null"
