dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Cli_1,cli_1f_findWrapPos__line789_833,major_full_catalog_try2,findWrapPos,major_1,a4bdc2fc1989d2a19a42416a63bd084fd4e75d7ac92abde6b6583f60c8e41eb6,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_1f_findWrapPos__line789_833/run.log,LVR,NEG:0,org.apache.commons.cli.HelpFormatter,"findWrapPos(java.lang.String,int,int)",794,24720,-1,0,"1:LVR:NEG:0:org.apache.commons.cli.HelpFormatter@findWrapPos(java.lang.String,int,int):794:24720:-1 |==> 0"
defects4j,Cli_1,cli_1f_findWrapPos__line789_833,major_full_catalog_try2,findWrapPos,major_2,218ba251df4d8629c3e5cf5899d5d2701baa805514c3120c7885d6131666889a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_1f_findWrapPos__line789_833/run.log,LVR,NEG:POS,org.apache.commons.cli.HelpFormatter,"findWrapPos(java.lang.String,int,int)",794,24720,-1,1,"2:LVR:NEG:POS:org.apache.commons.cli.HelpFormatter@findWrapPos(java.lang.String,int,int):794:24720:-1 |==> 1"
defects4j,Cli_1,cli_1f_findWrapPos__line789_833,major_full_catalog_try2,findWrapPos,major_3,76339956ed11fde2ef110f795ba31ee780faa59dc58c9e3dfc8ee0a9ae87b835,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_1f_findWrapPos__line789_833/run.log,LVR,NEG:0,org.apache.commons.cli.HelpFormatter,"findWrapPos(java.lang.String,int,int)",795,24796,-1,0,"3:LVR:NEG:0:org.apache.commons.cli.HelpFormatter@findWrapPos(java.lang.String,int,int):795:24796:-1 |==> 0"
defects4j,Cli_1,cli_1f_findWrapPos__line789_833,major_full_catalog_try2,findWrapPos,major_4,5dc26f7e4f4df6781e252a3d2ddca060ef871a6a15e5a8a3d8bf85c3b1ec8eb9,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_1f_findWrapPos__line789_833/run.log,LVR,NEG:POS,org.apache.commons.cli.HelpFormatter,"findWrapPos(java.lang.String,int,int)",795,24796,-1,1,"4:LVR:NEG:POS:org.apache.commons.cli.HelpFormatter@findWrapPos(java.lang.String,int,int):795:24796:-1 |==> 1"
defects4j,Cli_1,cli_1f_findWrapPos__line789_833,major_full_catalog_try2,findWrapPos,major_5,04ff5741f60ffc7a23e2058fe44f10e6fa5eb96b9137b6b8e4f5a4c4d54b6b30,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_1f_findWrapPos__line789_833/run.log,LVR,POS:0,org.apache.commons.cli.HelpFormatter,"findWrapPos(java.lang.String,int,int)",797,24850,1,0,"5:LVR:POS:0:org.apache.commons.cli.HelpFormatter@findWrapPos(java.lang.String,int,int):797:24850:1 |==> 0"
defects4j,Cli_1,cli_1f_findWrapPos__line789_833,major_full_catalog_try2,findWrapPos,major_6,fbecedd3af805f1b960152e99163f6abfe7524fdd8c5df550c1467ee11fb41a3,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_1f_findWrapPos__line789_833/run.log,LVR,POS:NEG,org.apache.commons.cli.HelpFormatter,"findWrapPos(java.lang.String,int,int)",797,24850,1,-1,"6:LVR:POS:NEG:org.apache.commons.cli.HelpFormatter@findWrapPos(java.lang.String,int,int):797:24850:1 |==> -1"
defects4j,Cli_1,cli_1f_findWrapPos__line789_833,major_full_catalog_try2,findWrapPos,major_7,c326cc408f12b10f404b23f1cef12fe255c97ea3a157a9d3ac7c9e97b2e01bf7,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_1f_findWrapPos__line789_833/run.log,LVR,NEG:0,org.apache.commons.cli.HelpFormatter,"findWrapPos(java.lang.String,int,int)",801,24946,-1,0,"7:LVR:NEG:0:org.apache.commons.cli.HelpFormatter@findWrapPos(java.lang.String,int,int):801:24946:-1 |==> 0"
defects4j,Cli_1,cli_1f_findWrapPos__line789_833,major_full_catalog_try2,findWrapPos,major_8,ad922871ce849f0f92cd5ca779d2cc689747cf67d762825f500d290c1a651a59,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_1f_findWrapPos__line789_833/run.log,LVR,NEG:POS,org.apache.commons.cli.HelpFormatter,"findWrapPos(java.lang.String,int,int)",801,24946,-1,1,"8:LVR:NEG:POS:org.apache.commons.cli.HelpFormatter@findWrapPos(java.lang.String,int,int):801:24946:-1 |==> 1"
defects4j,Cli_1,cli_1f_findWrapPos__line789_833,major_full_catalog_try2,findWrapPos,major_9,6b86caf5adf68b6acad2458f9f5e227bd7f355da00705217c40e44b938ad0318,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_1f_findWrapPos__line789_833/run.log,EVR,<PLUS(int)>:<DEFAULT>,org.apache.commons.cli.HelpFormatter,"findWrapPos(java.lang.String,int,int)",806,25057,startPos + width,0,"9:EVR:<PLUS(int)>:<DEFAULT>:org.apache.commons.cli.HelpFormatter@findWrapPos(java.lang.String,int,int):806:25057:startPos + width |==> 0"
defects4j,Cli_1,cli_1f_findWrapPos__line789_833,major_full_catalog_try2,findWrapPos,major_10,0eae140f4ddd20cc8bb0f47f1ff44d42c6b3b4b2a1496276e1cdc6a180b791c6,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_1f_findWrapPos__line789_833/run.log,EVR,<IDENTIFIER(int)>:<DEFAULT>,org.apache.commons.cli.HelpFormatter,"findWrapPos(java.lang.String,int,int)",819,25335,pos,0,"10:EVR:<IDENTIFIER(int)>:<DEFAULT>:org.apache.commons.cli.HelpFormatter@findWrapPos(java.lang.String,int,int):819:25335:pos |==> 0"
