dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Cli_28,cli_28f_handleShortAndLongOption__line375_463,major_full_catalog_try2,handleShortAndLongOption,major_1,369e0d4a0ed5bde3c2b9df403968af7dd822545004a35979dbfe8d3497c1b10b,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_28f_handleShortAndLongOption__line375_463/run.log,EVR,<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>,org.apache.commons.cli.DefaultParser,handleShortAndLongOption(java.lang.String),377,10126,Util.stripLeadingHyphens(token),null,1:EVR:<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>:org.apache.commons.cli.DefaultParser@handleShortAndLongOption(java.lang.String):377:10126:Util.stripLeadingHyphens(token) |==> null
defects4j,Cli_28,cli_28f_handleShortAndLongOption__line375_463,major_full_catalog_try2,handleShortAndLongOption,major_2,773e4248ef011239a7bbc81fb9fafd572d7e8213b33223186f39b985c80df6c8,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_28f_handleShortAndLongOption__line375_463/run.log,EVR,<METHOD_INVOCATION(int)>:<DEFAULT>,org.apache.commons.cli.DefaultParser,handleShortAndLongOption(java.lang.String),379,10171,t.indexOf('='),0,2:EVR:<METHOD_INVOCATION(int)>:<DEFAULT>:org.apache.commons.cli.DefaultParser@handleShortAndLongOption(java.lang.String):379:10171:t.indexOf('=') |==> 0
defects4j,Cli_28,cli_28f_handleShortAndLongOption__line375_463,major_full_catalog_try2,handleShortAndLongOption,major_3,39d9c575063a9f379bf22c1e65c2f918a5201ff9cf4b4d7d50483b0fa77b00b5,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_28f_handleShortAndLongOption__line375_463/run.log,LVR,POS:0,org.apache.commons.cli.DefaultParser,handleShortAndLongOption(java.lang.String),381,10213,1,0,3:LVR:POS:0:org.apache.commons.cli.DefaultParser@handleShortAndLongOption(java.lang.String):381:10213:1 |==> 0
defects4j,Cli_28,cli_28f_handleShortAndLongOption__line375_463,major_full_catalog_try2,handleShortAndLongOption,major_4,0f36c3e8ff05bc3e8dc5c0a9c83b788853619c3363386be89fd48ea0add8fb99,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_28f_handleShortAndLongOption__line375_463/run.log,LVR,POS:NEG,org.apache.commons.cli.DefaultParser,handleShortAndLongOption(java.lang.String),381,10213,1,-1,4:LVR:POS:NEG:org.apache.commons.cli.DefaultParser@handleShortAndLongOption(java.lang.String):381:10213:1 |==> -1
defects4j,Cli_28,cli_28f_handleShortAndLongOption__line375_463,major_full_catalog_try2,handleShortAndLongOption,major_5,e37659ab3d717dbaca9cef5c3324fccbc7bf514030d97614650d9bbb05b78710,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_28f_handleShortAndLongOption__line375_463/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.apache.commons.cli.DefaultParser,handleShortAndLongOption(java.lang.String),384,10282,options.hasShortOption(t),false,5:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.apache.commons.cli.DefaultParser@handleShortAndLongOption(java.lang.String):384:10282:options.hasShortOption(t) |==> false
defects4j,Cli_28,cli_28f_handleShortAndLongOption__line375_463,major_full_catalog_try2,handleShortAndLongOption,major_6,37cb97c12034103d981d3985df24ce7e49f10ad52d57eda9960144b453a583a9,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_28f_handleShortAndLongOption__line375_463/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.apache.commons.cli.DefaultParser,handleShortAndLongOption(java.lang.String),384,10282,options.hasShortOption(t),true,6:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.apache.commons.cli.DefaultParser@handleShortAndLongOption(java.lang.String):384:10282:options.hasShortOption(t) |==> true
defects4j,Cli_28,cli_28f_handleShortAndLongOption__line375_463,major_full_catalog_try2,handleShortAndLongOption,major_7,624ef16c358e896a4a7ca97d22227ec010c79242f4bc0bf5d7d65f62c6481dc7,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_28f_handleShortAndLongOption__line375_463/run.log,LVR,NEG:0,org.apache.commons.cli.DefaultParser,handleShortAndLongOption(java.lang.String),393,10489,-1,0,7:LVR:NEG:0:org.apache.commons.cli.DefaultParser@handleShortAndLongOption(java.lang.String):393:10489:-1 |==> 0
defects4j,Cli_28,cli_28f_handleShortAndLongOption__line375_463,major_full_catalog_try2,handleShortAndLongOption,major_8,073bc7b287011250a4c2c966c780f055f49342ebe858b2580a0fb7ca8810649e,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_28f_handleShortAndLongOption__line375_463/run.log,LVR,NEG:POS,org.apache.commons.cli.DefaultParser,handleShortAndLongOption(java.lang.String),393,10489,-1,1,8:LVR:NEG:POS:org.apache.commons.cli.DefaultParser@handleShortAndLongOption(java.lang.String):393:10489:-1 |==> 1
defects4j,Cli_28,cli_28f_handleShortAndLongOption__line375_463,major_full_catalog_try2,handleShortAndLongOption,major_9,d8d8adeeba45c664c4be4e624c70b51d3cff9c57d7277f8ed62b9d3152ce585f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_28f_handleShortAndLongOption__line375_463/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.apache.commons.cli.DefaultParser,handleShortAndLongOption(java.lang.String),395,10541,options.hasShortOption(t),false,9:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.apache.commons.cli.DefaultParser@handleShortAndLongOption(java.lang.String):395:10541:options.hasShortOption(t) |==> false
defects4j,Cli_28,cli_28f_handleShortAndLongOption__line375_463,major_full_catalog_try2,handleShortAndLongOption,major_10,82acc91a04463dcca1f4a8baf9bde0d4a2855ff89fd5b771cb457b5ded977c09,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_28f_handleShortAndLongOption__line375_463/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.apache.commons.cli.DefaultParser,handleShortAndLongOption(java.lang.String),395,10541,options.hasShortOption(t),true,10:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.apache.commons.cli.DefaultParser@handleShortAndLongOption(java.lang.String):395:10541:options.hasShortOption(t) |==> true
